cell,x,y,z,volume,initial,numerical,exact,error,absError
16,-4.6666666666700003e+00,3.3333333333300001e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,3.0409486966000002e-09,3.7835161520731223e-13,3.0405703449847929e-09,3.0405703449847929e-09
17,-4.3333333333299997e+00,3.6666666666699999e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.1098262539399999e-08,8.4460256403720896e-13,1.1097417936835962e-08,1.1097417936835962e-08
18,-4.3333333333299997e+00,4.3333333333299997e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.1351487634000000e-09,4.6294571869610867e-15,1.1351441339428131e-09,1.1351441339428131e-09
19,-4.6666666666700003e+00,4.6666666666700003e+00,5.0000000000000003e-02,5.0000000000099999e-02,0.0000000000000000e+00,1.1534401086100000e-10,1.1325631800793683e-17,1.1534399953536820e-10,1.1534399953536820e-10
20,-3.3333333333300001e+00,-4.6666666666700003e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,3.0409486966000002e-09,3.7835161520731223e-13,3.0405703449847929e-09,3.0405703449847929e-09
21,-3.6666666666699999e+00,-4.3333333333299997e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.1098262539399999e-08,8.4460256403720896e-13,1.1097417936835962e-08,1.1097417936835962e-08
22,-3.6666666666699999e+00,-3.6666666666699999e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.9254086023199999e-07,1.5409009358319483e-10,1.9238677013841680e-07,1.9238677013841680e-07
23,-3.3333333333300001e+00,-3.3333333333300001e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.5471835028300000e-06,1.2639466587634459e-08,1.5345440362423655e-06,1.5345440362423655e-06
24,-3.3333333333300001e+00,-2.6666666666599999e+00,5.0000000000000003e-02,4.9999999999899999e-02,0.0000000000000000e+00,1.1031133738300001e-05,4.7263562406847720e-07,1.0558498114231524e-05,1.0558498114231524e-05
25,-3.6666666666699999e+00,-2.3333333333300001e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,3.1218311677599999e-06,2.1732494142928336e-07,2.9045062263307166e-06,2.9045062263307166e-06
26,-3.6666666666699999e+00,-1.6666666666600001e+00,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,2.2856347455200000e-05,1.8111984802222207e-06,2.1045148974977780e-05,2.1045148974977780e-05
