cell,x,y,z,volume,initial,numerical,exact,error,absError
15,8.3333333333276711e-03,1.9166666666745391e-01,5.0000000000000003e-02,3.1250000000108800e-05,0.0000000000000000e+00,8.2692536321165533e-01,8.2384378115878576e-01,3.0815820528695692e-03,3.0815820528695692e-03
16,8.3333333333276745e-03,2.0833333333418991e-01,5.0000000000000003e-02,3.1250000000108780e-05,0.0000000000000000e+00,7.9019872662035184e-01,7.9308147791432193e-01,-2.8827512939700872e-03,2.8827512939700872e-03
17,1.6666666666656602e-02,2.1666666666754569e-01,5.0000000000000003e-02,3.1250000000107879e-05,0.0000000000000000e+00,7.7508649564009813e-01,7.7608090992443657e-01,-9.9441428433844070e-04,9.9441428433844070e-04
18,1.6666666666659131e-02,2.3333333333427889e-01,5.0000000000000003e-02,3.1250000000108272e-05,0.0000000000000000e+00,7.4387754442391674e-01,7.4212637131977521e-01,1.7511731041415235e-03,1.7511731041415235e-03
19,8.3333333333301951e-03,2.4166666666765901e-01,5.0000000000000003e-02,3.1250000000118382e-05,0.0000000000000000e+00,7.2879999483764435e-01,7.2512580332982590e-01,3.6741915078184473e-03,3.6741915078184473e-03
20,8.3333333333301951e-03,2.5833333333439512e-01,5.0000000000000003e-02,3.1250000000118382e-05,0.0000000000000000e+00,6.8461790613152329e-01,6.8811869377028434e-01,-3.5007876387610493e-03,3.5007876387610493e-03
21,1.6666666666661650e-02,2.6666666666774808e-01,5.0000000000000010e-02,3.1250000000117372e-05,0.0000000000000000e+00,6.6692913502790097e-01,6.6821358611567183e-01,-1.2844510877708659e-03,1.2844510877708659e-03
22,1.6666666666664179e-02,2.8333333333448107e-01,5.0000000000000003e-02,3.1250000000117562e-05,0.0000000000000000e+00,6.3038822477057677e-01,6.2845792932286759e-01,1.9302954477091738e-03,1.9302954477091738e-03
23,8.3333333333327243e-03,2.9166666666786423e-01,5.0000000000000010e-02,3.1250000000127720e-05,0.0000000000000000e+00,6.1272930969306350e-01,6.0855282166817160e-01,4.1764880248919001e-03,4.1764880248919001e-03
24,8.3333333333327157e-03,3.0833333333460028e-01,5.0000000000000003e-02,3.1250000000127801e-05,0.0000000000000000e+00,5.6217962714073466e-01,5.6621214365047112e-01,-4.0325165097364613e-03,4.0325165097364613e-03
