case,solverFamily,mesh,resolution,nominalH,nCells,normalizedL1,normalizedL2,normalizedLinf,absoluteL1,absoluteL2,absoluteLinf,initialNormalizedL1,initialNormalizedL2,initialNormalizedLinf,relativeErrorValid,observedOrderL1,observedOrderL2,observedOrderLinf,maxCo,normalizedMassError,finalAmplitude,meshOK,solverEnded,solverFatal,linearSolver,linearTolerance,nNonOrthogonalCorrectors
/home/a776/workdocuments/上交船舶/slover/student_project/cases/04_poisson_equation/01_poisson_manufactured_quad/N10,04_poisson_equation,quad,10,0.1,100,0.011590551440536525,0.011734696840686754,0.012182418390116287,,,,,,,,,,,0.0,5.1749062296333626e-12,0.9874125515395582,True,True,False,GAMG,1e-12,2
/home/a776/workdocuments/上交船舶/slover/student_project/cases/04_poisson_equation/01_poisson_manufactured_quad/N20,04_poisson_equation,quad,20,0.05,400,0.002892601588727561,0.002929263036266183,0.003069119681228842,,,,,,,,2.002509673625508,2.0021709186543584,1.9889037476313751,0.0,8.862078347351237e-12,0.9968943970006567,True,True,False,GAMG,1e-12,2
/home/a776/workdocuments/上交船舶/slover/student_project/cases/04_poisson_equation/01_poisson_manufactured_quad/N40,04_poisson_equation,quad,40,0.025,1600,0.0007228822071334864,0.0007320977946217417,0.0007697700567560796,,,,,,,,2.0005351420931032,2.000429463692328,1.9953254471844744,0.0,1.2349294961766587e-11,0.9992272504512083,True,True,False,GAMG,1e-12,2
/home/a776/workdocuments/上交船舶/slover/student_project/cases/04_poisson_equation/01_poisson_manufactured_quad/N80,04_poisson_equation,quad,80,0.0125,6400,0.00018070472742789104,0.00018301208158552878,0.0001926631046859984,,,,,,,,2.0001263316126723,2.00009748704819,1.9983472334068055,0.0,2.909345596647856e-11,0.9998071069569003,True,True,False,GAMG,1e-12,2
