i,j,x,y,initial,numerical,exact,error,absError
14,2,7.2499999999999998e-01,1.2500000000000000e-01,-8.0901699437494756e-01,-1.2160748027799999e+00,-8.0901699437494679e-01,-4.0705780840505312e-01,4.0705780840505312e-01
15,2,7.7500000000000002e-01,1.2500000000000000e-01,-5.8778525229247336e-01,-9.2853984107999998e-01,-5.8778525229247358e-01,-3.4075458878752640e-01,3.4075458878752640e-01
16,2,8.2499999999999996e-01,1.2500000000000000e-01,-3.0901699437494762e-01,-5.5011293022200003e-01,-3.0901699437494717e-01,-2.4109593584705286e-01,2.4109593584705286e-01
17,2,8.7500000000000000e-01,1.2500000000000000e-01,-2.4492935982947064e-16,-1.1783713289099999e-01,2.4492935982947064e-16,-1.1783713289100024e-01,1.1783713289100024e-01
18,2,9.2500000000000004e-01,1.2500000000000000e-01,3.0901699437494717e-01,3.2597338402699999e-01,3.0901699437494762e-01,1.6956389652052373e-02,1.6956389652052373e-02
19,2,9.7499999999999998e-01,1.2500000000000000e-01,5.8778525229247358e-01,7.3787535492599998e-01,5.8778525229247403e-01,1.5009010263352596e-01,1.5009010263352596e-01
0,3,2.5000000000000001e-02,1.7499999999999999e-01,9.5105651629515353e-01,1.3117445366200000e+00,9.5105651629515375e-01,3.6068802032484626e-01,3.6068802032484626e-01
1,3,7.4999999999999997e-02,1.7499999999999999e-01,1.0000000000000000e+00,1.4175374335299999e+00,1.0000000000000000e+00,4.1753743352999995e-01,4.1753743352999995e-01
2,3,1.2500000000000000e-01,1.7499999999999999e-01,9.5105651629515364e-01,1.3845718898799999e+00,9.5105651629515342e-01,4.3351537358484649e-01,4.3351537358484649e-01
3,3,1.7499999999999999e-01,1.7499999999999999e-01,8.0901699437494745e-01,1.2160748027799999e+00,8.0901699437494723e-01,4.0705780840505268e-01,4.0705780840505268e-01
4,3,2.2500000000000001e-01,1.7499999999999999e-01,5.8778525229247325e-01,9.2853984107999998e-01,5.8778525229247280e-01,3.4075458878752718e-01,3.4075458878752718e-01
