cell,x,y,z,volume,numerical,exact,error,absError
43,4.1666666666699999e-03,2.7083333333400000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.6947238137799996e-01,9.8768834058661570e-01,-1.8215959208615740e-02,1.8215959208615740e-02
44,4.1666666666699999e-03,2.7916666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.6338046554300005e-01,9.7814760072160867e-01,-1.4767135178608615e-02,1.4767135178608615e-02
45,8.3333333333300008e-03,2.8333333333400001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.5423474523100005e-01,9.6592582627497947e-01,-1.1691081043979423e-02,1.1691081043979423e-02
46,8.3333333333300008e-03,2.9166666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.3268272302999999e-01,9.5105651627703780e-01,-1.8373793247037806e-02,1.8373793247037806e-02
47,4.1666666666699999e-03,2.9583333333500000e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.3268272302999999e-01,9.5105651627637799e-01,-1.8373793246378001e-02,1.8373793246378001e-02
48,4.1666666666699999e-03,3.0416666666800002e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.2120508799900003e-01,9.3358042647617812e-01,-1.2375338477178088e-02,1.2375338477178088e-02
49,8.3333333333300008e-03,3.0833333333500001e-01,5.0000000000000003e-02,7.8125000000300004e-06,9.0512360148899995e-01,9.1354545761790507e-01,-8.4218561289051141e-03,8.4218561289051141e-03
50,8.3333333333300008e-03,3.1666666666799997e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.7292732064400003e-01,8.9100652416175363e-01,-1.8079203517753606e-02,1.8079203517753606e-02
51,4.1666666666699999e-03,3.2083333333500003e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.7292732064400003e-01,8.9100652416078430e-01,-1.8079203516784270e-02,1.8079203516784270e-02
52,4.1666666666699999e-03,3.2916666666799999e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.5634658388399998e-01,8.6602540375510662e-01,-9.6788198711066364e-03,9.6788198711066364e-03
53,8.3333333333300008e-03,3.3333333333499998e-01,5.0000000000000003e-02,7.8125000000300004e-06,8.3372531074599998e-01,8.3867056791235473e-01,-4.9452571663547440e-03,4.9452571663547440e-03
54,8.3333333333300008e-03,3.4166666666800000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.9167755054400002e-01,8.0901699434049035e-01,-1.7339443796490328e-02,1.7339443796490328e-02
55,4.1666666666699999e-03,3.4583333333499999e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.9167755054500000e-01,8.0901699433923424e-01,-1.7339443794234244e-02,1.7339443794234244e-02
56,4.1666666666699999e-03,3.5416666666800001e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.7040198482300004e-01,7.7714596142005299e-01,-6.7439765970529475e-03,6.7439765970529475e-03
57,8.3333333333399998e-03,3.5833333333500000e-01,5.0000000000000003e-02,7.8125000000300004e-06,7.4179793587599996e-01,7.4314482543672389e-01,-1.3468895607239295e-03,1.3468895607239295e-03
58,8.3333333333399998e-03,3.6666666666800002e-01,5.0000000000000003e-02,7.8125000000300004e-06,6.9093405172300004e-01,7.0710678114505099e-01,-1.6172729422050947e-02,1.6172729422050947e-02
59,4.1666666666699999e-03,3.7083333333500001e-01,5.0000000000000003e-02,7.8125000000400004e-06,6.9093405172300004e-01,7.0710678114358383e-01,-1.6172729420583787e-02,1.6172729420583787e-02
60,4.1666666666699999e-03,3.7916666666799997e-01,5.0000000000000003e-02,7.8125000000400004e-06,6.6548753207800004e-01,6.6913060631526233e-01,-3.6430742372622893e-03,3.6430742372622893e-03
61,8.3333333333399998e-03,3.8333333333500003e-01,5.0000000000000003e-02,7.8125000000400004e-06,6.3160503394000000e-01,6.2932039100260118e-01,2.2846429373988286e-03,2.2846429373988286e-03
62,8.3333333333399998e-03,3.9166666666799999e-01,5.0000000000000003e-02,7.8125000000400004e-06,5.7317746346900000e-01,5.8778525224499523e-01,-1.4607788775995223e-02,1.4607788775995223e-02
63,4.1666666666699999e-03,3.9583333333499998e-01,5.0000000000000003e-02,7.8125000000400004e-06,5.7317746346999998e-01,5.8778525224331812e-01,-1.4607788773318142e-02,1.4607788773318142e-02
64,4.1666666666699999e-03,4.0416666666800000e-01,5.0000000000000003e-02,7.8125000000400004e-06,5.4418656766700002e-01,5.4463903496582655e-01,-4.5246729882653103e-04,4.5246729882653103e-04
65,8.3333333333399998e-03,4.0833333333499999e-01,5.0000000000000003e-02,7.8125000000400004e-06,5.0585991989000001e-01,4.9999999994736227e-01,5.8599199426377369e-03,5.8599199426377369e-03
66,8.3333333333399998e-03,4.1666666666800001e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.4130734379800002e-01,4.5399049968725647e-01,-1.2683155889256448e-02,1.2683155889256448e-02
67,4.1666666666699999e-03,4.2083333333500000e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.4130734379900000e-01,4.5399049968540944e-01,-1.2683155886409447e-02,1.2683155886409447e-02
68,4.1666666666699999e-03,4.2916666666800002e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.0948592390799998e-01,4.0673664302220636e-01,2.7492808857936257e-03,2.7492808857936257e-03
69,8.3333333333399998e-03,4.3333333333500001e-01,5.0000000000000003e-02,7.8125000000400004e-06,3.6765885576000001e-01,3.5836794948855732e-01,9.2909062714426893e-03,9.2909062714426893e-03
70,8.3333333333399998e-03,4.4166666666799997e-01,5.0000000000000003e-02,7.8125000000400004e-06,2.9857077270700000e-01,3.0901699431913382e-01,-1.0446221612133821e-02,1.0446221612133821e-02
