cell,x,y,z,volume,numerical,exact,error,absError
15,3.3333333333431928e-02,7.6666666666688033e-01,5.0000000000000010e-02,4.9999999999800996e-04,-7.2889124704352815e-01,-7.3907380036732540e-01,1.0182553323797250e-02,1.0182553323797250e-02
16,3.3333333333431928e-02,8.3333333333317683e-01,5.0000000000000010e-02,4.9999999999939654e-04,-8.7519086623580444e-01,-8.6128122600850177e-01,-1.3909640227302678e-02,1.3909640227302678e-02
17,6.6666666666883895e-02,8.6666666666637626e-01,5.0000000000000003e-02,5.0000000000003882e-04,-9.0419000128418281e-01,-8.9358229755388396e-01,-1.0607703730298845e-02,1.0607703730298845e-02
18,6.6666666666924071e-02,9.3333333333306079e-01,5.0000000000000003e-02,5.0000000000378583e-04,-9.6298311843439754e-01,-9.5677272882096187e-01,-6.2103896134356740e-03,6.2103896134356740e-03
19,3.3333333333472062e-02,9.6666666666652767e-01,5.0000000000000003e-02,5.0000000000416313e-04,-9.9029967446724565e-01,-9.8907380036681203e-01,-1.2258741004336215e-03,1.2258741004336215e-03
20,1.6666666666635180e-01,3.3333333333431921e-02,5.0000000000000010e-02,5.0000000000019278e-04,8.7519086623696729e-01,8.6128122600923795e-01,1.3909640227729336e-02,1.3909640227729336e-02
21,1.3333333333312430e-01,6.6666666666883936e-02,5.0000000000000017e-02,5.0000000000083018e-04,9.0419000128546467e-01,8.9358229755450813e-01,1.0607703730956541e-02,1.0607703730956541e-02
22,1.3333333333316441e-01,1.3333333333378561e-01,5.0000000000000003e-02,5.0000000000079451e-04,8.4459979572155730e-01,8.3456530317909838e-01,1.0034492542458917e-02,1.0034492542458917e-02
23,1.6666666666647689e-01,1.6666666666719271e-01,5.0000000000000003e-02,5.0000000000079549e-04,7.5755349219381274e-01,7.4999999999954259e-01,7.5534921942701505e-03,7.5534921942701505e-03
24,1.6666666666656210e-01,2.3333333333404471e-01,5.0000000000000010e-02,5.0000000000075982e-04,6.4583317766268400e-01,6.4358229755320351e-01,2.2508801094804909e-03,2.2508801094804909e-03
25,1.3333333333328959e-01,2.6666666666753569e-01,5.0000000000000003e-02,5.0000000000145208e-04,6.1236283544147863e-01,6.1128122600695822e-01,1.0816094345204030e-03,1.0816094345204030e-03
26,1.3333333333332981e-01,3.3333333333443271e-01,5.0000000000000003e-02,5.0000000000145176e-04,4.6435294405825689e-01,4.5677272881857023e-01,7.5802152396866607e-03,7.5802152396866607e-03
27,1.6666666666668731e-01,3.6666666666779152e-01,5.0000000000000010e-02,5.0000000000143452e-04,3.5767968147335039e-01,3.5224426555083799e-01,5.4354159225123988e-03,5.4354159225123988e-03
28,1.6666666666677230e-01,4.3333333333463608e-01,4.9999999999999989e-02,5.0000000000135765e-04,1.7791514016498450e-01,1.8005680598845406e-01,-2.1416658234695574e-03,2.1416658234695574e-03
29,1.3333333333345501e-01,4.6666666666816808e-01,5.0000000000000003e-02,5.0000000000203072e-04,9.1397623200059133e-02,9.5491502808224743e-02,-4.0938796081656098e-03,4.0938796081656098e-03
30,1.3333333333349509e-01,5.3333333333475053e-01,5.0000000000000003e-02,4.9999999999750038e-04,-9.1397623205596912e-02,-9.5491502816549584e-02,4.0938796109526721e-03,4.0938796109526721e-03
31,1.6666666666689739e-01,5.6666666666780952e-01,5.0000000000000003e-02,4.9999999999829901e-04,-1.7791514016817769e-01,-1.8005680599492133e-01,2.1416658267436328e-03,2.1416658267436328e-03
32,1.6666666666698249e-01,6.3333333333414621e-01,5.0000000000000003e-02,4.9999999999822344e-04,-3.5767968147453588e-01,-3.5224426555546545e-01,-5.4354159190704299e-03,5.4354159190704299e-03
33,1.3333333333362030e-01,6.6666666666736174e-01,5.0000000000000003e-02,4.9999999999808271e-04,-4.6435294405991112e-01,-4.5677272882284442e-01,-7.5802152370667009e-03,7.5802152370667009e-03
34,1.3333333333366040e-01,7.3333333333362971e-01,5.0000000000000003e-02,4.9999999999807848e-04,-6.1236283544138126e-01,-6.1128122600912649e-01,-1.0816094322547709e-03,1.0816094322547709e-03
35,1.6666666666710761e-01,7.6666666666674588e-01,5.0000000000000003e-02,4.9999999999889673e-04,-6.4583317766133275e-01,-6.4358229755400609e-01,-2.2508801073266582e-03,2.2508801073266582e-03
36,1.6666666666719271e-01,8.3333333333315185e-01,5.0000000000000003e-02,5.0000000000000727e-04,-7.5755349219152890e-01,-7.4999999999903755e-01,-7.5534921924913512e-03,7.5534921924913512e-03
37,1.3333333333378561e-01,8.6666666666638648e-01,5.0000000000000003e-02,5.0000000000000283e-04,-8.4459979571982635e-01,-8.3456530317857403e-01,-1.0034492541252327e-02,1.0034492541252327e-02
38,1.3333333333382569e-01,9.3333333333307089e-01,5.0000000000000003e-02,5.0000000000375113e-04,-9.0419000128400928e-01,-8.9358229755360452e-01,-1.0607703730404761e-02,1.0607703730404761e-02
39,1.6666666666731780e-01,9.6666666666653789e-01,5.0000000000000003e-02,5.0000000000401047e-04,-8.7519086623521369e-01,-8.6128122600772028e-01,-1.3909640227493414e-02,1.3909640227493414e-02
40,2.3333333333283551e-01,3.3333333333431928e-02,5.0000000000000003e-02,5.0000000000001953e-04,7.2889124704457742e-01,7.3907380036791959e-01,-1.0182553323342169e-02,1.0182553323342169e-02
41,2.6666666666613759e-01,6.6666666666843802e-02,5.0000000000000003e-02,5.0000000000007298e-04,6.5321134986193863e-01,6.5450849718860449e-01,-1.2971473266658595e-03,1.2971473266658595e-03
42,2.6666666666626981e-01,1.3333333333366040e-01,5.0000000000000003e-02,4.9999999999996597e-04,6.1236283544369630e-01,6.1128122600934087e-01,1.0816094343554239e-03,1.0816094343554239e-03
43,2.3333333333305270e-01,1.6666666666710761e-01,5.0000000000000003e-02,5.0000000000065715e-04,6.4583317766386317e-01,6.4358229755437268e-01,2.2508801094904829e-03,2.2508801094904829e-03
44,2.3333333333313769e-01,2.3333333333395961e-01,5.0000000000000003e-02,5.0000000000062158e-04,5.5870752973123239e-01,5.5226423163315408e-01,6.4432980980783094e-03,6.4432980980783094e-03
45,2.6666666666648708e-01,2.6666666666731842e-01,5.0000000000000003e-02,5.0000000000062093e-04,4.5341311682886309e-01,4.4773576836543560e-01,5.6773484634274896e-03,5.6773484634274896e-03
46,2.6666666666661942e-01,3.3333333333412091e-01,5.0000000000000003e-02,5.0000000000062126e-04,3.3338878755921919e-01,3.3456530317805055e-01,-1.1765156188313641e-03,1.1765156188313641e-03
47,2.3333333333335510e-01,3.6666666666761188e-01,5.0000000000000010e-02,5.0000000000133022e-04,3.0092095392120422e-01,3.0226423163179217e-01,-1.3432777105879534e-03,1.3432777105879534e-03
48,2.3333333333344011e-01,4.3333333333445662e-01,5.0000000000000003e-02,5.0000000000125422e-04,1.5933836982057539e-01,1.5450849718486193e-01,4.8298726357134669e-03,4.8298726357134669e-03
49,2.6666666666683669e-01,4.6666666666776430e-01,5.0000000000000010e-02,5.0000000000127026e-04,7.4175566785313854e-02,6.9943194005708489e-02,4.2323727796053645e-03,4.2323727796053645e-03
50,2.6666666666696892e-01,5.3333333333436328e-01,5.0000000000000010e-02,4.9999999999833619e-04,-7.4175566785021657e-02,-6.9943194010124110e-02,-4.2323727748975470e-03,4.2323727748975470e-03
51,2.3333333333365741e-01,5.6666666666764642e-01,5.0000000000000003e-02,4.9999999999822907e-04,-1.5933836982111699e-01,-1.5450849718956949e-01,-4.8298726315474938e-03,4.8298726315474938e-03
52,2.3333333333374240e-01,6.3333333333398356e-01,5.0000000000000010e-02,4.9999999999815394e-04,-3.0092095392029811e-01,-3.0226423163486377e-01,1.3432777145656605e-03,1.3432777145656605e-03
53,2.6666666666718608e-01,6.6666666666709984e-01,5.0000000000000003e-02,4.9999999999898737e-04,-3.3338878755703322e-01,-3.3456530317961147e-01,1.1765156225782558e-03,1.1765156225782558e-03
54,2.6666666666731842e-01,7.3333333333349560e-01,5.0000000000000003e-02,4.9999999999898574e-04,-4.5341311682556390e-01,-4.4773576836540863e-01,-5.6773484601552737e-03,5.6773484601552737e-03
