cell,x,y,z,volume,initial,numerical,exact,error,absError
10,3.3333333333299998e-02,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629262955e-01,8.8350936259099999e-01,9.5105651629262900e-01,-6.7547153701629004e-02,6.7547153701629004e-02
11,1.6666666666700001e-02,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629379440e-01,8.8350936259000001e-01,9.5105651629379373e-01,-6.7547153703793716e-02,6.7547153703793716e-02
12,1.6666666666700001e-02,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378014503e-01,8.4177123196299997e-01,8.6602540378014525e-01,-2.4254171817145287e-02,2.4254171817145287e-02
13,3.3333333333299998e-02,3.3333333333499998e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547052729e-01,7.6564368093699997e-01,7.4314482547052696e-01,2.2498855466473011e-02,2.2498855466473011e-02
14,3.3333333333299998e-02,3.6666666666800002e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228586465e-01,5.6257183026699997e-01,5.8778525228586498e-01,-2.5213422018865006e-02,2.5213422018865006e-02
15,1.6666666666700001e-02,3.8333333333500003e-01,5.0000000000000003e-02,1.2500000000099999e-04,5.8778525228383161e-01,5.6257183026799995e-01,5.8778525228383149e-01,-2.5213422015831544e-02,2.5213422015831544e-02
16,1.6666666666700001e-02,4.1666666666800001e-01,5.0000000000000003e-02,1.2500000000099999e-04,4.0673664306795548e-01,4.5513114251400000e-01,4.0673664306795426e-01,4.8394499446045736e-02,4.8394499446045736e-02
17,3.3333333333400002e-02,4.3333333333500001e-01,5.0000000000000003e-02,1.2500000000099999e-04,2.0791169080710645e-01,2.9909669088500002e-01,2.0791169080710553e-01,9.1185000077894485e-02,9.1185000077894485e-02
18,3.3333333333400002e-02,4.6666666666800000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-8.7963966040301261e-12,2.6750979895199999e-02,-8.7968864627497844e-12,2.6750979903996885e-02,2.6750979903996885e-02
19,1.6666666666700001e-02,4.8333333333500000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.0681111210633792e-11,2.6750979895800001e-02,-1.0681601069353450e-11,2.6750979906481603e-02,2.6750979906481603e-02
20,1.6666666666700001e-02,5.1666666666899996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-2.0791169083230443e-01,-1.0535357403999999e-01,-2.0791169083230404e-01,1.0255811679230405e-01,1.0255811679230405e-01
21,3.3333333333400002e-02,5.3333333333499999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-4.0673664308574947e-01,-2.8169506916400000e-01,-4.0673664308575036e-01,1.2504157392175036e-01,1.2504157392175036e-01
22,3.3333333333400002e-02,5.6666666666800003e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525229958989e-01,-5.1928783556299996e-01,-5.8778525229958989e-01,6.8497416736589933e-02,6.8497416736589933e-02
23,1.6666666666700001e-02,5.8333333333500004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525230111467e-01,-5.1928783556400004e-01,-5.8778525230111467e-01,6.8497416737114625e-02,6.8497416737114625e-02
24,1.6666666666700001e-02,6.1666666666799996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-7.4314482548313976e-01,-6.2559680614500002e-01,-7.4314482548313987e-01,1.1754801933813985e-01,1.1754801933813985e-01
25,3.3333333333400002e-02,6.3333333333399999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-8.6602540378674231e-01,-7.5488888725600001e-01,-8.6602540378674309e-01,1.1113651653074308e-01,1.1113651653074308e-01
26,3.3333333333400002e-02,6.6666666666800001e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629787180e-01,-8.6697634778300003e-01,-9.5105651629787191e-01,8.4080168514871878e-02,8.4080168514871878e-02
27,1.6666666666700001e-02,6.8333333333400004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629651267e-01,-8.6697634778300003e-01,-9.5105651629651278e-01,8.4080168513512743e-02,8.4080168513512743e-02
28,1.6666666666700001e-02,7.1666666666699996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.9452189536851410e-01,-9.0688332155600004e-01,-9.9452189536851410e-01,8.7638573812514053e-02,8.7638573812514053e-02
29,3.3333333333400002e-02,7.3333333333399997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.9452189536779179e-01,-9.3974080814299998e-01,-9.9452189536779168e-01,5.4781087224791691e-02,5.4781087224791691e-02
