cell,x,y,z,volume,numerical,exact,error,absError
10,1.6666666666600001e-02,1.3333333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,4.3531320718599997e-01,8.0901699437716335e-01,-3.7370378719116337e-01,3.7370378719116337e-01
11,8.3333333333300008e-03,1.4166666666700001e-01,5.0000000000000003e-02,3.1250000000099998e-05,4.3531320718400002e-01,8.0901699437616725e-01,-3.7370378719216724e-01,3.7370378719216724e-01
12,8.3333333333300008e-03,1.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,4.5789051630400002e-01,8.6602540378652282e-01,-4.0813488748252280e-01,4.0813488748252280e-01
13,1.6666666666700001e-02,1.6666666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,4.7770465380200000e-01,9.1354545764353789e-01,-4.3584080384153789e-01,4.3584080384153789e-01
14,1.6666666666700001e-02,1.8333333333400001e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.0537649430400000e-01,9.5105651629651289e-01,-4.4568002199251289e-01,4.4568002199251289e-01
15,8.3333333333300008e-03,1.9166666666700000e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.0537649430400000e-01,9.5105651629579435e-01,-4.4568002199179435e-01,4.4568002199179435e-01
16,8.3333333333300008e-03,2.0833333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.1612848162600000e-01,9.7814760073467233e-01,-4.6201911910867233e-01,4.6201911910867233e-01
17,1.6666666666700001e-02,2.1666666666800000e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.2372049856199998e-01,9.9452189536917113e-01,-4.7080139680717115e-01,4.7080139680717115e-01
18,1.6666666666700001e-02,2.3333333333400000e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.2597000899599999e-01,1.0000000000000000e+00,-4.7402999100400001e-01,4.7402999100400001e-01
19,8.3333333333300008e-03,2.4166666666799999e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.2597000899400004e-01,1.0000000000000000e+00,-4.7402999100599996e-01,4.7402999100599996e-01
20,8.3333333333300008e-03,2.5833333333399999e-01,5.0000000000000003e-02,3.1250000000099998e-05,5.2384419508699998e-01,9.9452189536783764e-01,-4.7067770028083766e-01,4.7067770028083766e-01
