cell,x,y,z,volume,initial,numerical,exact,error,absError
14,3.3333333333299998e-02,3.6666666666800002e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228586465e-01,1.4250378692900001e-01,5.8778525228586498e-01,-4.4528146535686497e-01,4.4528146535686497e-01
15,1.6666666666700001e-02,3.8333333333500003e-01,5.0000000000000003e-02,1.2500000000099999e-04,5.8778525228383161e-01,1.4250378692900001e-01,5.8778525228383149e-01,-4.4528146535483148e-01,4.4528146535483148e-01
16,1.6666666666700001e-02,4.1666666666800001e-01,5.0000000000000003e-02,1.2500000000099999e-04,4.0673664306795548e-01,1.0414114905100000e-01,4.0673664306795426e-01,-3.0259549401695429e-01,3.0259549401695429e-01
17,3.3333333333400002e-02,4.3333333333500001e-01,5.0000000000000003e-02,1.2500000000099999e-04,2.0791169080710645e-01,6.2704050104299996e-02,2.0791169080710553e-01,-1.4520764070280553e-01,1.4520764070280553e-01
18,3.3333333333400002e-02,4.6666666666800000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-8.7963966040301261e-12,-2.4192801711800001e-02,-8.7968864627497844e-12,-2.4192801703003114e-02,2.4192801703003114e-02
19,1.6666666666700001e-02,4.8333333333500000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.0681111210633792e-11,-2.4192801710599999e-02,-1.0681601069353450e-11,-2.4192801699918397e-02,2.4192801699918397e-02
20,1.6666666666700001e-02,5.1666666666899996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-2.0791169083230443e-01,-6.7574591525800004e-02,-2.0791169083230404e-01,1.4033709930650404e-01,1.4033709930650404e-01
21,3.3333333333400002e-02,5.3333333333499999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-4.0673664308574947e-01,-1.0980584727700000e-01,-4.0673664308575036e-01,2.9693079580875037e-01,2.9693079580875037e-01
22,3.3333333333400002e-02,5.6666666666800003e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525229958989e-01,-1.8164856238099999e-01,-5.8778525229958989e-01,4.0613668991858987e-01,4.0613668991858987e-01
23,1.6666666666700001e-02,5.8333333333500004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525230111467e-01,-1.8164856237999999e-01,-5.8778525230111467e-01,4.0613668992111468e-01,4.0613668992111468e-01
24,1.6666666666700001e-02,6.1666666666799996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-7.4314482548313976e-01,-2.1347913491600001e-01,-7.4314482548313987e-01,5.2966569056713986e-01,5.2966569056713986e-01
25,3.3333333333400002e-02,6.3333333333399999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-8.6602540378674231e-01,-2.4037364316199999e-01,-8.6602540378674309e-01,6.2565176062474315e-01,6.2565176062474315e-01
26,3.3333333333400002e-02,6.6666666666800001e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629787180e-01,-2.6972074622800002e-01,-9.5105651629787191e-01,6.8133577006987189e-01,6.8133577006987189e-01
27,1.6666666666700001e-02,6.8333333333400004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629651267e-01,-2.6972074622900000e-01,-9.5105651629651278e-01,6.8133577006751278e-01,6.8133577006751278e-01
28,1.6666666666700001e-02,7.1666666666699996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.9452189536851410e-01,-2.7784190465800002e-01,-9.9452189536851410e-01,7.1667999071051414e-01,7.1667999071051414e-01
29,3.3333333333400002e-02,7.3333333333399997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.9452189536779179e-01,-2.7912687735899999e-01,-9.9452189536779168e-01,7.1539501800879168e-01,7.1539501800879168e-01
30,3.3333333333400002e-02,7.6666666666700001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.5105651629437693e-01,-2.5476877248800001e-01,-9.5105651629437704e-01,6.9628774380637704e-01,6.9628774380637704e-01
31,1.6666666666700001e-02,7.8333333333300004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629573607e-01,-2.5476877249000002e-01,-9.5105651629573584e-01,6.9628774380573577e-01,6.9628774380573577e-01
32,1.6666666666700001e-02,8.1666666666700005e-01,5.0000000000000003e-02,1.2499999999899999e-04,-8.6602540378328663e-01,-2.3607851031999999e-01,-8.6602540378328641e-01,6.2994689346328636e-01,6.2994689346328636e-01
33,3.3333333333400002e-02,8.3333333333299997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-7.4314482547851546e-01,-2.1126313158000001e-01,-7.4314482547851513e-01,5.3188169389851514e-01,5.3188169389851514e-01
34,3.3333333333400002e-02,8.6666666666600001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229552281e-01,-1.4250378692999999e-01,-5.8778525229552314e-01,4.4528146536552315e-01,4.4528146536552315e-01
35,1.6666666666700001e-02,8.8333333333300001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229399803e-01,-1.4250378693099999e-01,-5.8778525229399692e-01,4.4528146536299695e-01,4.4528146536299695e-01
36,1.6666666666700001e-02,9.1666666666600005e-01,5.0000000000000003e-02,1.2500000000099999e-04,-4.0673664307943519e-01,-1.0414114905300000e-01,-4.0673664307943475e-01,3.0259549402643476e-01,3.0259549402643476e-01
37,3.3333333333499998e-02,9.3333333333299995e-01,5.0000000000000003e-02,1.2500000000099999e-04,-2.0791169081878413e-01,-6.2704050105199999e-02,-2.0791169081878452e-01,1.4520764071358452e-01,1.4520764071358452e-01
38,3.3333333333499998e-02,9.6666666666699996e-01,5.0000000000000003e-02,1.2500000000099999e-04,3.1412421411195134e-12,2.4192801711600001e-02,3.1417319998391725e-12,2.4192801708458268e-02,2.4192801708458268e-02
39,1.6666666666700001e-02,9.8333333333299999e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.8849595359634953e-12,2.4192801710399999e-02,-1.8844696772438362e-12,2.4192801712284467e-02,2.4192801712284467e-02
40,8.3333333333200005e-02,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229196488e-01,1.8164856238300001e-01,5.8778525229196477e-01,-4.0613668990896479e-01,4.0613668990896479e-01
41,6.6666666666599997e-02,3.3333333333499998e-02,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525229298140e-01,1.8164856238200000e-01,5.8778525229298229e-01,-4.0613668991098228e-01,4.0613668991098228e-01
42,6.6666666666599997e-02,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547809491e-01,2.1347913491800000e-01,7.4314482547809546e-01,-5.2966569056009549e-01,5.2966569056009549e-01
43,8.3333333333200005e-02,8.3333333333600004e-02,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378485759e-01,2.4037364316500001e-01,8.6602540378485748e-01,-6.2565176061985750e-01,6.2565176061985750e-01
44,8.3333333333200005e-02,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629554189e-01,2.6972074623199999e-01,9.5105651629554178e-01,-6.8133577006354185e-01,6.8133577006354185e-01
45,6.6666666666599997e-02,1.3333333333399999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629631849e-01,2.6972074622999997e-01,9.5105651629631849e-01,-6.8133577006631851e-01,6.8133577006631851e-01
46,6.6666666666599997e-02,1.6666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536844848e-01,2.7784190465899999e-01,9.9452189536844859e-01,-7.1667999070944854e-01,7.1667999070944854e-01
47,8.3333333333299994e-02,1.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536785740e-01,2.7912687736100000e-01,9.9452189536785751e-01,-7.1539501800685756e-01,7.1539501800685756e-01
48,8.3333333333299994e-02,2.1666666666699999e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629457122e-01,2.5476877249000002e-01,9.5105651629457100e-01,-6.9628774380457092e-01,6.9628774380457092e-01
49,6.6666666666599997e-02,2.3333333333400000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629398869e-01,2.5476877249000002e-01,9.5105651629398857e-01,-6.9628774380398850e-01,6.9628774380398850e-01
50,6.6666666666599997e-02,2.6666666666799999e-01,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378045945e-01,2.3607851031999999e-01,8.6602540378045878e-01,-6.2994689346045885e-01,6.2994689346045885e-01
51,8.3333333333299994e-02,2.8333333333400001e-01,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547473137e-01,2.1126313158000001e-01,7.4314482547473104e-01,-5.3188169389473106e-01,5.3188169389473106e-01
52,8.3333333333299994e-02,3.1666666666799997e-01,5.0000000000000003e-02,1.2500000000000000e-04,5.8778525228586509e-01,1.4250378693099999e-01,5.8778525228586498e-01,-4.4528146535486501e-01,4.4528146535486501e-01
53,6.6666666666700000e-02,3.3333333333499998e-01,5.0000000000000003e-02,1.2500000000099999e-04,5.8778525228383194e-01,1.4250378692900001e-01,5.8778525228383149e-01,-4.4528146535483148e-01,4.4528146535483148e-01
54,6.6666666666700000e-02,3.6666666666800002e-01,5.0000000000000003e-02,1.2500000000099999e-04,4.0673664306795548e-01,1.0414114905100000e-01,4.0673664306795426e-01,-3.0259549401695429e-01,3.0259549401695429e-01
55,8.3333333333399998e-02,3.8333333333500003e-01,5.0000000000000003e-02,1.2500000000099999e-04,2.0791169080710645e-01,6.2704050103799994e-02,2.0791169080710553e-01,-1.4520764070330555e-01,1.4520764070330555e-01
56,8.3333333333399998e-02,4.1666666666800001e-01,5.0000000000000003e-02,1.2500000000099999e-04,-8.7963966040301261e-12,-2.4192801712300000e-02,-8.7968864627497844e-12,-2.4192801703503113e-02,2.4192801703503113e-02
57,6.6666666666700000e-02,4.3333333333500001e-01,5.0000000000000003e-02,1.2500000000099999e-04,-1.0681111210633792e-11,-2.4192801711800001e-02,-1.0681601069353450e-11,-2.4192801701118399e-02,2.4192801701118399e-02
58,6.6666666666700000e-02,4.6666666666800000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-2.0791169082615876e-01,-6.7574591527199995e-02,-2.0791169082616012e-01,1.4033709929896013e-01,1.4033709929896013e-01
59,8.3333333333399998e-02,4.8333333333500000e-01,5.0000000000000003e-02,1.2500000000099999e-04,-4.0673664308574947e-01,-1.0980584727900000e-01,-4.0673664308575036e-01,2.9693079580675036e-01,2.9693079580675036e-01
60,8.3333333333399998e-02,5.1666666666799999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525229958922e-01,-1.8164856238200000e-01,-5.8778525229958856e-01,4.0613668991758856e-01,4.0613668991758856e-01
61,6.6666666666800004e-02,5.3333333333499999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-5.8778525230162271e-01,-1.8164856238099999e-01,-5.8778525230162348e-01,4.0613668992062346e-01,4.0613668992062346e-01
62,6.6666666666800004e-02,5.6666666666800003e-01,5.0000000000000003e-02,1.2499999999899999e-04,-7.4314482548356053e-01,-2.1347913491699999e-01,-7.4314482548356176e-01,5.2966569056656176e-01,5.2966569056656176e-01
63,8.3333333333500001e-02,5.8333333333500004e-01,5.0000000000000003e-02,1.2499999999899999e-04,-8.6602540379019821e-01,-2.4037364316300000e-01,-8.6602540379019899e-01,6.2565176062719896e-01,6.2565176062719896e-01
64,8.3333333333500001e-02,6.1666666666799996e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629806587e-01,-2.6972074622900000e-01,-9.5105651629806576e-01,6.8133577006906576e-01,6.8133577006906576e-01
65,6.6666666666800004e-02,6.3333333333399999e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.5105651629670673e-01,-2.6972074622800002e-01,-9.5105651629670718e-01,6.8133577006870716e-01,6.8133577006870716e-01
66,6.6666666666800004e-02,6.6666666666700003e-01,5.0000000000000003e-02,1.2499999999899999e-04,-9.9452189536857982e-01,-2.7784190465699998e-01,-9.9452189536857993e-01,7.1667999071157995e-01,7.1667999071157995e-01
67,8.3333333333500001e-02,6.8333333333400004e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.9452189536772595e-01,-2.7912687735899999e-01,-9.9452189536772584e-01,7.1539501800872585e-01,7.1539501800872585e-01
68,8.3333333333500001e-02,7.1666666666699996e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.5105651629418286e-01,-2.5476877248800001e-01,-9.5105651629418297e-01,6.9628774380618297e-01,6.9628774380618297e-01
69,6.6666666666800004e-02,7.3333333333399997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-9.5105651629360044e-01,-2.5476877248800001e-01,-9.5105651629360000e-01,6.9628774380559999e-01,6.9628774380559999e-01
70,6.6666666666800004e-02,7.6666666666700001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-8.6602540378297266e-01,-2.3607851031900001e-01,-8.6602540378297244e-01,6.2994689346397248e-01,6.2994689346397248e-01
71,8.3333333333600004e-02,7.8333333333300004e-01,5.0000000000000003e-02,1.2500000000000000e-04,-7.4314482547767446e-01,-2.1126313157800000e-01,-7.4314482547767413e-01,5.3188169389967410e-01,5.3188169389967410e-01
72,8.3333333333600004e-02,8.1666666666700005e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525228942302e-01,-1.4250378692900001e-01,-5.8778525228942269e-01,4.4528146536042268e-01,4.4528146536042268e-01
73,6.6666666666900007e-02,8.3333333333299997e-01,5.0000000000000003e-02,1.2500000000000000e-04,-5.8778525229298129e-01,-1.4250378692999999e-01,-5.8778525229298095e-01,4.4528146536298097e-01,4.4528146536298097e-01
74,6.6666666666900007e-02,8.6666666666600001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-4.0673664307828789e-01,-1.0414114905100000e-01,-4.0673664307828661e-01,3.0259549402728658e-01,3.0259549402728658e-01
75,8.3333333333600004e-02,8.8333333333300001e-01,5.0000000000000003e-02,1.2500000000000000e-04,-2.0791169081816904e-01,-6.2704050104100004e-02,-2.0791169081816771e-01,1.4520764071406772e-01,1.4520764071406772e-01
76,8.3333333333600004e-02,9.1666666666600005e-01,5.0000000000000003e-02,1.2500000000099999e-04,-2.5129016786914838e-12,2.4192801712700000e-02,-2.5124118199718248e-12,2.4192801715212410e-02,2.4192801715212410e-02
77,6.6666666666900007e-02,9.3333333333299995e-01,5.0000000000000003e-02,1.2500000000099999e-04,-6.2907525050751819e-13,2.4192801711600001e-02,-6.2769721336815902e-13,2.4192801712227697e-02,2.4192801712227697e-02
78,6.6666666666900007e-02,9.6666666666699996e-01,5.0000000000000003e-02,1.2500000000099999e-04,2.0791169082124142e-01,6.7574591527299999e-02,2.0791169082124189e-01,-1.4033709929394189e-01,1.4033709929394189e-01
79,8.3333333333699994e-02,9.8333333333299999e-01,5.0000000000000003e-02,1.2500000000099999e-04,4.0673664307599117e-01,1.0980584727900000e-01,4.0673664307599161e-01,-2.9693079579699161e-01,2.9693079579699161e-01
80,1.1666666666599999e-01,1.6666666666700001e-02,5.0000000000000003e-02,1.2500000000000000e-04,7.4314482547473160e-01,2.1347913492000001e-01,7.4314482547473160e-01,-5.2966569055473156e-01,5.2966569055473156e-01
81,1.3333333333299999e-01,3.3333333333400002e-02,5.0000000000000003e-02,1.2500000000000000e-04,8.6602540378360082e-01,2.4037364316599999e-01,8.6602540378360160e-01,-6.2565176061760164e-01,6.2565176061760164e-01
82,1.3333333333299999e-01,6.6666666666900007e-02,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629495935e-01,2.6972074623199999e-01,9.5105651629495935e-01,-6.8133577006295942e-01,6.8133577006295942e-01
83,1.1666666666700000e-01,8.3333333333600004e-02,5.0000000000000003e-02,1.2500000000000000e-04,9.5105651629631849e-01,2.6972074623199999e-01,9.5105651629631849e-01,-6.8133577006431856e-01,6.8133577006431856e-01
84,1.1666666666700000e-01,1.1666666666700000e-01,5.0000000000000003e-02,1.2500000000000000e-04,9.9452189536871116e-01,2.7784190466100001e-01,9.9452189536871116e-01,-7.1667999070771116e-01,7.1667999070771116e-01
