cell,x,y,initial,numerical,exact,error,absError
18,-5.3749999999999998e-01,-9.8750000000000004e-01,6.2572888070319869e-172,1.9278609472900000e-07,2.6548711180889074e-34,1.9278609472900000e-07,1.9278609472900000e-07
19,-5.1249999999999996e-01,-9.8750000000000004e-01,4.0812122466178738e-170,2.0034015830599999e-07,6.1224329700811098e-34,2.0034015830599999e-07,2.0034015830599999e-07
20,-4.8749999999999993e-01,-9.8750000000000004e-01,2.1816848709390164e-168,2.0405425074500001e-07,1.3568274050118016e-33,2.0405425074500001e-07,2.0405425074500001e-07
21,-4.6250000000000002e-01,-9.8750000000000004e-01,9.5586094389020228e-167,2.0398185367200000e-07,2.8896493535377372e-33,2.0398185367200000e-07,2.0398185367200000e-07
22,-4.3750000000000000e-01,-9.8750000000000004e-01,3.4323950880004439e-165,2.0034643320499999e-07,5.9140590592174168e-33,2.0034643320499999e-07,2.0034643320499999e-07
23,-4.1249999999999998e-01,-9.8750000000000004e-01,1.0101821373410650e-163,1.9350824358599999e-07,1.1631778936757774e-32,1.9350824358599999e-07,1.9350824358599999e-07
24,-3.8749999999999996e-01,-9.8750000000000004e-01,2.4366993970368980e-162,1.8392855889699999e-07,2.1985006278833770e-32,1.8392855889699999e-07,1.8392855889699999e-07
25,-3.6249999999999993e-01,-9.8750000000000004e-01,4.8173043465699117e-161,1.7213393461299999e-07,3.9932547764954608e-32,1.7213393461299999e-07,1.7213393461299999e-07
26,-3.3749999999999991e-01,-9.8750000000000004e-01,7.8055960481921809e-160,1.5868238762100000e-07,6.9702349478748141e-32,1.5868238762100000e-07,1.5868238762100000e-07
27,-3.1250000000000000e-01,-9.8750000000000004e-01,1.0365921540194808e-158,1.4413285128300001e-07,1.1691972529103809e-31,1.4413285128300001e-07,1.4413285128300001e-07
28,-2.8749999999999998e-01,-9.8750000000000004e-01,1.1282611149504933e-157,1.2901887567199999e-07,1.8847255886345328e-31,1.2901887567199999e-07,1.2901887567199999e-07
29,-2.6249999999999996e-01,-9.8750000000000004e-01,1.0064939807396967e-156,1.1382724384000001e-07,2.9196341796328193e-31,1.1382724384000001e-07,1.1382724384000001e-07
30,-2.3749999999999993e-01,-9.8750000000000004e-01,7.3588949171467433e-156,9.8981909239900000e-08,4.3463903030131947e-31,9.8981909239900000e-08,9.8981909239900000e-08
31,-2.1249999999999991e-01,-9.8750000000000004e-01,4.4097490855110109e-155,8.4833393256399995e-08,6.2179751002812887e-31,8.4833393256399995e-08,8.4833393256399995e-08
32,-1.8750000000000000e-01,-9.8750000000000004e-01,2.1657833685462413e-154,7.1653505578799998e-08,8.5484860180291234e-31,7.1653505578799998e-08,7.1653505578799998e-08
33,-1.6249999999999998e-01,-9.8750000000000004e-01,8.7179828019598763e-154,5.9634974983400000e-08,1.1294042155099416e-30,5.9634974983400000e-08,5.9634974983400000e-08
34,-1.3749999999999996e-01,-9.8750000000000004e-01,2.8761852820463050e-153,4.8895328255600001e-08,1.4339353613710954e-30,4.8895328255600001e-08,4.8895328255600001e-08
35,-1.1249999999999993e-01,-9.8750000000000004e-01,7.7770979590574017e-153,3.9484158408200002e-08,1.7495635280323405e-30,3.9484158408200002e-08,3.9484158408200002e-08
36,-8.7499999999999911e-02,-9.8750000000000004e-01,1.7235271817390739e-152,3.1392803359300003e-08,2.0513975392952940e-30,3.1392803359300003e-08,3.1392803359300003e-08
37,-6.2500000000000000e-02,-9.8750000000000004e-01,3.1305349944454561e-152,2.4565426230899999e-08,2.3114788041938394e-30,2.4565426230899999e-08,2.4565426230899999e-08
38,-3.7499999999999978e-02,-9.8750000000000004e-01,4.6603533545468951e-152,1.8910570486499999e-08,2.5029373100991949e-30,1.8910570486499999e-08,1.8910570486499999e-08
39,-1.2499999999999956e-02,-9.8750000000000004e-01,5.6861588579989562e-152,1.4313147862599999e-08,2.6045338165282615e-30,1.4313147862599999e-08,1.4313147862599999e-08
40,1.2499999999999956e-02,-9.8750000000000004e-01,5.6861588579989562e-152,1.0671330599100001e-08,2.6045338165282615e-30,1.0671330599100001e-08,1.0671330599100001e-08
