i,j,x,y,numerical,exact,error,absError
22,0,5.6250000000000000e-01,1.2500000000000001e-02,-2.1612618525499999e-01,-4.5399049973954630e-01,2.3786431448454631e-01,2.3786431448454631e-01
23,0,5.8750000000000002e-01,1.2500000000000001e-02,-2.7593530551099998e-01,-5.8778525229247336e-01,3.1184994678147337e-01,3.1184994678147337e-01
24,0,6.1250000000000004e-01,1.2500000000000001e-02,-3.2894998276999998e-01,-7.0710678118654835e-01,3.7815679841654837e-01,3.7815679841654837e-01
25,0,6.3749999999999996e-01,1.2500000000000001e-02,-3.7386481973000002e-01,-8.0901699437494767e-01,4.3515217464494765e-01,4.3515217464494765e-01
26,0,6.6249999999999998e-01,1.2500000000000001e-02,-4.0957386404200002e-01,-8.9100652418836757e-01,4.8143266014636754e-01,4.8143266014636754e-01
27,0,6.8750000000000000e-01,1.2500000000000001e-02,-4.3519784052400001e-01,-9.5105651629515364e-01,5.1585867577115363e-01,5.1585867577115363e-01
28,0,7.1250000000000002e-01,1.2500000000000001e-02,-4.5010580183299997e-01,-9.8768834059513788e-01,5.3758253876213791e-01,5.3758253876213791e-01
29,0,7.3750000000000004e-01,1.2500000000000001e-02,-4.5393066448600000e-01,-1.0000000000000000e+00,5.4606933551400005e-01,5.4606933551400005e-01
30,0,7.6249999999999996e-01,1.2500000000000001e-02,-4.4657824766999998e-01,-9.8768834059513777e-01,5.4111009292513779e-01,5.4111009292513779e-01
31,0,7.8749999999999998e-01,1.2500000000000001e-02,-4.2822959228700003e-01,-9.5105651629515375e-01,5.2282692400815378e-01,5.2282692400815378e-01
32,0,8.1250000000000000e-01,1.2500000000000001e-02,-3.9933650313000002e-01,-8.9100652418836768e-01,4.9167002105836766e-01,4.9167002105836766e-01
33,0,8.3750000000000002e-01,1.2500000000000001e-02,-3.6061042394400000e-01,-8.0901699437494679e-01,4.4840657043094678e-01,4.4840657043094678e-01
34,0,8.6250000000000004e-01,1.2500000000000001e-02,-3.1300491932300001e-01,-7.0710678118654735e-01,3.9410186186354734e-01,3.9410186186354734e-01
35,0,8.8749999999999996e-01,1.2500000000000001e-02,-2.5769219478499999e-01,-5.8778525229247358e-01,3.3009305750747359e-01,3.3009305750747359e-01
36,0,9.1249999999999998e-01,1.2500000000000001e-02,-1.9603423317999999e-01,-4.5399049973954736e-01,2.5795626655954740e-01,2.5795626655954740e-01
37,0,9.3750000000000000e-01,1.2500000000000001e-02,-1.2954925815300000e-01,-3.0901699437494717e-01,1.7946773622194717e-01,1.7946773622194717e-01
38,0,9.6250000000000002e-01,1.2500000000000001e-02,-5.9874350441599999e-02,-1.5643446504022973e-01,9.6560114598629732e-02,9.6560114598629732e-02
39,0,9.8750000000000004e-01,1.2500000000000001e-02,1.1274862489400000e-02,2.4492935982947064e-16,1.1274862489399755e-02,1.1274862489399755e-02
0,1,1.2500000000000001e-02,3.7499999999999999e-02,1.5099532103499999e-01,3.0901699437494790e-01,-1.5802167333994790e-01,1.5802167333994790e-01
1,1,3.7499999999999999e-02,3.7499999999999999e-02,2.1612618525499999e-01,4.5399049973954642e-01,-2.3786431448454642e-01,2.3786431448454642e-01
2,1,6.2500000000000000e-02,3.7499999999999999e-02,2.7593530551099998e-01,5.8778525229247347e-01,-3.1184994678147349e-01,3.1184994678147349e-01
3,1,8.7499999999999994e-02,3.7499999999999999e-02,3.2894998276999998e-01,7.0710678118654846e-01,-3.7815679841654848e-01,3.7815679841654848e-01
4,1,1.1250000000000000e-01,3.7499999999999999e-02,3.7386481973000002e-01,8.0901699437494767e-01,-4.3515217464494765e-01,4.3515217464494765e-01
5,1,1.3750000000000001e-01,3.7499999999999999e-02,4.0957386404200002e-01,8.9100652418836845e-01,-4.8143266014636843e-01,4.8143266014636843e-01
6,1,1.6250000000000001e-01,3.7499999999999999e-02,4.3519784052400001e-01,9.5105651629515375e-01,-5.1585867577115374e-01,5.1585867577115374e-01
7,1,1.8750000000000000e-01,3.7499999999999999e-02,4.5010580183299997e-01,9.8768834059513788e-01,-5.3758253876213791e-01,5.3758253876213791e-01
8,1,2.1249999999999999e-01,3.7499999999999999e-02,4.5393066448600000e-01,1.0000000000000000e+00,-5.4606933551400005e-01,5.4606933551400005e-01
9,1,2.3749999999999999e-01,3.7499999999999999e-02,4.4657824766999998e-01,9.8768834059513777e-01,-5.4111009292513779e-01,5.4111009292513779e-01
10,1,2.6250000000000001e-01,3.7499999999999999e-02,4.2822959228700003e-01,9.5105651629515342e-01,-5.2282692400815334e-01,5.2282692400815334e-01
11,1,2.8749999999999998e-01,3.7499999999999999e-02,3.9933650313000002e-01,8.9100652418836812e-01,-4.9167002105836810e-01,4.9167002105836810e-01
12,1,3.1250000000000000e-01,3.7499999999999999e-02,3.6061042394400000e-01,8.0901699437494723e-01,-4.4840657043094723e-01,4.4840657043094723e-01
13,1,3.3750000000000002e-01,3.7499999999999999e-02,3.1300491932300001e-01,7.0710678118654791e-01,-3.9410186186354790e-01,3.9410186186354790e-01
14,1,3.6249999999999999e-01,3.7499999999999999e-02,2.5769219478499999e-01,5.8778525229247280e-01,-3.3009305750747281e-01,3.3009305750747281e-01
15,1,3.8750000000000001e-01,3.7499999999999999e-02,1.9603423317999999e-01,4.5399049973954564e-01,-2.5795626655954562e-01,2.5795626655954562e-01
16,1,4.1249999999999998e-01,3.7499999999999999e-02,1.2954925815300000e-01,3.0901699437494706e-01,-1.7946773622194706e-01,1.7946773622194706e-01
17,1,4.3750000000000000e-01,3.7499999999999999e-02,5.9874350441599999e-02,1.5643446504022962e-01,-9.6560114598629621e-02,9.6560114598629621e-02
18,1,4.6250000000000002e-01,3.7499999999999999e-02,-1.1274862489400000e-02,-3.6739403974420594e-16,-1.1274862489399632e-02,1.1274862489399632e-02
19,1,4.8749999999999999e-01,3.7499999999999999e-02,-8.2146450886899994e-02,-1.5643446504023034e-01,7.4288014153330348e-02,7.4288014153330348e-02
20,1,5.1249999999999996e-01,3.7499999999999999e-02,-1.5099532103499999e-01,-3.0901699437494606e-01,1.5802167333994607e-01,1.5802167333994607e-01
21,1,5.3749999999999998e-01,3.7499999999999999e-02,-2.1612618525499999e-01,-4.5399049973954630e-01,2.3786431448454631e-01,2.3786431448454631e-01
22,1,5.6250000000000000e-01,3.7499999999999999e-02,-2.7593530551099998e-01,-5.8778525229247336e-01,3.1184994678147337e-01,3.1184994678147337e-01
23,1,5.8750000000000002e-01,3.7499999999999999e-02,-3.2894998276999998e-01,-7.0710678118654835e-01,3.7815679841654837e-01,3.7815679841654837e-01
24,1,6.1250000000000004e-01,3.7499999999999999e-02,-3.7386481973000002e-01,-8.0901699437494767e-01,4.3515217464494765e-01,4.3515217464494765e-01
25,1,6.3749999999999996e-01,3.7499999999999999e-02,-4.0957386404200002e-01,-8.9100652418836757e-01,4.8143266014636754e-01,4.8143266014636754e-01
26,1,6.6249999999999998e-01,3.7499999999999999e-02,-4.3519784052400001e-01,-9.5105651629515364e-01,5.1585867577115363e-01,5.1585867577115363e-01
27,1,6.8750000000000000e-01,3.7499999999999999e-02,-4.5010580183299997e-01,-9.8768834059513788e-01,5.3758253876213791e-01,5.3758253876213791e-01
28,1,7.1250000000000002e-01,3.7499999999999999e-02,-4.5393066448600000e-01,-1.0000000000000000e+00,5.4606933551400005e-01,5.4606933551400005e-01
29,1,7.3750000000000004e-01,3.7499999999999999e-02,-4.4657824766999998e-01,-9.8768834059513777e-01,5.4111009292513779e-01,5.4111009292513779e-01
30,1,7.6249999999999996e-01,3.7499999999999999e-02,-4.2822959228700003e-01,-9.5105651629515375e-01,5.2282692400815378e-01,5.2282692400815378e-01
31,1,7.8749999999999998e-01,3.7499999999999999e-02,-3.9933650313000002e-01,-8.9100652418836768e-01,4.9167002105836766e-01,4.9167002105836766e-01
32,1,8.1250000000000000e-01,3.7499999999999999e-02,-3.6061042394400000e-01,-8.0901699437494679e-01,4.4840657043094678e-01,4.4840657043094678e-01
33,1,8.3750000000000002e-01,3.7499999999999999e-02,-3.1300491932300001e-01,-7.0710678118654735e-01,3.9410186186354734e-01,3.9410186186354734e-01
34,1,8.6250000000000004e-01,3.7499999999999999e-02,-2.5769219478499999e-01,-5.8778525229247358e-01,3.3009305750747359e-01,3.3009305750747359e-01
35,1,8.8749999999999996e-01,3.7499999999999999e-02,-1.9603423317999999e-01,-4.5399049973954736e-01,2.5795626655954740e-01,2.5795626655954740e-01
36,1,9.1249999999999998e-01,3.7499999999999999e-02,-1.2954925815300000e-01,-3.0901699437494717e-01,1.7946773622194717e-01,1.7946773622194717e-01
37,1,9.3750000000000000e-01,3.7499999999999999e-02,-5.9874350441599999e-02,-1.5643446504022973e-01,9.6560114598629732e-02,9.6560114598629732e-02
38,1,9.6250000000000002e-01,3.7499999999999999e-02,1.1274862489400000e-02,2.4492935982947064e-16,1.1274862489399755e-02,1.1274862489399755e-02
39,1,9.8750000000000004e-01,3.7499999999999999e-02,8.2146450886899994e-02,1.5643446504023198e-01,-7.4288014153331985e-02,7.4288014153331985e-02
0,2,1.2500000000000001e-02,6.2500000000000000e-02,2.1612618525499999e-01,4.5399049973954642e-01,-2.3786431448454642e-01,2.3786431448454642e-01
1,2,3.7499999999999999e-02,6.2500000000000000e-02,2.7593530551099998e-01,5.8778525229247347e-01,-3.1184994678147349e-01,3.1184994678147349e-01
2,2,6.2500000000000000e-02,6.2500000000000000e-02,3.2894998276999998e-01,7.0710678118654846e-01,-3.7815679841654848e-01,3.7815679841654848e-01
3,2,8.7499999999999994e-02,6.2500000000000000e-02,3.7386481973000002e-01,8.0901699437494767e-01,-4.3515217464494765e-01,4.3515217464494765e-01
4,2,1.1250000000000000e-01,6.2500000000000000e-02,4.0957386404200002e-01,8.9100652418836845e-01,-4.8143266014636843e-01,4.8143266014636843e-01
5,2,1.3750000000000001e-01,6.2500000000000000e-02,4.3519784052400001e-01,9.5105651629515375e-01,-5.1585867577115374e-01,5.1585867577115374e-01
6,2,1.6250000000000001e-01,6.2500000000000000e-02,4.5010580183299997e-01,9.8768834059513788e-01,-5.3758253876213791e-01,5.3758253876213791e-01
7,2,1.8750000000000000e-01,6.2500000000000000e-02,4.5393066448600000e-01,1.0000000000000000e+00,-5.4606933551400005e-01,5.4606933551400005e-01
8,2,2.1249999999999999e-01,6.2500000000000000e-02,4.4657824766999998e-01,9.8768834059513777e-01,-5.4111009292513779e-01,5.4111009292513779e-01
9,2,2.3749999999999999e-01,6.2500000000000000e-02,4.2822959228700003e-01,9.5105651629515342e-01,-5.2282692400815334e-01,5.2282692400815334e-01
10,2,2.6250000000000001e-01,6.2500000000000000e-02,3.9933650313000002e-01,8.9100652418836812e-01,-4.9167002105836810e-01,4.9167002105836810e-01
11,2,2.8749999999999998e-01,6.2500000000000000e-02,3.6061042394400000e-01,8.0901699437494723e-01,-4.4840657043094723e-01,4.4840657043094723e-01
12,2,3.1250000000000000e-01,6.2500000000000000e-02,3.1300491932300001e-01,7.0710678118654791e-01,-3.9410186186354790e-01,3.9410186186354790e-01
13,2,3.3750000000000002e-01,6.2500000000000000e-02,2.5769219478499999e-01,5.8778525229247280e-01,-3.3009305750747281e-01,3.3009305750747281e-01
14,2,3.6249999999999999e-01,6.2500000000000000e-02,1.9603423317999999e-01,4.5399049973954564e-01,-2.5795626655954562e-01,2.5795626655954562e-01
15,2,3.8750000000000001e-01,6.2500000000000000e-02,1.2954925815300000e-01,3.0901699437494706e-01,-1.7946773622194706e-01,1.7946773622194706e-01
16,2,4.1249999999999998e-01,6.2500000000000000e-02,5.9874350441599999e-02,1.5643446504022962e-01,-9.6560114598629621e-02,9.6560114598629621e-02
17,2,4.3750000000000000e-01,6.2500000000000000e-02,-1.1274862489400000e-02,-3.6739403974420594e-16,-1.1274862489399632e-02,1.1274862489399632e-02
18,2,4.6250000000000002e-01,6.2500000000000000e-02,-8.2146450886899994e-02,-1.5643446504023034e-01,7.4288014153330348e-02,7.4288014153330348e-02
19,2,4.8749999999999999e-01,6.2500000000000000e-02,-1.5099532103499999e-01,-3.0901699437494778e-01,1.5802167333994779e-01,1.5802167333994779e-01
20,2,5.1249999999999996e-01,6.2500000000000000e-02,-2.1612618525499999e-01,-4.5399049973954630e-01,2.3786431448454631e-01,2.3786431448454631e-01
21,2,5.3749999999999998e-01,6.2500000000000000e-02,-2.7593530551099998e-01,-5.8778525229247336e-01,3.1184994678147337e-01,3.1184994678147337e-01
22,2,5.6250000000000000e-01,6.2500000000000000e-02,-3.2894998276999998e-01,-7.0710678118654835e-01,3.7815679841654837e-01,3.7815679841654837e-01
23,2,5.8750000000000002e-01,6.2500000000000000e-02,-3.7386481973000002e-01,-8.0901699437494767e-01,4.3515217464494765e-01,4.3515217464494765e-01
24,2,6.1250000000000004e-01,6.2500000000000000e-02,-4.0957386404200002e-01,-8.9100652418836845e-01,4.8143266014636843e-01,4.8143266014636843e-01
25,2,6.3749999999999996e-01,6.2500000000000000e-02,-4.3519784052400001e-01,-9.5105651629515364e-01,5.1585867577115363e-01,5.1585867577115363e-01
26,2,6.6249999999999998e-01,6.2500000000000000e-02,-4.5010580183299997e-01,-9.8768834059513788e-01,5.3758253876213791e-01,5.3758253876213791e-01
27,2,6.8750000000000000e-01,6.2500000000000000e-02,-4.5393066448600000e-01,-1.0000000000000000e+00,5.4606933551400005e-01,5.4606933551400005e-01
28,2,7.1250000000000002e-01,6.2500000000000000e-02,-4.4657824766999998e-01,-9.8768834059513777e-01,5.4111009292513779e-01,5.4111009292513779e-01
29,2,7.3750000000000004e-01,6.2500000000000000e-02,-4.2822959228700003e-01,-9.5105651629515353e-01,5.2282692400815356e-01,5.2282692400815356e-01
30,2,7.6249999999999996e-01,6.2500000000000000e-02,-3.9933650313000002e-01,-8.9100652418836768e-01,4.9167002105836766e-01,4.9167002105836766e-01
31,2,7.8749999999999998e-01,6.2500000000000000e-02,-3.6061042394400000e-01,-8.0901699437494679e-01,4.4840657043094678e-01,4.4840657043094678e-01
32,2,8.1250000000000000e-01,6.2500000000000000e-02,-3.1300491932300001e-01,-7.0710678118654735e-01,3.9410186186354734e-01,3.9410186186354734e-01
33,2,8.3750000000000002e-01,6.2500000000000000e-02,-2.5769219478499999e-01,-5.8778525229247358e-01,3.3009305750747359e-01,3.3009305750747359e-01
34,2,8.6250000000000004e-01,6.2500000000000000e-02,-1.9603423317999999e-01,-4.5399049973954658e-01,2.5795626655954662e-01,2.5795626655954662e-01
35,2,8.8749999999999996e-01,6.2500000000000000e-02,-1.2954925815300000e-01,-3.0901699437494717e-01,1.7946773622194717e-01,1.7946773622194717e-01
36,2,9.1249999999999998e-01,6.2500000000000000e-02,-5.9874350441599999e-02,-1.5643446504022973e-01,9.6560114598629732e-02,9.6560114598629732e-02
37,2,9.3750000000000000e-01,6.2500000000000000e-02,1.1274862489400000e-02,2.4492935982947064e-16,1.1274862489399755e-02,1.1274862489399755e-02
38,2,9.6250000000000002e-01,6.2500000000000000e-02,8.2146450886899994e-02,1.5643446504023023e-01,-7.4288014153330237e-02,7.4288014153330237e-02
39,2,9.8750000000000004e-01,6.2500000000000000e-02,1.5099532103499999e-01,3.0901699437494762e-01,-1.5802167333994763e-01,1.5802167333994763e-01
