cell,x,y,z,volume,numerical,exact,error,absError
57,8.3333333333399998e-03,3.5833333333500000e-01,5.0000000000000003e-02,7.8125000000300004e-06,5.4599733449800003e-01,7.4314482543672389e-01,-1.9714749093872386e-01,1.9714749093872386e-01
58,8.3333333333399998e-03,3.6666666666800002e-01,5.0000000000000003e-02,7.8125000000300004e-06,5.0638227496599997e-01,7.0710678114505099e-01,-2.0072450617905102e-01,2.0072450617905102e-01
59,4.1666666666699999e-03,3.7083333333500001e-01,5.0000000000000003e-02,7.8125000000400004e-06,5.0638227496599997e-01,7.0710678114358383e-01,-2.0072450617758386e-01,2.0072450617758386e-01
60,4.1666666666699999e-03,3.7916666666799997e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.8577798770000002e-01,6.6913060631526233e-01,-1.8335261861526231e-01,1.8335261861526231e-01
61,8.3333333333399998e-03,3.8333333333500003e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.6440812636599998e-01,6.2932039100260118e-01,-1.6491226463660119e-01,1.6491226463660119e-01
62,8.3333333333399998e-03,3.9166666666799999e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.1887405064500000e-01,5.8778525224499523e-01,-1.6891120159999523e-01,1.6891120159999523e-01
63,4.1666666666699999e-03,3.9583333333499998e-01,5.0000000000000003e-02,7.8125000000400004e-06,4.1887405064500000e-01,5.8778525224331812e-01,-1.6891120159831813e-01,1.6891120159831813e-01
64,4.1666666666699999e-03,4.0416666666800000e-01,5.0000000000000003e-02,7.8125000000400004e-06,3.9544302135900000e-01,5.4463903496582655e-01,-1.4919601360682655e-01,1.4919601360682655e-01
65,8.3333333333399998e-03,4.0833333333499999e-01,5.0000000000000003e-02,7.8125000000400004e-06,3.7138364888100001e-01,4.9999999994736227e-01,-1.2861635106636227e-01,1.2861635106636227e-01
66,8.3333333333399998e-03,4.1666666666800001e-01,5.0000000000000003e-02,7.8125000000400004e-06,3.2105175703299998e-01,4.5399049968725647e-01,-1.3293874265425648e-01,1.3293874265425648e-01
67,4.1666666666699999e-03,4.2083333333500000e-01,5.0000000000000003e-02,7.8125000000400004e-06,3.2105175703400002e-01,4.5399049968540944e-01,-1.3293874265140943e-01,1.3293874265140943e-01
68,4.1666666666699999e-03,4.2916666666800002e-01,5.0000000000000003e-02,7.8125000000400004e-06,2.9537093543199999e-01,4.0673664302220636e-01,-1.1136570759020636e-01,1.1136570759020636e-01
69,8.3333333333399998e-03,4.3333333333500001e-01,5.0000000000000003e-02,7.8125000000400004e-06,2.6921447340700000e-01,3.5836794948855732e-01,-8.9153476081557326e-02,8.9153476081557326e-02
70,8.3333333333399998e-03,4.4166666666799997e-01,5.0000000000000003e-02,7.8125000000400004e-06,2.1532410365400001e-01,3.0901699431913382e-01,-9.3692890665133810e-02,9.3692890665133810e-02
71,4.1666666666699999e-03,4.4583333333500003e-01,5.0000000000000003e-02,7.8125000000400004e-06,2.1532410365400001e-01,3.0901699431716229e-01,-9.3692890663162276e-02,9.3692890663162276e-02
72,4.1666666666699999e-03,4.5416666666900002e-01,5.0000000000000003e-02,7.8125000000400004e-06,1.8802583679400001e-01,2.5881904503978598e-01,-7.0793208245785971e-02,7.0793208245785971e-02
73,8.3333333333399998e-03,4.5833333333499998e-01,5.0000000000000003e-02,7.8125000000400004e-06,1.6041634412700001e-01,2.0791169075830848e-01,-4.7495346631308472e-02,4.7495346631308472e-02
74,8.3333333333399998e-03,4.6666666666899997e-01,5.0000000000000003e-02,7.8125000000400004e-06,1.0429445622200000e-01,1.5643446497606278e-01,-5.2140008754062786e-02,5.2140008754062786e-02
75,4.1666666666699999e-03,4.7083333333499999e-01,5.0000000000000003e-02,7.8125000000400004e-06,1.0429445622300000e-01,1.5643446498021915e-01,-5.2140008757219150e-02,5.2140008757219150e-02
76,4.1666666666699999e-03,4.7916666666899999e-01,5.0000000000000003e-02,7.8125000000400004e-06,7.6050918033299997e-02,1.0452846320306232e-01,-2.8477545169762322e-02,2.8477545169762322e-02
