case,caseName,problem,mesh,resolution,nominalH,nCells,finalTime,finalTimeError,normalizedL1,normalizedL2,normalizedLinf,absoluteL1,absoluteL2,absoluteLinf,initialNormalizedL1,initialNormalizedL2,initialNormalizedLinf,exactNormL1,exactNormL2,exactNormLinf,relativeErrorValid,initialMass,finalMass,massChange,normalizedMassError,maxAbsResidualIntegral,minCo,maxCo,targetCo,initialAmplitude,finalAmplitude,minFinal,maxFinal,maxAbsFinal,timeSteps,meshOK,boundedBelowInitial,boundedAboveInitial,solverEnded,solverFatal,linearSolver,linearTolerance,nNonOrthogonalCorrectors
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/02_sine_wave_tri_upwind/N10,02_sine_wave_tri_upwind,sine_wave_advection_diffusion,tri,10,0.1,200,1.0,0.0,2.3384465765296164e+21,2.0821347143347035e+21,1.480401369447008e+21,7.541816952989978e-14,7.541816952989999e-14,7.54181695299e-14,1.1978697918143312e-13,1.0665739819854784e-13,7.58335938917559e-14,3.2251397268106294e-35,3.622156098290598e-35,5.094440675779153e-35,False,1.4735217390821665e-14,7.541816952989996e-15,-7.19340043783167e-15,1.1425306578789869e-13,,0.250000007061,0.45,0.45,0.9945218953690396,0.0,7.54181695299e-14,7.54181695299e-14,7.54181695299e-14,2756,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/02_sine_wave_tri_upwind/N20,02_sine_wave_tri_upwind,sine_wave_advection_diffusion,tri,20,0.05,800,1.0,0.0,1.6754361920418525e+21,1.4917954047425907e+21,1.060669103161865e+21,5.403515822690027e-14,5.403515822689959e-14,5.40351582269e-14,8.58242571244795e-14,7.641725360946915e-14,5.433279898461281e-14,3.225139726810346e-35,3.6221560982903924e-35,5.094440675779153e-35,False,-1.1420890140269611e-14,-5.4035158226896235e-15,6.017374317579988e-15,9.557419605910635e-14,,0.200000030068,0.45,0.45,0.994521895369368,0.0,-5.40351582269e-14,-5.40351582269e-14,5.40351582269e-14,10845,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/02_sine_wave_tri_upwind/N40,02_sine_wave_tri_upwind,sine_wave_advection_diffusion,tri,40,0.025,3200,1.0,0.0,1.437646528524813e+21,1.2907835788679869e+21,9.127218216617008e+20,4.675419611770101e-14,4.6754196117701144e-14,4.67541961177e-14,7.364347619103291e-14,6.61204182475099e-14,4.67541961177e-14,3.2521343174442244e-35,3.6221560982906543e-35,5.122502279235456e-35,False,-1.4286200047418537e-14,-4.6754196117697824e-15,9.610780435648755e-15,1.5138133878042124e-13,,0.100000131853,0.45,0.45,1.0,0.0,-4.67541961177e-14,-4.67541961177e-14,4.67541961177e-14,43023,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/02_sine_wave_tri_upwind/N80,02_sine_wave_tri_upwind,sine_wave_advection_diffusion,tri,80,0.0125,12800,1.0,0.0,1.6858205680542826e+21,1.5167311662499942e+21,1.0724908928922852e+21,5.493837043300175e-14,5.493837043299853e-14,5.4938370433e-14,8.635619702239966e-14,7.769458856102937e-14,5.4938370433e-14,3.2588504063875415e-35,3.6221560982906153e-35,5.122502279235456e-35,False,-5.074018116353399e-15,-5.493837043299973e-15,-4.198189269465742e-16,6.599024631308305e-15,,0.350000536526,0.450000000008,0.45,1.0,0.0,-5.4938370433e-14,-5.4938370433e-14,5.4938370433e-14,171378,True,True,True,True,False,,,
