i,j,x,y,initial,numerical,change,absChange
27,0,1.3750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.5446342544900000e-06,1.5446342544900000e-06,1.5446342544900000e-06
28,0,1.4249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.4541709244399999e-06,2.4541709244399999e-06,2.4541709244399999e-06
29,0,1.4749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.8225116318700000e-06,3.8225116318700000e-06,3.8225116318700000e-06
30,0,1.5250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.8425880793700003e-06,5.8425880793700003e-06,5.8425880793700003e-06
31,0,1.5750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.7718763587200007e-06,8.7718763587200007e-06,8.7718763587200007e-06
32,0,1.6250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.2947988232300000e-05,1.2947988232300000e-05,1.2947988232300000e-05
33,0,1.6750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.8806249477099998e-05,1.8806249477099998e-05,1.8806249477099998e-05
34,0,1.7249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.6899085053000000e-05,2.6899085053000000e-05,2.6899085053000000e-05
35,0,1.7749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.7916923383299999e-05,3.7916923383299999e-05,3.7916923383299999e-05
36,0,1.8250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.2710225332500002e-05,5.2710225332500002e-05,5.2710225332500002e-05
37,0,1.8750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.2312143444599997e-05,7.2312143444599997e-05,7.2312143444599997e-05
38,0,1.9250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,9.7961229200600007e-05,9.7961229200600007e-05,9.7961229200600007e-05
39,0,1.9750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3112353517400000e-04,1.3112353517400000e-04,1.3112353517400000e-04
40,0,2.0250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.7351340855900000e-04,1.7351340855900000e-04,1.7351340855900000e-04
41,0,2.0749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.2711224480299999e-04,2.2711224480299999e-04,2.2711224480299999e-04
42,0,2.1249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.9418446578499999e-04,2.9418446578499999e-04,2.9418446578499999e-04
43,0,2.1750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.7729000548699997e-04,3.7729000548699997e-04,3.7729000548699997e-04
44,0,2.2250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.7929262574600002e-04,4.7929262574600002e-04,4.7929262574600002e-04
45,0,2.2750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.0336344276299997e-04,6.0336344276299997e-04,6.0336344276299997e-04
46,0,2.3250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.5297911833600004e-04,7.5297911833600004e-04,7.5297911833600004e-04
47,0,2.3749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,9.3191425494499995e-04,9.3191425494499995e-04,9.3191425494499995e-04
48,0,2.4249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.1442276273599999e-03,1.1442276273599999e-03,1.1442276273599999e-03
49,0,2.4750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.3942419824200000e-03,1.3942419824200000e-03,1.3942419824200000e-03
50,0,2.5250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.6865172404500000e-03,1.6865172404500000e-03,1.6865172404500000e-03
51,0,2.5750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.0258170345399998e-03,2.0258170345399998e-03,2.0258170345399998e-03
52,0,2.6250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.4170686264400002e-03,2.4170686264400002e-03,2.4170686264400002e-03
53,0,2.6750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.8653163393599999e-03,2.8653163393599999e-03,2.8653163393599999e-03
54,0,2.7250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.3756687482899999e-03,3.3756687482899999e-03,3.3756687482899999e-03
55,0,2.7750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.9532399682699997e-03,3.9532399682699997e-03,3.9532399682699997e-03
56,0,2.8249999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.6030854797300003e-03,4.6030854797300003e-03,4.6030854797300003e-03
57,0,2.8749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.3301330293300002e-03,5.3301330293300002e-03,5.3301330293300002e-03
58,0,2.9249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.1391092435700003e-03,6.1391092435700003e-03,6.1391092435700003e-03
59,0,2.9749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,7.0344626917400004e-03,7.0344626917400004e-03,7.0344626917400004e-03
60,0,3.0249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,8.0202842333199995e-03,8.0202842333199995e-03,8.0202842333199995e-03
61,0,3.0750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,9.1002255823100005e-03,9.1002255823100005e-03,9.1002255823100005e-03
62,0,3.1250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.0277417115000000e-02,1.0277417115000000e-02,1.0277417115000000e-02
63,0,3.1750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.1554386036600001e-02,1.1554386036600001e-02,1.1554386036600001e-02
64,0,3.2250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.2932976104300000e-02,1.2932976104300000e-02,1.2932976104300000e-02
65,0,3.2750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.4414270173800000e-02,1.4414270173800000e-02,1.4414270173800000e-02
66,0,3.3250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.5998516893900000e-02,1.5998516893900000e-02,1.5998516893900000e-02
67,0,3.3750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.7685062914800001e-02,1.7685062914800001e-02,1.7685062914800001e-02
68,0,3.4250000000000003e-01,2.5000000000000001e-03,0.0000000000000000e+00,1.9472291991100000e-02,1.9472291991100000e-02,1.9472291991100000e-02
69,0,3.4749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.1357572361399998e-02,2.1357572361399998e-02,2.1357572361399998e-02
70,0,3.5249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.3337213750099998e-02,2.3337213750099998e-02,2.3337213750099998e-02
71,0,3.5749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.5406435281700002e-02,2.5406435281700002e-02,2.5406435281700002e-02
72,0,3.6249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.7559345505399999e-02,2.7559345505399999e-02,2.7559345505399999e-02
73,0,3.6749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,2.9788935608599999e-02,2.9788935608599999e-02,2.9788935608599999e-02
74,0,3.7250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.2087086744000001e-02,3.2087086744000001e-02,3.2087086744000001e-02
75,0,3.7750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.4444592215500003e-02,3.4444592215500003e-02,3.4444592215500003e-02
76,0,3.8250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.6851195055499997e-02,3.6851195055499997e-02,3.6851195055499997e-02
77,0,3.8750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,3.9295641293399998e-02,3.9295641293399998e-02,3.9295641293399998e-02
78,0,3.9250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.1765748954200002e-02,4.1765748954200002e-02,4.1765748954200002e-02
79,0,3.9750000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.4248492559500002e-02,4.4248492559500002e-02,4.4248492559500002e-02
80,0,4.0250000000000002e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.6730102610100001e-02,4.6730102610100001e-02,4.6730102610100001e-02
81,0,4.0749999999999997e-01,2.5000000000000001e-03,0.0000000000000000e+00,4.9196179247300000e-02,4.9196179247300000e-02,4.9196179247300000e-02
82,0,4.1249999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.1631818997399999e-02,5.1631818997399999e-02,5.1631818997399999e-02
83,0,4.1749999999999998e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.4021753223199999e-02,5.4021753223199999e-02,5.4021753223199999e-02
84,0,4.2249999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.6350496644700002e-02,5.6350496644700002e-02,5.6350496644700002e-02
85,0,4.2749999999999999e-01,2.5000000000000001e-03,0.0000000000000000e+00,5.8602504044599997e-02,5.8602504044599997e-02,5.8602504044599997e-02
86,0,4.3250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.0762333061399998e-02,6.0762333061399998e-02,6.0762333061399998e-02
87,0,4.3750000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.2814810792099995e-02,6.2814810792099995e-02,6.2814810792099995e-02
88,0,4.4250000000000000e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.4745201785500001e-02,6.4745201785500001e-02,6.4745201785500001e-02
89,0,4.4750000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.6539374913899996e-02,6.6539374913899996e-02,6.6539374913899996e-02
90,0,4.5250000000000001e-01,2.5000000000000001e-03,0.0000000000000000e+00,6.8183966557000000e-02,6.8183966557000000e-02,6.8183966557000000e-02
