cell,x,y,z,volume,initial,numerical,change,absChange
0,6.6666666666499999e-03,6.6666666666900000e-03,5.0000000000000003e-02,2.0000000000000002e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,1.3333333333300000e-02,1.3333333333400000e-02,5.0000000000000003e-02,2.0000000000000002e-05,0.0000000000000000e+00,4.1074824040799996e-09,4.1074824040799996e-09,4.1074824040799996e-09
2,1.3333333333300000e-02,2.6666666666799999e-02,5.0000000000000003e-02,2.0000000000000002e-05,0.0000000000000000e+00,3.9255648087299998e-09,3.9255648087299998e-09,3.9255648087299998e-09
3,6.6666666666599997e-03,3.3333333333499998e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,3.8446301965500003e-09,3.8446301965500003e-09,3.8446301965500003e-09
4,6.6666666666599997e-03,4.6666666666900003e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,7.3352296953499997e-09,7.3352296953499997e-09,7.3352296953499997e-09
5,1.3333333333300000e-02,5.3333333333599998e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,8.7230462477100005e-08,8.7230462477100005e-08,8.7230462477100005e-08
6,1.3333333333300000e-02,6.6666666666900007e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,8.4485939443799998e-08,8.4485939443799998e-08,8.4485939443799998e-08
7,6.6666666666599997e-03,7.3333333333599995e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,8.3322613171200006e-08,8.3322613171200006e-08,8.3322613171200006e-08
8,6.6666666666599997e-03,8.6666666667000000e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,1.5349947718100001e-07,1.5349947718100001e-07,1.5349947718100001e-07
9,1.3333333333300000e-02,9.3333333333700003e-02,5.0000000000000003e-02,2.0000000000099999e-05,0.0000000000000000e+00,9.2813673536000003e-07,9.2813673536000003e-07,9.2813673536000003e-07
