i,j,x,y,initial,numerical,exact,error,absError
8,1,8.4999999999999998e-01,1.4999999999999999e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,1.9784854593232225e-14,-4.5096133540701977e-01,4.5096133540701977e-01
9,1,9.4999999999999996e-01,1.4999999999999999e-01,5.8778525229247214e-01,5.3066917629400001e-01,5.8778525229248835e-01,-5.7116075998488336e-02,5.7116075998488336e-02
0,2,5.0000000000000003e-02,2.5000000000000000e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629514742e-01,6.3725501603485268e-01,6.3725501603485268e-01
1,2,1.4999999999999999e-01,2.5000000000000000e-01,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229245704e-01,6.7255469230754306e-01,6.7255469230754306e-01
2,2,2.5000000000000000e-01,2.5000000000000000e-01,1.2246467991473532e-16,4.5096133540700001e-01,-1.9907319273146961e-14,4.5096133540701994e-01,4.5096133540701994e-01
3,2,3.4999999999999998e-01,2.5000000000000000e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229248924e-01,5.7116075998489224e-02,5.7116075998489224e-02
4,2,4.5000000000000001e-01,2.5000000000000000e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515975e-01,-3.5854558313484020e-01,3.5854558313484020e-01
5,2,5.5000000000000004e-01,2.5000000000000000e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629514742e-01,-6.3725501603485268e-01,6.3725501603485268e-01
6,2,6.5000000000000002e-01,2.5000000000000000e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229245782e-01,-6.7255469230754228e-01,6.7255469230754228e-01
7,2,7.5000000000000000e-01,2.5000000000000000e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,1.9784854593232225e-14,-4.5096133540701977e-01,4.5096133540701977e-01
8,2,8.4999999999999998e-01,2.5000000000000000e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229248979e-01,-5.7116075998489779e-02,5.7116075998489779e-02
9,2,9.4999999999999996e-01,2.5000000000000000e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515964e-01,3.5854558313484031e-01,3.5854558313484031e-01
0,3,5.0000000000000003e-02,3.4999999999999998e-01,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229245704e-01,6.7255469230754306e-01,6.7255469230754306e-01
1,3,1.4999999999999999e-01,3.4999999999999998e-01,1.2246467991473532e-16,4.5096133540700001e-01,-1.9907319273146961e-14,4.5096133540701994e-01,4.5096133540701994e-01
2,3,2.5000000000000000e-01,3.4999999999999998e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229248924e-01,5.7116075998489224e-02,5.7116075998489224e-02
3,3,3.4999999999999998e-01,3.4999999999999998e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515975e-01,-3.5854558313484020e-01,3.5854558313484020e-01
4,3,4.5000000000000001e-01,3.4999999999999998e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629514742e-01,-6.3725501603485268e-01,6.3725501603485268e-01
5,3,5.5000000000000004e-01,3.4999999999999998e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229245782e-01,-6.7255469230754228e-01,6.7255469230754228e-01
6,3,6.5000000000000002e-01,3.4999999999999998e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,1.9784854593232225e-14,-4.5096133540701977e-01,4.5096133540701977e-01
7,3,7.5000000000000000e-01,3.4999999999999998e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229248979e-01,-5.7116075998489779e-02,5.7116075998489779e-02
8,3,8.4999999999999998e-01,3.4999999999999998e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515964e-01,3.5854558313484031e-01,3.5854558313484031e-01
9,3,9.4999999999999996e-01,3.4999999999999998e-01,9.5105651629515420e-01,1.5883115323300001e+00,9.5105651629514776e-01,6.3725501603485235e-01,6.3725501603485235e-01
0,4,5.0000000000000003e-02,4.5000000000000001e-01,1.2246467991473532e-16,4.5096133540700001e-01,-1.9907319273146961e-14,4.5096133540701994e-01,4.5096133540701994e-01
1,4,1.4999999999999999e-01,4.5000000000000001e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229248924e-01,5.7116075998489224e-02,5.7116075998489224e-02
2,4,2.5000000000000000e-01,4.5000000000000001e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515975e-01,-3.5854558313484020e-01,3.5854558313484020e-01
3,4,3.4999999999999998e-01,4.5000000000000001e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629514742e-01,-6.3725501603485268e-01,6.3725501603485268e-01
4,4,4.5000000000000001e-01,4.5000000000000001e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229245782e-01,-6.7255469230754228e-01,6.7255469230754228e-01
5,4,5.5000000000000004e-01,4.5000000000000001e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,1.9784854593232225e-14,-4.5096133540701977e-01,4.5096133540701977e-01
6,4,6.5000000000000002e-01,4.5000000000000001e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229248979e-01,-5.7116075998489779e-02,5.7116075998489779e-02
7,4,7.5000000000000000e-01,4.5000000000000001e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515964e-01,3.5854558313484031e-01,3.5854558313484031e-01
8,4,8.4999999999999998e-01,4.5000000000000001e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629514754e-01,6.3725501603485257e-01,6.3725501603485257e-01
9,4,9.4999999999999996e-01,4.5000000000000001e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229245759e-01,6.7255469230754250e-01,6.7255469230754250e-01
0,5,5.0000000000000003e-02,5.5000000000000004e-01,-5.8778525229247336e-01,-5.3066917629400001e-01,-5.8778525229248924e-01,5.7116075998489224e-02,5.7116075998489224e-02
1,5,1.4999999999999999e-01,5.5000000000000004e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629516030e-01,-3.5854558313483964e-01,3.5854558313483964e-01
2,5,2.5000000000000000e-01,5.5000000000000004e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629514742e-01,-6.3725501603485268e-01,6.3725501603485268e-01
3,5,3.4999999999999998e-01,5.5000000000000004e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229245782e-01,-6.7255469230754228e-01,6.7255469230754228e-01
4,5,4.5000000000000001e-01,5.5000000000000004e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,1.9784854593232225e-14,-4.5096133540701977e-01,4.5096133540701977e-01
5,5,5.5000000000000004e-01,5.5000000000000004e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229248979e-01,-5.7116075998489779e-02,5.7116075998489779e-02
6,5,6.5000000000000002e-01,5.5000000000000004e-01,9.5105651629515375e-01,1.3096020994299999e+00,9.5105651629515997e-01,3.5854558313483997e-01,3.5854558313483997e-01
7,5,7.5000000000000000e-01,5.5000000000000004e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629514754e-01,6.3725501603485257e-01,6.3725501603485257e-01
8,5,8.4999999999999998e-01,5.5000000000000004e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229245759e-01,6.7255469230754250e-01,6.7255469230754250e-01
9,5,9.4999999999999996e-01,5.5000000000000004e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.9662389913317490e-14,4.5096133540701966e-01,4.5096133540701966e-01
0,6,5.0000000000000003e-02,6.5000000000000002e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629516030e-01,-3.5854558313483964e-01,3.5854558313483964e-01
