cell,x,y,initial,numerical,exact,error,absError
0,-4.8750000000000000e+00,-4.8750000000000000e+00,2.2774057196530822e-21,3.2437212516900000e-12,1.8907705625331534e-12,1.3529506891568466e-12,1.3529506891568466e-12
1,-4.6250000000000000e+00,-4.8750000000000000e+00,2.4484418922035998e-20,1.3261888119300000e-11,7.0740198403878108e-12,6.1878682789121893e-12,6.1878682789121893e-12
2,-4.3750000000000000e+00,-4.8750000000000000e+00,2.3230169883901573e-19,4.3582478894200003e-11,2.4690755330842935e-11,1.8891723563357067e-11,1.8891723563357067e-11
3,-4.1250000000000000e+00,-4.8750000000000000e+00,1.9450383106968908e-18,1.3381020526599999e-10,8.0397610132777046e-11,5.3412595133222948e-11,5.3412595133222948e-11
4,-3.8750000000000000e+00,-4.8750000000000000e+00,1.4371997192308632e-17,3.8738505082200000e-10,2.4422637513679828e-10,1.4315867568520172e-10,1.4315867568520172e-10
5,-3.6250000000000000e+00,-4.8750000000000000e+00,9.3717194088936809e-17,1.0569708231100000e-09,6.9212199179670997e-10,3.6484883131329005e-10,3.6484883131329005e-10
6,-3.3750000000000000e+00,-4.8750000000000000e+00,5.3930521589194417e-16,2.7147817126399998e-09,1.8298411723922671e-09,8.8494054024773271e-10,8.8494054024773271e-10
7,-3.1250000000000000e+00,-4.8750000000000000e+00,2.7388178752361631e-15,6.5560317123900004e-09,4.5132023177089472e-09,2.0428293946810532e-09,2.0428293946810532e-09
8,-2.8750000000000000e+00,-4.8750000000000000e+00,1.2274530137092433e-14,1.4869098009499999e-08,1.0384769723769895e-08,4.4843282857301048e-09,4.4843282857301048e-09
9,-2.6250000000000000e+00,-4.8750000000000000e+00,4.8546708430001407e-14,3.1636732616399999e-08,2.2292029031715357e-08,9.3447035846846419e-09,9.3447035846846419e-09
10,-2.3750000000000000e+00,-4.8750000000000000e+00,1.6944466187660881e-13,6.3082873830600004e-08,4.4641932883121178e-08,1.8440940947478826e-08,1.8440940947478826e-08
11,-2.1250000000000000e+00,-4.8750000000000000e+00,5.2192630247154929e-13,1.1776556541300000e-07,8.3402110640851585e-08,3.4363454772148413e-08,3.4363454772148413e-08
12,-1.8750000000000000e+00,-4.8750000000000000e+00,1.4187427838032316e-12,2.0564263290900000e-07,1.4536228914096348e-07,6.0280343768036518e-08,6.0280343768036518e-08
13,-1.6250000000000000e+00,-4.8750000000000000e+00,3.4033870125596761e-12,3.3560362305400002e-07,2.3635626948343534e-07,9.9247353570564674e-08,9.9247353570564674e-08
14,-1.3750000000000000e+00,-4.8750000000000000e+00,7.2049703621281956e-12,5.1147295998000002e-07,3.5852806798569277e-07,1.5294489199430725e-07,1.5294489199430725e-07
