cell,x,y,numerical,exact,error,absError
48,6.0625000000000007e-01,6.2500000000000003e-03,-3.2762978362879569e-01,-3.2756702572622021e-01,-6.2757902575483193e-05,6.2757902575483193e-05
49,6.1875000000000002e-01,6.2500000000000003e-03,-3.6447006089715939e-01,-3.6440024472129140e-01,-6.9816175867987162e-05,6.9816175867987162e-05
50,6.3125000000000009e-01,6.2500000000000003e-03,-4.0074835226279182e-01,-4.0067158495125915e-01,-7.6767311532666138e-05,7.6767311532666138e-05
51,6.4375000000000004e-01,6.2500000000000003e-03,-4.3640871929846908e-01,-4.3632511863848766e-01,-8.3600659981419856e-05,8.3600659981419856e-05
52,6.5625000000000000e-01,6.2500000000000003e-03,-4.7139617637630549e-01,-4.7130587061825091e-01,-9.0305758054576302e-05,9.0305758054576302e-05
53,6.6875000000000007e-01,6.2500000000000003e-03,-5.0565677545231447e-01,-5.0555990310645205e-01,-9.6872345862419884e-05,9.6872345862419884e-05
54,6.8125000000000002e-01,6.2500000000000003e-03,-5.3913768925117367e-01,-5.3903439886777560e-01,-1.0329038339806917e-04,1.0329038339806917e-04
55,6.9375000000000009e-01,6.2500000000000003e-03,-5.7178729272293904e-01,-5.7167774265603788e-01,-1.0955006690116509e-04,1.0955006690116509e-04
56,7.0625000000000004e-01,6.2500000000000003e-03,-6.0355524264617033e-01,-6.0343960080115355e-01,-1.1564184501677843e-04,1.1564184501677843e-04
57,7.1875000000000000e-01,6.2500000000000003e-03,-6.3439255525470228e-01,-6.3427099882000870e-01,-1.2155643469358157e-04,1.2155643469358157e-04
58,7.3125000000000007e-01,6.2500000000000003e-03,-6.6425168176840332e-01,-6.6412439693156267e-01,-1.2728483684065761e-04,1.2728483684065761e-04
59,7.4375000000000002e-01,6.2500000000000003e-03,-6.9308658171156290e-01,-6.9295376335974446e-01,-1.3281835181844226e-04,1.3281835181844226e-04
60,7.5625000000000009e-01,6.2500000000000003e-03,-7.2085279390582313e-01,-7.2071464531111651e-01,-1.3814859470662189e-04,1.3814859470662189e-04
61,7.6875000000000004e-01,6.2500000000000003e-03,-7.4750750502833851e-01,-7.4736423751785841e-01,-1.4326751048010511e-04,1.4326751048010511e-04
62,7.8125000000000000e-01,6.2500000000000003e-03,-7.7300961562949921e-01,-7.7286144824038794e-01,-1.4816738911127558e-04,1.4816738911127558e-04
63,7.9375000000000007e-01,6.2500000000000003e-03,-7.9731980350854526e-01,-7.9716696262784636e-01,-1.5284088069889012e-04,1.5284088069889012e-04
64,8.0625000000000002e-01,6.2500000000000003e-03,-8.2040058434959640e-01,-8.2024330333874629e-01,-1.5728101085010771e-04,1.5728101085010771e-04
65,8.1875000000000009e-01,6.2500000000000003e-03,-8.4221636952470480e-01,-8.4205488832831876e-01,-1.6148119638603742e-04,1.6148119638603742e-04
66,8.3125000000000004e-01,6.2500000000000003e-03,-8.6273352097530853e-01,-8.6256808571344468e-01,-1.6543526186385549e-04,1.6543526186385549e-04
67,8.4375000000000000e-01,6.2500000000000003e-03,-8.8192040308782194e-01,-8.8175126563058237e-01,-1.6913745723956541e-04,1.6913745723956541e-04
68,8.5625000000000007e-01,6.2500000000000003e-03,-8.9974743148410319e-01,-8.9957484900672458e-01,-1.7258247737861332e-04,1.7258247737861332e-04
69,8.6875000000000002e-01,6.2500000000000003e-03,-9.1618711865277747e-01,-9.1601135316818394e-01,-1.7576548459352637e-04,1.7576548459352637e-04
70,8.8125000000000009e-01,6.2500000000000003e-03,-9.3121411635266482e-01,-9.3103543421688539e-01,-1.7868213577942882e-04,1.7868213577942882e-04
71,8.9375000000000004e-01,6.2500000000000003e-03,-9.4480525472584109e-01,-9.4462392610881885e-01,-1.8132861702224723e-04,1.8132861702224723e-04
72,9.0625000000000000e-01,6.2500000000000003e-03,-9.5693957806495655e-01,-9.5675587637440040e-01,-1.8370169055614838e-04,1.8370169055614838e-04
73,9.1875000000000007e-01,6.2500000000000003e-03,-9.6759837718852293e-01,-9.6741257842566197e-01,-1.8579876286095587e-04,1.8579876286095587e-04
74,9.3125000000000002e-01,6.2500000000000003e-03,-9.7676521839203856e-01,-9.7657760040045349e-01,-1.8761799158506509e-04,1.8761799158506509e-04
75,9.4375000000000009e-01,6.2500000000000003e-03,-9.8442596896848089e-01,-9.8423681049918410e-01,-1.8915846929679070e-04,1.8915846929679070e-04
76,9.5625000000000004e-01,6.2500000000000003e-03,-9.9056881935253804e-01,-9.9037839877503198e-01,-1.9042057750606745e-04,1.9042057750606745e-04
77,9.6875000000000000e-01,6.2500000000000003e-03,-9.9518430211928754e-01,-9.9499289534402702e-01,-1.9140677526052752e-04,1.9140677526052752e-04
78,9.8125000000000007e-01,6.2500000000000003e-03,-9.9826530868041552e-01,-9.9807318498692543e-01,-1.9212369349008718e-04,1.9212369349008718e-04
79,9.9375000000000002e-01,6.2500000000000003e-03,-9.9980710695690467e-01,-9.9961451812036139e-01,-1.9258883654327263e-04,1.9258883654327263e-04
80,6.2500000000000003e-03,1.8750000000000003e-02,9.9826530868036345e-01,9.9807318498692543e-01,1.9212369343801772e-04,1.9212369343801772e-04
81,1.8750000000000003e-02,1.8750000000000003e-02,9.9672560536281873e-01,9.9653422847746320e-01,1.9137688535553199e-04,1.9137688535553199e-04
82,3.1250000000000000e-02,1.8750000000000003e-02,9.9364912101289649e-01,9.9345868841793039e-01,1.9043259496609455e-04,1.9043259496609455e-04
83,4.3750000000000004e-02,1.8750000000000003e-02,9.8904056884882319e-01,9.8885130706817925e-01,1.8926178064393451e-04,1.8926178064393451e-04
84,5.6250000000000001e-02,1.8750000000000003e-02,9.8290703718108652e-01,9.8271918867630148e-01,1.8784850478503756e-04,1.8784850478503756e-04
85,6.8750000000000006e-02,1.8750000000000003e-02,9.7525797235365708e-01,9.7507178852439247e-01,1.8618382926460786e-04,1.8618382926460786e-04
86,8.1250000000000003e-02,1.8750000000000003e-02,9.6610516118883349e-01,9.6592089834919204e-01,1.8426283964145806e-04,1.8426283964145806e-04
87,9.3750000000000000e-02,1.8750000000000003e-02,9.5546271131758453e-01,9.5528062816008041e-01,1.8208315750412041e-04,1.8208315750412041e-04
88,1.0625000000000001e-01,1.8750000000000003e-02,9.4334702863360653e-01,9.4316738448246706e-01,1.7964415113946863e-04,1.7964415113946863e-04
89,1.1875000000000001e-01,1.8750000000000003e-02,9.2977679154754911e-01,9.2959984506011750e-01,1.7694648743160624e-04,1.7694648743160624e-04
90,1.3125000000000001e-01,1.8750000000000003e-02,9.1477292191584203e-01,9.1459893005542614e-01,1.7399186041588965e-04,1.7399186041588965e-04
91,1.4375000000000002e-01,1.8750000000000003e-02,8.9835855260892961e-01,8.9818776979204196e-01,1.7078281688764907e-04,1.7078281688764907e-04
92,1.5625000000000000e-01,1.8750000000000003e-02,8.8055899172788077e-01,8.8039166908958677e-01,1.6732263829399852e-04,1.6732263829399852e-04
93,1.6875000000000001e-01,1.8750000000000003e-02,8.6140168350228863e-01,8.6123806824545657e-01,1.6361525683206146e-04,1.6361525683206146e-04
94,1.8125000000000002e-01,1.8750000000000003e-02,8.4091616591702500e-01,8.4075650072387231e-01,1.5966519315269156e-04,1.5966519315269156e-04
95,1.9375000000000001e-01,1.8750000000000003e-02,8.1913402512559064e-01,8.1897854761741862e-01,1.5547750817201944e-04,1.5547750817201944e-04
96,2.0625000000000002e-01,1.8750000000000003e-02,7.9608884671561475e-01,7.9593778895128808e-01,1.5105776432666751e-04,1.5105776432666751e-04
97,2.1875000000000000e-01,1.8750000000000003e-02,7.7181616389860352e-01,7.7166975190531650e-01,1.4641199328702115e-04,1.4641199328702115e-04
98,2.3125000000000001e-01,1.8750000000000003e-02,7.4635340270180628e-01,7.4621185603364626e-01,1.4154666816001971e-04,1.4154666816001971e-04
99,2.4375000000000002e-01,1.8750000000000003e-02,7.1973982424532523e-01,7.1960335556648625e-01,1.3646867883898572e-04,1.3646867883898572e-04
100,2.5625000000000003e-01,1.8750000000000003e-02,6.9201646419252028e-01,6.9188527888293461e-01,1.3118530958566854e-04,1.3118530958566854e-04
101,2.6874999999999999e-01,1.8750000000000003e-02,6.6322606946637974e-01,6.6310036524819083e-01,1.2570421818891564e-04,1.2570421818891564e-04
