cell,x,y,z,volume,numerical,exact,error,absError
0,-9.6666666666699996e-01,-9.6666666666699996e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.3602486302700001e-06,2.2434178967801177e-42,2.3602486302700001e-06,2.3602486302700001e-06
1,-9.3333333333400004e-01,-9.3333333333299995e-01,5.0000000000000003e-02,5.0000000000000001e-04,1.5478682852999998e-05,3.6538760758202280e-40,1.5478682852999998e-05,1.5478682852999998e-05
2,-9.3333333333299995e-01,-8.6666666666600001e-01,5.0000000000000003e-02,5.0000000000000001e-04,1.9900674032700001e-05,1.3907147253898295e-37,1.9900674032700001e-05,1.9900674032700001e-05
3,-9.6666666666699996e-01,-8.3333333333299997e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.2553470401800000e-05,3.2499648113510228e-37,2.2553470401800000e-05,2.2553470401800000e-05
4,-9.6666666666699996e-01,-7.6666666666600003e-01,5.0000000000000003e-02,5.0000000000000001e-04,4.7962625515100002e-05,8.0917525848728124e-35,4.7962625515100002e-05,4.7962625515100002e-05
5,-9.3333333333299995e-01,-7.3333333333299999e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.6499276965300000e-04,8.6211643843982417e-33,2.6499276965300000e-04,2.6499276965300000e-04
6,-9.3333333333299995e-01,-6.6666666666600005e-01,5.0000000000000003e-02,5.0000000000000001e-04,3.3436718147099998e-04,1.4041372467642780e-30,3.3436718147099998e-04,3.3436718147099998e-04
7,-9.6666666666699996e-01,-6.3333333333200004e-01,5.0000000000000003e-02,5.0000000000099997e-04,3.7876448762599998e-04,2.1464949081514120e-30,3.7876448762599998e-04,3.7876448762599998e-04
8,-9.6666666666699996e-01,-5.6666666666599996e-01,5.0000000000000003e-02,5.0000000000099997e-04,7.2201944474500001e-04,2.2869316947312955e-28,7.2201944474500001e-04,7.2201944474500001e-04
9,-9.3333333333299995e-01,-5.3333333333199995e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.1043962888300000e-03,1.5938822035288642e-26,2.1043962888300000e-03,2.1043962888300000e-03
10,-9.3333333333299995e-01,-4.6666666666500001e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.6083920174099998e-03,1.1108597971711958e-24,2.6083920174099998e-03,2.6083920174099998e-03
11,-9.6666666666699996e-01,-4.3333333333200003e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.9757533423300001e-03,1.1108597971004891e-24,2.9757533423300001e-03,2.9757533423300001e-03
12,-9.6666666666699996e-01,-3.6666666666499997e-01,5.0000000000000003e-02,5.0000000000099997e-04,5.0149570281199998e-03,5.0645629650134017e-23,5.0149570281199998e-03,5.0149570281199998e-03
13,-9.3333333333299995e-01,-3.3333333333199999e-01,5.0000000000000003e-02,5.0000000000099997e-04,9.8286092831399996e-03,2.3090040789754609e-21,9.8286092831399996e-03,9.8286092831399996e-03
14,-9.3333333333299995e-01,-2.6666666666500000e-01,5.0000000000000003e-02,5.0000000000099997e-04,1.1974995175099999e-02,6.8863187717015616e-20,1.1974995175099999e-02,1.1974995175099999e-02
15,-9.6666666666699996e-01,-2.3333333333100001e-01,5.0000000000000003e-02,5.0000000000099997e-04,1.3808672584799999e-02,4.5047098148971208e-20,1.3808672584799999e-02,1.3808672584799999e-02
16,-9.6666666666699996e-01,-1.6666666666400001e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.0207893451900001e-02,8.7883822732628263e-19,2.0207893451900001e-02,2.0207893451900001e-02
17,-9.3333333333299995e-01,-1.3333333333100000e-01,5.0000000000000003e-02,5.0000000000099997e-04,2.9575311527399999e-02,2.6210261979595330e-17,2.9575311527399971e-02,2.9575311527399971e-02
18,-9.3333333333299995e-01,-6.6666666664300003e-02,5.0000000000000003e-02,5.0000000000099997e-04,3.5362175328999997e-02,3.3449773296231822e-16,3.5362175328999663e-02,3.5362175328999663e-02
19,-9.6666666666699996e-01,-3.3333333330799998e-02,5.0000000000000003e-02,5.0000000000099997e-04,4.1301329113400002e-02,1.4313721833677053e-16,4.1301329113399857e-02,4.1301329113399857e-02
20,-9.6666666666699996e-01,3.3333333335900002e-02,5.0000000000000003e-02,4.9999999999900005e-04,5.1227087590900000e-02,1.1949619786604071e-15,5.1227087590898807e-02,5.1227087590898807e-02
21,-9.3333333333299995e-01,6.6666666669099997e-02,5.0000000000000003e-02,4.9999999999900005e-04,5.9325231379100000e-02,2.3312894952824262e-14,5.9325231379076686e-02,5.9325231379076686e-02
22,-9.3333333333299995e-01,1.3333333333600000e-01,5.0000000000000003e-02,4.9999999999900005e-04,6.8755064528300006e-02,1.2731436784827121e-13,6.8755064528172691e-02,6.8755064528172691e-02
23,-9.6666666666699996e-01,1.6666666666900001e-01,5.0000000000000003e-02,4.9999999999900005e-04,7.9812973654500005e-02,3.5638261446739003e-14,7.9812973654464367e-02,7.9812973654464367e-02
24,-9.6666666666699996e-01,2.3333333333500000e-01,5.0000000000000003e-02,4.9999999999900005e-04,8.1277300130600000e-02,1.2731436783881427e-13,8.1277300130472685e-02,8.1277300130472685e-02
25,-9.3333333333299995e-01,2.6666666666900002e-01,5.0000000000000003e-02,4.9999999999900005e-04,7.7400411603600006e-02,1.6247974724986105e-12,7.7400411601975208e-02,7.7400411601975208e-02
26,-9.3333333333299995e-01,3.3333333333499998e-01,5.0000000000000003e-02,4.9999999999900005e-04,8.5061697581099993e-02,3.7969933840979014e-12,8.5061697577303003e-02,8.5061697577303003e-02
27,-9.6666666666699996e-01,3.6666666666800002e-01,5.0000000000000003e-02,4.9999999999900005e-04,9.4105970504300002e-02,6.9527822657826346e-13,9.4105970503604724e-02,9.4105970503604724e-02
28,-9.6666666666699996e-01,4.3333333333500001e-01,5.0000000000000003e-02,4.9999999999900005e-04,7.5243243242499994e-02,1.0628670213842227e-12,7.5243243241437122e-02,7.5243243241437122e-02
29,-9.3333333333299995e-01,4.6666666666800000e-01,5.0000000000000003e-02,4.9999999999900005e-04,6.0617696685599999e-02,8.8732035856402337e-12,6.0617696676726798e-02,6.0617696676726798e-02
30,-9.3333333333299995e-01,5.3333333333499999e-01,5.0000000000000003e-02,4.9999999999900005e-04,6.1753455928600001e-02,8.8732035855837431e-12,6.1753455919726800e-02,6.1753455919726800e-02
31,-9.6666666666699996e-01,5.6666666666800003e-01,5.0000000000000003e-02,4.9999999999900005e-04,5.3937158668899997e-02,1.0628670213706891e-12,5.3937158667837132e-02,5.3937158667837132e-02
32,-9.6666666666699996e-01,6.3333333333399999e-01,5.0000000000000003e-02,4.9999999999900005e-04,3.1189986693500000e-02,6.9527822656645877e-13,3.1189986692804723e-02,3.1189986692804723e-02
33,-9.3333333333299995e-01,6.6666666666800001e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.1661214168700000e-02,3.7969933839770474e-12,2.1661214164903006e-02,2.1661214164903006e-02
34,-9.3333333333299995e-01,7.3333333333399997e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.0853834349200000e-02,1.6247974724262070e-12,2.0853834347575203e-02,2.0853834347575203e-02
35,-9.6666666666699996e-01,7.6666666666700001e-01,5.0000000000000003e-02,5.0000000000000001e-04,1.0462213029599999e-02,1.2731436783449199e-13,1.0462213029472684e-02,1.0462213029472684e-02
36,-9.6666666666699996e-01,8.3333333333399995e-01,5.0000000000000003e-02,5.0000000000000001e-04,3.5936850306799999e-03,3.5638261444470359e-14,3.5936850306443617e-03,3.5936850306443617e-03
37,-9.3333333333299995e-01,8.6666666666699999e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.1682127786399998e-03,1.2731436783935524e-13,2.1682127785126854e-03,2.1682127785126854e-03
38,-9.3333333333299995e-01,9.3333333333400004e-01,5.0000000000000003e-02,5.0000000000000001e-04,1.8713189102899999e-03,2.3312894950830524e-14,1.8713189102666870e-03,1.8713189102666870e-03
39,-9.6666666666699996e-01,9.6666666666699996e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.6291829005799998e-04,1.1949619785574488e-15,2.6291829005680502e-04,2.6291829005680502e-04
40,-8.3333333333399995e-01,-9.6666666666699996e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.3809551653300001e-05,4.6631096811593346e-39,2.3809551653300001e-05,2.3809551653300001e-05
41,-8.6666666666699999e-01,-9.3333333333299995e-01,5.0000000000000003e-02,5.0000000000000001e-04,1.6448675076600000e-05,1.6658524775859739e-38,1.6448675076600000e-05,1.6448675076600000e-05
42,-8.6666666666699999e-01,-8.6666666666600001e-01,5.0000000000000003e-02,5.0000000000000001e-04,2.1902071640199999e-05,6.3404601653003976e-36,2.1902071640199999e-05,2.1902071640199999e-05
