i,j,x,y,initial,numerical,change,absChange
25,0,5.1000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.6255141280099999e-01,1.6255141280099999e-01,1.6255141280099999e-01
26,0,5.3000000000000003e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.5034494930000000e-01,1.5034494930000000e-01,1.5034494930000000e-01
27,0,5.5000000000000004e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.3340473813000001e-01,1.3340473813000001e-01,1.3340473813000001e-01
28,0,5.6999999999999995e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.1376361652700000e-01,1.1376361652700000e-01,1.1376361652700000e-01
29,0,5.8999999999999997e-01,1.0000000000000000e-02,0.0000000000000000e+00,9.3387486716299997e-02,9.3387486716299997e-02,9.3387486716299997e-02
30,0,6.0999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,7.3905301864400003e-02,7.3905301864400003e-02,7.3905301864400003e-02
31,0,6.3000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,5.6462954387300000e-02,5.6462954387300000e-02,5.6462954387300000e-02
32,0,6.5000000000000002e-01,1.0000000000000000e-02,0.0000000000000000e+00,4.1697349432700002e-02,4.1697349432700002e-02,4.1697349432700002e-02
33,0,6.7000000000000004e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.9800716246099999e-02,2.9800716246099999e-02,2.9800716246099999e-02
34,0,6.8999999999999995e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.0634771824899999e-02,2.0634771824899999e-02,2.0634771824899999e-02
35,0,7.0999999999999996e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.3857244507400000e-02,1.3857244507400000e-02,1.3857244507400000e-02
36,0,7.2999999999999998e-01,1.0000000000000000e-02,0.0000000000000000e+00,9.0339793837600005e-03,9.0339793837600005e-03,9.0339793837600005e-03
37,0,7.5000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,5.7227000809099999e-03,5.7227000809099999e-03,5.7227000809099999e-03
38,0,7.7000000000000002e-01,1.0000000000000000e-02,0.0000000000000000e+00,3.5254412041500001e-03,3.5254412041500001e-03,3.5254412041500001e-03
39,0,7.9000000000000004e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.1138094086099999e-03,2.1138094086099999e-03,2.1138094086099999e-03
40,0,8.1000000000000005e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.2344897330599999e-03,1.2344897330599999e-03,1.2344897330599999e-03
41,0,8.2999999999999996e-01,1.0000000000000000e-02,0.0000000000000000e+00,7.0273198395400004e-04,7.0273198395400004e-04,7.0273198395400004e-04
42,0,8.4999999999999998e-01,1.0000000000000000e-02,0.0000000000000000e+00,3.9018190243400000e-04,3.9018190243400000e-04,3.9018190243400000e-04
43,0,8.7000000000000000e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.1144571700400000e-04,2.1144571700400000e-04,2.1144571700400000e-04
44,0,8.9000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.1190514361200000e-04,1.1190514361200000e-04,1.1190514361200000e-04
45,0,9.1000000000000003e-01,1.0000000000000000e-02,0.0000000000000000e+00,5.7872532613799999e-05,5.7872532613799999e-05,5.7872532613799999e-05
46,0,9.3000000000000005e-01,1.0000000000000000e-02,0.0000000000000000e+00,2.9262131454400000e-05,2.9262131454400000e-05,2.9262131454400000e-05
47,0,9.4999999999999996e-01,1.0000000000000000e-02,0.0000000000000000e+00,1.4473678672299999e-05,1.4473678672299999e-05,1.4473678672299999e-05
48,0,9.6999999999999997e-01,1.0000000000000000e-02,0.0000000000000000e+00,7.0066333670900002e-06,7.0066333670900002e-06,7.0066333670900002e-06
49,0,9.8999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,6.2987402339299999e-06,6.2987402339299999e-06,6.2987402339299999e-06
0,1,1.0000000000000000e-02,2.9999999999999999e-02,0.0000000000000000e+00,7.1854168014800001e-06,7.1854168014800001e-06,7.1854168014800001e-06
1,1,2.9999999999999999e-02,2.9999999999999999e-02,0.0000000000000000e+00,4.9135819567699997e-05,4.9135819567699997e-05,4.9135819567699997e-05
2,1,5.0000000000000003e-02,2.9999999999999999e-02,0.0000000000000000e+00,1.8157120642500000e-04,1.8157120642500000e-04,1.8157120642500000e-04
3,1,7.0000000000000007e-02,2.9999999999999999e-02,0.0000000000000000e+00,4.8263422340400001e-04,4.8263422340400001e-04,4.8263422340400001e-04
4,1,8.9999999999999997e-02,2.9999999999999999e-02,0.0000000000000000e+00,1.0364790978400001e-03,1.0364790978400001e-03,1.0364790978400001e-03
5,1,1.1000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.9151372863099999e-03,1.9151372863099999e-03,1.9151372863099999e-03
6,1,1.3000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.1662633036999999e-03,3.1662633036999999e-03,3.1662633036999999e-03
7,1,1.4999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.8093658264700004e-03,4.8093658264700004e-03,4.8093658264700004e-03
8,1,1.7000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.8388423658199997e-03,6.8388423658199997e-03,6.8388423658199997e-03
9,1,1.9000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,9.2303181098000002e-03,9.2303181098000002e-03,9.2303181098000002e-03
10,1,2.0999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.1947065729700000e-02,1.1947065729700000e-02,1.1947065729700000e-02
11,1,2.3000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.4944550469600000e-02,1.4944550469600000e-02,1.4944550469600000e-02
12,1,2.5000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.8172496061899999e-02,1.8172496061899999e-02,1.8172496061899999e-02
13,1,2.7000000000000002e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.1574849498800001e-02,2.1574849498800001e-02,2.1574849498800001e-02
14,1,2.8999999999999998e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.5088540329400000e-02,2.5088540329400000e-02,2.5088540329400000e-02
15,1,3.1000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.8642063853799998e-02,2.8642063853799998e-02,2.8642063853799998e-02
16,1,3.3000000000000002e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.2154794112799999e-02,3.2154794112799999e-02,3.2154794112799999e-02
17,1,3.4999999999999998e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.5537662672000002e-02,3.5537662672000002e-02,3.5537662672000002e-02
18,1,3.7000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.8695503563000000e-02,3.8695503563000000e-02,3.8695503563000000e-02
19,1,3.9000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.1531021053499997e-02,4.1531021053499997e-02,4.1531021053499997e-02
20,1,4.0999999999999998e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.3950029975700002e-02,4.3950029975700002e-02,4.3950029975700002e-02
21,1,4.2999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.5867385104700002e-02,4.5867385104700002e-02,4.5867385104700002e-02
22,1,4.5000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.7212884666400001e-02,4.7212884666400001e-02,4.7212884666400001e-02
23,1,4.6999999999999997e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.7936418316799997e-02,4.7936418316799997e-02,4.7936418316799997e-02
24,1,4.8999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.8011729392999997e-02,4.8011729392999997e-02,4.8011729392999997e-02
25,1,5.1000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.9970048597600000e-02,4.9970048597600000e-02,4.9970048597600000e-02
26,1,5.3000000000000003e-01,2.9999999999999999e-02,0.0000000000000000e+00,5.5165920607700002e-02,5.5165920607700002e-02,5.5165920607700002e-02
27,1,5.5000000000000004e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.1403185980899999e-02,6.1403185980899999e-02,6.1403185980899999e-02
28,1,5.6999999999999995e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.6458399301500007e-02,6.6458399301500007e-02,6.6458399301500007e-02
29,1,5.8999999999999997e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.8698975970999998e-02,6.8698975970999998e-02,6.8698975970999998e-02
30,1,6.0999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.7393080767100003e-02,6.7393080767100003e-02,6.7393080767100003e-02
31,1,6.3000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.2696527852500003e-02,6.2696527852500003e-02,6.2696527852500003e-02
32,1,6.5000000000000002e-01,2.9999999999999999e-02,0.0000000000000000e+00,5.5409845413800000e-02,5.5409845413800000e-02,5.5409845413800000e-02
33,1,6.7000000000000004e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.6641503489299997e-02,4.6641503489299997e-02,4.6641503489299997e-02
34,1,6.8999999999999995e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.7497460500899998e-02,3.7497460500899998e-02,3.7497460500899998e-02
35,1,7.0999999999999996e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.8868732635200001e-02,2.8868732635200001e-02,2.8868732635200001e-02
36,1,7.2999999999999998e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.1335856522399999e-02,2.1335856522399999e-02,2.1335856522399999e-02
37,1,7.5000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.5170723155900000e-02,1.5170723155900000e-02,1.5170723155900000e-02
38,1,7.7000000000000002e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.0398613936700000e-02,1.0398613936700000e-02,1.0398613936700000e-02
39,1,7.9000000000000004e-01,2.9999999999999999e-02,0.0000000000000000e+00,6.8831628346500001e-03,6.8831628346500001e-03,6.8831628346500001e-03
40,1,8.1000000000000005e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.4069331832900004e-03,4.4069331832900004e-03,4.4069331832900004e-03
41,1,8.2999999999999996e-01,2.9999999999999999e-02,0.0000000000000000e+00,2.7330354226799999e-03,2.7330354226799999e-03,2.7330354226799999e-03
42,1,8.4999999999999998e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.6439180179300000e-03,1.6439180179300000e-03,1.6439180179300000e-03
43,1,8.7000000000000000e-01,2.9999999999999999e-02,0.0000000000000000e+00,9.6018719972000002e-04,9.6018719972000002e-04,9.6018719972000002e-04
44,1,8.9000000000000001e-01,2.9999999999999999e-02,0.0000000000000000e+00,5.4518389324400001e-04,5.4518389324400001e-04,5.4518389324400001e-04
45,1,9.1000000000000003e-01,2.9999999999999999e-02,0.0000000000000000e+00,3.0121275043000002e-04,3.0121275043000002e-04,3.0121275043000002e-04
46,1,9.3000000000000005e-01,2.9999999999999999e-02,0.0000000000000000e+00,1.6208580964899999e-04,1.6208580964899999e-04,1.6208580964899999e-04
47,1,9.4999999999999996e-01,2.9999999999999999e-02,0.0000000000000000e+00,8.5021014782400006e-05,8.5021014782400006e-05,8.5021014782400006e-05
48,1,9.6999999999999997e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.3507013761400001e-05,4.3507013761400001e-05,4.3507013761400001e-05
49,1,9.8999999999999999e-01,2.9999999999999999e-02,0.0000000000000000e+00,4.3014178051200003e-05,4.3014178051200003e-05,4.3014178051200003e-05
0,2,1.0000000000000000e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.3929894016299999e-05,1.3929894016299999e-05,1.3929894016299999e-05
1,2,2.9999999999999999e-02,5.0000000000000003e-02,0.0000000000000000e+00,8.9780899000100001e-05,8.9780899000100001e-05,8.9780899000100001e-05
2,2,5.0000000000000003e-02,5.0000000000000003e-02,0.0000000000000000e+00,3.1394382040800001e-04,3.1394382040800001e-04,3.1394382040800001e-04
3,2,7.0000000000000007e-02,5.0000000000000003e-02,0.0000000000000000e+00,7.9285811823199995e-04,7.9285811823199995e-04,7.9285811823199995e-04
4,2,8.9999999999999997e-02,5.0000000000000003e-02,0.0000000000000000e+00,1.6244000055499999e-03,1.6244000055499999e-03,1.6244000055499999e-03
5,2,1.1000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.8754053812200002e-03,2.8754053812200002e-03,2.8754053812200002e-03
6,2,1.3000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.5734744721599996e-03,4.5734744721599996e-03,4.5734744721599996e-03
7,2,1.4999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,6.7116209590600004e-03,6.7116209590600004e-03,6.7116209590600004e-03
8,2,1.7000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,9.2595107998200005e-03,9.2595107998200005e-03,9.2595107998200005e-03
9,2,1.9000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.2175050234299999e-02,1.2175050234299999e-02,1.2175050234299999e-02
10,2,2.0999999999999999e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.5412486012099999e-02,1.5412486012099999e-02,1.5412486012099999e-02
11,2,2.3000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,1.8925810131799999e-02,1.8925810131799999e-02,1.8925810131799999e-02
12,2,2.5000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.2668088392100001e-02,2.2668088392100001e-02,2.2668088392100001e-02
13,2,2.7000000000000002e-01,5.0000000000000003e-02,0.0000000000000000e+00,2.6588212031100001e-02,2.6588212031100001e-02,2.6588212031100001e-02
14,2,2.8999999999999998e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.0626753386700001e-02,3.0626753386700001e-02,3.0626753386700001e-02
15,2,3.1000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.4712393917700000e-02,3.4712393917700000e-02,3.4712393917700000e-02
16,2,3.3000000000000002e-01,5.0000000000000003e-02,0.0000000000000000e+00,3.8760005867900002e-02,3.8760005867900002e-02,3.8760005867900002e-02
17,2,3.4999999999999998e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.2671027962299997e-02,4.2671027962299997e-02,4.2671027962299997e-02
18,2,3.7000000000000000e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.6336336622700001e-02,4.6336336622700001e-02,4.6336336622700001e-02
19,2,3.9000000000000001e-01,5.0000000000000003e-02,0.0000000000000000e+00,4.9641406614800002e-02,4.9641406614800002e-02,4.9641406614800002e-02
