y,u
-3.0,0.0
-2.981132075471698,-1.23173655658e-05
-2.9622641509433962,-1.23173655658e-05
-2.943396226415094,-1.23173655658e-05
-2.9245283018867925,-1.23173655658e-05
-2.9056603773584904,-1.23173655658e-05
-2.8867924528301887,1.98554163038e-05
-2.8679245283018866,1.98554163038e-05
-2.849056603773585,1.98554163038e-05
-2.830188679245283,1.98554163038e-05
-2.811320754716981,1.98554163038e-05
-2.792452830188679,8.682325964513128e-07
-2.7735849056603774,3.0680761626910016e-05
-2.7547169811320753,7.068000680989582e-05
-2.7358490566037736,0.00010416227688415898
-2.7169811320754715,0.00013764454695842045
-2.69811320754717,0.00021454972204615344
-2.6792452830188678,0.0002886692018361733
-2.660377358490566,0.00040567875027649715
-2.641509433962264,0.000551534470310797
-2.6226415094339623,0.0007099547972458334
-2.6037735849056602,0.0009118539110440174
-2.5849056603773586,0.0011301980018060538
-2.5660377358490565,0.0014364311931380357
-2.547169811320755,0.001762866215584297
-2.5283018867924527,0.0020913691420146123
-2.509433962264151,0.0024927027890399205
-2.490566037735849,0.002890765585094212
-2.4716981132075473,0.0033737232392477903
-2.452830188679245,0.003880228520830924
-2.4339622641509435,0.004431755582148402
-2.4150943396226414,0.004958504595923008
-2.3962264150943398,0.005539323027416853
-2.3773584905660377,0.006136033277073507
-2.358490566037736,0.006679884143894714
-2.339622641509434,0.007268720372880044
-2.3207547169811322,0.007796788626921692
-2.30188679245283,0.008313386632308016
-2.2830188679245285,0.008766045553488696
-2.2641509433962264,0.009205734986753865
-2.2452830188679247,0.009614864819233427
-2.2264150943396226,0.00992745648149279
-2.207547169811321,0.01022580480709138
-2.188679245283019,0.010472094354353033
-2.169811320754717,0.010656171448559348
-2.150943396226415,0.010744670327838851
-2.1320754716981134,0.010806394539495934
-2.1132075471698113,0.01072945537853318
-2.0943396226415096,0.010550512367829884
-2.0754716981132075,0.010371569357126586
-2.0566037735849054,0.009951963140686592
-2.0377358490566038,0.009521231420291772
-2.018867924528302,0.008762296059140608
-2.0,0.007970753476870906
-1.9811320754716981,0.006831396852867376
-1.9622641509433962,0.005549761168679314
-1.9433962264150944,0.004268125484491252
-1.9245283018867925,0.0023312225657740656
-1.9056603773584906,0.00038662811048703746
-1.8867924528301887,-0.002024873369529112
-1.8679245283018868,-0.004807276794508439
-1.849056603773585,-0.007771125855066754
-1.830188679245283,-0.01139948168367625
-1.8113207547169812,-0.01520161044564403
-1.7924528301886793,-0.019741608027813298
-1.7735849056603774,-0.024440117513712285
-1.7547169811320755,-0.029751330845396086
-1.7358490566037736,-0.03578664003597382
-1.7169811320754718,-0.042375610757559246
-1.6981132075471699,-0.04916067446992689
-1.679245283018868,-0.056610938424995684
-1.6603773584905661,-0.06499127159909054
-1.6415094339622642,-0.07388828970838415
-1.6226415094339623,-0.08278530781767776
-1.6037735849056605,-0.09303592953553069
-1.5849056603773586,-0.1033198973211937
-1.5660377358490567,-0.11474992925745715
-1.5471698113207548,-0.1265941378365794
-1.528301886792453,-0.13911845627298186
-1.509433962264151,-0.15193433263907652
-1.4905660377358492,-0.1648693022900991
-1.4716981132075473,-0.1786659468811233
-1.4528301886792454,-0.19223885193302304
-1.4339622641509435,-0.20628546039996767
-1.4150943396226416,-0.2204024040640385
-1.3962264150943398,-0.23422260232010944
-1.3773584905660379,-0.24780615996197722
-1.358490566037736,-0.2609001775298412
-1.339622641509434,-0.2735422477557606
-1.3207547169811322,-0.2849238019833329
-1.3018867924528303,-0.29611114207693573
-1.2830188679245285,-0.30595021587767485
-1.2641509433962266,-0.31416624326292136
-1.2452830188679247,-0.3218484371102798
-1.2264150943396228,-0.32759851163785236
-1.207547169811321,-0.33169486357592043
-1.1886792452830188,-0.33411598235203654
-1.169811320754717,-0.3362987928839756
-1.150943396226415,-0.33593964881833077
-1.1320754716981132,-0.33370950973569
-1.1132075471698113,-0.3306203347630713
-1.0943396226415094,-0.32563646520635753
-1.0754716981132075,-0.31895864125583695
-1.0566037735849056,-0.3113412997873318
-1.0377358490566038,-0.3031077164384073
-1.0188679245283019,-0.2931473386357666
-1.0,-0.28203852076670816
-0.9811320754716983,-0.2704079286236721
-0.9622641509433962,-0.2575657534821766
-0.9433962264150946,-0.24391162745000938
-0.9245283018867925,-0.23002588682751623
-0.9056603773584908,-0.21560220887180412
-0.8867924528301887,-0.20040896263682048
-0.867924528301887,-0.18493965126462736
-0.8490566037735849,-0.16943113091920844
-0.8301886792452833,-0.15317764008544532
-0.8113207547169812,-0.13703830304676623
-0.7924528301886795,-0.12050355181790073
-0.7735849056603774,-0.10372160734884142
-0.7547169811320757,-0.0870343484934056
-0.7358490566037736,-0.07010745087543686
-0.716981132075472,-0.05304255436909595
-0.6981132075471699,-0.03586058561012412
-0.6792452830188682,-0.018815329343085843
-0.6603773584905661,-0.0017700730760471682
-0.6415094339622645,0.01539812366631771
-0.6226415094339623,0.032399755803871666
-0.6037735849056607,0.04931627428873615
-0.5849056603773586,0.06619349553814945
-0.5660377358490565,0.08285565485934115
-0.5471698113207548,0.0991745321645159
-0.5283018867924527,0.11563980044370711
-0.509433962264151,0.13160996210828874
-0.49056603773584895,0.14693905451902603
-0.4716981132075473,0.1623740706665579
-0.4528301886792452,0.17722737048307152
-0.4339622641509435,0.1915643854136586
-0.4150943396226414,0.20541202552838878
-0.39622641509433976,0.2188700332937294
-0.37735849056603765,0.23190133957483314
-0.358490566037736,0.24425035669335524
-0.3396226415094339,0.25659937381187764
-0.3207547169811322,0.26929603009671754
-0.3018867924528301,0.2813389609505325
-0.28301886792452846,0.2951336136485124
-0.26415094339622636,0.3103582821469641
-0.2452830188679247,0.3285939707259989
-0.2264150943396226,0.3500112116025498
-0.20754716981132093,0.37142845247910006
-0.18867924528301883,0.40295582125325413
-0.16981132075471717,0.43990983597820693
-0.15094339622641506,0.4824867503399442
-0.1320754716981134,0.5349723494579772
-0.1132075471698113,0.5925277583548708
-0.09433962264150964,0.6584925849189105
-0.07547169811320753,0.7260551941284932
-0.05660377358490587,0.7751163937814399
-0.037735849056603765,0.8054260052879842
-0.018867924528302105,0.760859793705
0.0,1.0
