x,v
-1.7320408075688771,-0.0344774583753
-1.7162230832988417,-0.0344774583753
-1.7004053590288064,-0.0349419965285
-1.684587634758771,-0.0349419965285
-1.6687699104887355,-0.0349419965285
-1.6529521862187,-0.0353190169098
-1.6371344619486647,-0.0203562318528
-1.6213167376786293,-0.0203562318528
-1.6054990134085938,-0.0203562318528
-1.5896812891385586,-0.0203562318528
-1.573863564868523,-0.0203562318528
-1.5580458405984876,-0.0203562318528
-1.5422281163284521,-0.0203562318528
-1.5264103920584169,-0.0203562318528
-1.5105926677883814,-0.0203562318528
-1.494774943518346,-0.0203562318528
-1.4789572192483105,-0.0203562318528
-1.4631394949782752,-0.0203562318528
-1.4473217707082398,-0.0203562318528
-1.4315040464382043,-0.0203562318528
-1.415686322168169,-0.0203562318528
-1.3998685978981336,-0.0203562318528
-1.384050873628098,-0.0203562318528
-1.3682331493580628,-0.0203562318528
-1.3524154250880274,-0.0203562318528
-1.336597700817992,-0.0203562318528
-1.3207799765479564,-0.0203562318528
-1.304962252277921,-0.0203562318528
-1.2891445280078857,-0.0203562318528
-1.2733268037378502,-0.0203562318528
-1.2575090794678148,-0.0203562318528
-1.2416913551977795,-0.0203562318528
-1.225873630927744,-0.0203562318528
-1.2100559066577086,-0.0203562318528
-1.1942381823876733,-0.0203562318528
-1.1784204581176378,-0.0203562318528
-1.1626027338476024,-0.026775890777
-1.1467850095775671,-0.026775890777
-1.1309672853075314,-0.026775890777
-1.1151495610374962,-0.026775890777
-1.0993318367674607,-0.021224421965251847
-1.0835141124974252,-0.02561195302277844
-1.06769638822739,-0.028546875177150946
-1.0518786639573545,-0.03106144999058977
-1.036060939687319,-0.03339357730131211
-1.0202432154172838,-0.03534353511821804
-1.0044254911472483,-0.03636592010926931
-0.9886077668772129,-0.03723895197271638
-0.9727900426071775,-0.03759037839144799
-0.9569723183371421,-0.03765117686514235
-0.9411545940671067,-0.03726716041213059
-0.9253368697970713,-0.03655589784290514
-0.9095191455270358,-0.03611427713173102
-0.8937014212570005,-0.03515624738380128
-0.877883696986965,-0.033956528937233825
-0.8620659727169296,-0.032426420175023465
-0.8462482484468943,-0.030970646773553677
-0.8304305241768588,-0.02940744788067478
-0.8146127999068234,-0.027698983057773904
