cell,x,y,initial,numerical,exact,error,absError
0,-4.8750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,1.7810511946000000e-16,2.0070601278975503e-19,1.7790441344721025e-16,1.7790441344721025e-16
1,-4.6250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,9.0036498261900005e-16,2.2281635694603555e-18,8.9813681904953977e-16,8.9813681904953977e-16
2,-4.3750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,4.9134714873300004e-15,2.1244183379414846e-17,4.8922273039505854e-15,4.8922273039505854e-15
3,-4.1250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,2.5158065843000001e-14,1.7404764544142301e-16,2.4984018197558580e-14,2.4984018197558580e-14
4,-3.8750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,1.1996837176099999e-13,1.2260411691035671e-15,1.1874233059189643e-13,1.1874233059189643e-13
5,-3.6250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,5.3064749592499996e-13,7.4315752531446378e-15,5.2321592067185533e-13,5.2321592067185533e-13
6,-3.3750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,2.1677533428000001e-12,3.8796959544152650e-14,2.1289563832558475e-12,2.1289563832558475e-12
7,-3.1250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,8.1395666531900001e-12,1.7464255260017830e-13,7.9649241005898217e-12,7.9649241005898217e-12
8,-2.8750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,2.7944835423900000e-11,6.7881715919607272e-13,2.7266018264703927e-11,2.7266018264703927e-11
9,-2.6250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,8.7223264777200002e-11,2.2823298848204748e-12,8.4940934892379534e-11,8.4940934892379534e-11
10,-2.3750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,2.4600454785899997e-10,6.6528540227483794e-12,2.3935169383625160e-10,2.3935169383625160e-10
11,-2.1250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,6.2299558863099998e-10,1.6861654580273932e-11,6.0613393405072609e-10,6.0613393405072609e-10
12,-1.8750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,1.4078800943000001e-09,3.7297802879776104e-11,1.3705822914202239e-09,1.3705822914202239e-09
13,-1.6250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,2.8238325774800001e-09,7.2355895089729565e-11,2.7514766823902705e-09,2.7514766823902705e-09
14,-1.3750000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,5.0094232434000000e-09,1.2388533696169088e-10,4.8855379064383088e-09,4.8855379064383088e-09
15,-1.1250000000000000e+00,-4.8750000000000000e+00,0.0000000000000000e+00,7.8600268400100008e-09,1.8873108111170397e-10,7.6712957588982967e-09,7.6712957588982967e-09
16,-8.7500000000000000e-01,-4.8750000000000000e+00,0.0000000000000000e+00,1.0966490086700001e-08,2.5841770537177915e-10,1.0708072381328221e-08,1.0708072381328221e-08
17,-6.2500000000000000e-01,-4.8750000000000000e+00,0.0000000000000000e+00,1.3763786345000000e-08,3.2179578037625632e-10,1.3441990564623744e-08,1.3441990564623744e-08
18,-3.7500000000000000e-01,-4.8750000000000000e+00,0.0000000000000000e+00,1.5792228820600000e-08,3.6898604447953211e-10,1.5423242776120467e-08,1.5423242776120467e-08
19,-1.2500000000000000e-01,-4.8750000000000000e+00,0.0000000000000000e+00,1.6831580697600000e-08,3.9384138886263766e-10,1.6437739308737363e-08,1.6437739308737363e-08
