cell,x,y,z,volume,numerical,exact,error,absError
34,1.6666666666700001e-02,4.3333333333500001e-01,5.0000000000000003e-02,3.1250000000099998e-05,2.9569764763700002e-01,3.0901699436478691e-01,-1.3319346727786896e-02,1.3319346727786896e-02
35,8.3333333333399998e-03,4.4166666666799997e-01,5.0000000000000003e-02,3.1250000000200002e-05,2.9569764763900003e-01,3.0901699436693925e-01,-1.3319346727939219e-02,1.3319346727939219e-02
36,8.3333333333399998e-03,4.5833333333499998e-01,5.0000000000000003e-02,3.1250000000200002e-05,2.2919455547600001e-01,2.0791169080747390e-01,2.1282864668526108e-02,2.1282864668526108e-02
37,1.6666666666700001e-02,4.6666666666899997e-01,5.0000000000000003e-02,3.1250000000200002e-05,1.4092293385900001e-01,1.0452846325286527e-01,3.6394470606134738e-02,3.6394470606134738e-02
38,1.6666666666700001e-02,4.8333333333500000e-01,5.0000000000000003e-02,3.1250000000099998e-05,-2.2298145891199998e-03,-1.0681601069353450e-11,-2.2298145784383988e-03,2.2298145784383988e-03
39,8.3333333333399998e-03,4.9166666666900000e-01,5.0000000000000003e-02,3.1250000000099998e-05,-2.2298145878399999e-03,-1.4703272953755619e-11,-2.2298145731367270e-03,2.2298145731367270e-03
40,8.3333333333399998e-03,5.0833333333499997e-01,5.0000000000000003e-02,3.1249999999799999e-05,-7.1648106107799994e-02,-1.0452846327810932e-01,3.2880357170309321e-02,3.2880357170309321e-02
41,1.6666666666700001e-02,5.1666666666899996e-01,5.0000000000000003e-02,3.1249999999900003e-05,-1.6214715133400001e-01,-2.0791169083230404e-01,4.5764539498304030e-02,4.5764539498304030e-02
42,1.6666666666700001e-02,5.3333333333499999e-01,5.0000000000000003e-02,3.1249999999799999e-05,-2.9993900702600002e-01,-3.0901699438510621e-01,9.0779873591061988e-03,9.0779873591061988e-03
43,8.3333333333500004e-03,5.4166666666800001e-01,5.0000000000000003e-02,3.1249999999799999e-05,-2.9993900702600002e-01,-3.0901699438301472e-01,9.0779873570147052e-03,9.0779873570147052e-03
44,8.3333333333500004e-03,5.5833333333500001e-01,5.0000000000000003e-02,3.1249999999799999e-05,-3.6547735186399999e-01,-4.0673664308546309e-01,4.1259291221463101e-02,4.1259291221463101e-02
45,1.6666666666700001e-02,5.6666666666800003e-01,5.0000000000000003e-02,3.1249999999799999e-05,-4.4934514360799999e-01,-5.0000000000743627e-01,5.0654856399436288e-02,5.0654856399436288e-02
46,1.6666666666700001e-02,5.8333333333500004e-01,5.0000000000000003e-02,3.1249999999799999e-05,-5.6828807965899997e-01,-5.8778525230111467e-01,1.9497172642114702e-02,1.9497172642114702e-02
47,8.3333333333500004e-03,5.9166666666800005e-01,5.0000000000000003e-02,3.1249999999799999e-05,-5.6828807965799999e-01,-5.8778525229933698e-01,1.9497172641336991e-02,1.9497172641336991e-02
48,8.3333333333500004e-03,6.0833333333499995e-01,5.0000000000000003e-02,3.1249999999799999e-05,-6.2353112798800003e-01,-6.6913060636671740e-01,4.5599478378717362e-02,4.5599478378717362e-02
49,1.6666666666700001e-02,6.1666666666799996e-01,5.0000000000000003e-02,3.1249999999900003e-05,-6.9255810245399996e-01,-7.4314482548313987e-01,5.0586723029139913e-02,5.0586723029139913e-02
50,1.6666666666700001e-02,6.3333333333399999e-01,5.0000000000000003e-02,3.1249999999799999e-05,-7.8100915555799999e-01,-8.0901699437753283e-01,2.8007838819532838e-02,2.8007838819532838e-02
51,8.3333333333500004e-03,6.4166666666799999e-01,5.0000000000000003e-02,3.1249999999799999e-05,-7.8100915555799999e-01,-8.0901699437993324e-01,2.8007838821933251e-02,2.8007838821933251e-02
52,8.3333333333500004e-03,6.5833333333400001e-01,5.0000000000000003e-02,3.1249999999799999e-05,-8.2054933290800003e-01,-8.6602540378658588e-01,4.5476070878585850e-02,4.5476070878585850e-02
53,1.6666666666700001e-02,6.6666666666800001e-01,5.0000000000000003e-02,3.1249999999900003e-05,-8.6797864889499998e-01,-9.1354545764609407e-01,4.5566808751094090e-02,4.5566808751094090e-02
54,1.6666666666700001e-02,6.8333333333400004e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.1727961370000000e-01,-9.5105651629651278e-01,3.3776902596512781e-02,3.3776902596512781e-02
55,8.3333333333500004e-03,6.9166666666700005e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.1727961370099997e-01,-9.5105651629583321e-01,3.3776902594833236e-02,3.3776902594833236e-02
56,8.3333333333500004e-03,7.0833333333399995e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.3724645202099999e-01,-9.7814760073469809e-01,4.0901148713698099e-02,4.0901148713698099e-02
57,1.6666666666700001e-02,7.1666666666699996e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.5843539761999996e-01,-9.9452189536851410e-01,3.6086497748514135e-02,3.6086497748514135e-02
58,1.6666666666700001e-02,7.3333333333399997e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.6376035219199996e-01,-1.0000000000000000e+00,3.6239647808000042e-02,3.6239647808000042e-02
59,8.3333333333599994e-03,7.4166666666699999e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.6376035219099998e-01,-1.0000000000000000e+00,3.6239647809000020e-02,3.6239647809000020e-02
60,8.3333333333599994e-03,7.5833333333399999e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.6219935822799996e-01,-9.9452189536781810e-01,3.2322537139818142e-02,3.2322537139818142e-02
61,1.6666666666700001e-02,7.6666666666700001e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.5507381181300000e-01,-9.7814760073332652e-01,2.3073788920326521e-02,2.3073788920326521e-02
62,1.6666666666700001e-02,7.8333333333300004e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.1590151249600005e-01,-9.5105651629573584e-01,3.5155003799735796e-02,3.5155003799735796e-02
63,8.3333333333599994e-03,7.9166666666700003e-01,5.0000000000000003e-02,3.1249999999900003e-05,-9.1590151249499996e-01,-9.5105651629445442e-01,3.5155003799454465e-02,3.5155003799454465e-02
64,8.3333333333599994e-03,8.0833333333299995e-01,5.0000000000000003e-02,3.1249999999900003e-05,-8.9296548721400004e-01,-9.1354545764338446e-01,2.0579970429384420e-02,2.0579970429384420e-02
65,1.6666666666700001e-02,8.1666666666700005e-01,5.0000000000000003e-02,3.1249999999900003e-05,-8.5822294691500001e-01,-8.6602540378328641e-01,7.8024568682864004e-03,7.8024568682864004e-03
66,1.6666666666700001e-02,8.3333333333299997e-01,5.0000000000000003e-02,3.1249999999900003e-05,-7.7838785129599997e-01,-8.0901699437605556e-01,3.0629143080055599e-02,3.0629143080055599e-02
67,8.3333333333599994e-03,8.4166666666599999e-01,5.0000000000000003e-02,3.1249999999900003e-05,-7.7838785129599997e-01,-8.0901699437731112e-01,3.0629143081311150e-02,3.0629143081311150e-02
68,8.3333333333599994e-03,8.5833333333299999e-01,5.0000000000000003e-02,3.1249999999900003e-05,-7.3632193265699997e-01,-7.4314482547868388e-01,6.8228928216839124e-03,6.8228928216839124e-03
69,1.6666666666700001e-02,8.6666666666600001e-01,5.0000000000000003e-02,3.1249999999900003e-05,-6.7736324038300000e-01,-6.6913060636181476e-01,-8.2326340211852367e-03,8.2326340211852367e-03
