case,caseName,problem,mesh,resolution,nominalH,nCells,finalTime,finalTimeError,normalizedL1,normalizedL2,normalizedLinf,initialMass,finalMass,massChange,normalizedMassError,maxAbsResidualIntegral,minCo,maxCo,targetCo,initialAmplitude,finalAmplitude,minFinal,maxFinal,maxAbsFinal,timeSteps,meshOK,boundedBelowInitial,boundedAboveInitial,solverEnded,solverFatal
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_sine_wave_quad_linearUpwind/N10,02_sine_wave_quad_linearUpwind,sine,quad,10,0.1,100,1.0,0.0,0.7071658526920076,0.6909723806235611,0.7071658526955557,2.1094237467877974e-18,-1.3322676295501879e-18,-3.4416913763379853e-18,5.591366582635756e-17,4.85722573274e-17,0.2,0.2,0.2,0.9510565162951543,1.58831153233,-1.58831153233,1.58831153233,1.58831153233,100,True,False,False,True,False
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_sine_wave_quad_linearUpwind/N20,02_sine_wave_quad_linearUpwind,sine,quad,20,0.05,400,1.0,0.0,0.43620100187340016,0.43384686040983944,0.4335153735848465,-1.1102230246251566e-19,0.0,1.1102230246251566e-19,1.7584205239066926e-18,4.59701721134e-17,0.2,0.2,0.2,1.0,1.41753743353,-1.41753743353,1.41753743353,1.41753743353,200,True,False,False,True,False
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_sine_wave_quad_linearUpwind/N40,02_sine_wave_quad_linearUpwind,sine,quad,40,0.025,1600,1.0,0.0,0.2134819099454279,0.2130282781380185,0.21289986555486218,-5.134781488891349e-19,0.0,5.134781488891349e-19,8.082321346944096e-18,5.24753851483e-17,0.2,0.2,0.2,1.0,1.21143563777,-1.21143563777,1.21143563777,1.21143563777,400,True,False,False,True,False
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_sine_wave_quad_linearUpwind/N80,02_sine_wave_quad_linearUpwind,sine,quad,80,0.0125,6400,1.0,0.0,0.10320857723875346,0.10314688961864577,0.10312490098687221,2.220446049250313e-19,5.154210391822289e-17,5.132005931329786e-17,8.065482488237703e-16,4.82469966756e-17,0.2,0.2,0.2,1.0,1.10297409589,-1.10297409589,1.10297409589,1.10297409589,800,True,False,False,True,False
