case,caseName,problem,mesh,resolution,nominalH,nCells,finalTime,finalTimeError,normalizedL1,normalizedL2,normalizedLinf,initialMass,finalMass,massChange,normalizedMassError,maxAbsResidualIntegral,minCo,maxCo,targetCo,initialAmplitude,finalAmplitude,minFinal,maxFinal,maxAbsFinal,timeSteps,meshOK,boundedBelowInitial,boundedAboveInitial,solverEnded,solverFatal,linearSolver,linearTolerance,nNonOrthogonalCorrectors
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_diffusion_equation/01_discontinuous_quad/N10,01_discontinuous_quad,diffusion_discontinuity,quad,10,1.0,100,0.2,0.0,0.2108997693726996,0.17240124689489744,0.1533982570880697,0.4,0.4000000000002386,2.3858692799194614e-13,5.964673199798654e-13,,0.45,0.45,0.45,1.0,0.6955324126990321,2.10796790355e-09,0.695532414807,0.695532414807,200,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_diffusion_equation/01_discontinuous_quad/N20,01_discontinuous_quad,diffusion_discontinuity,quad,20,0.5,400,0.2,0.0,0.057500737802493734,0.04819104622207342,0.037287065453300405,0.4,0.3999999999998206,-1.794120407794253e-13,4.4853010194856324e-13,,0.45,0.45,0.45,1.0,0.7581950953412455,7.54458225302e-13,0.758195095342,0.758195095342,200,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_diffusion_equation/01_discontinuous_quad/N40,01_discontinuous_quad,diffusion_discontinuity,quad,40,0.25,1600,0.2,0.0,0.011496629956398762,0.00971420627442522,0.008870816360593965,0.4,0.4000000000000233,2.325917236589703e-14,5.814793091474257e-14,,0.45,0.45,0.45,1.0,0.7784495968549998,1.7810511946e-16,0.778449596855,0.778449596855,200,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/02_diffusion_equation/01_discontinuous_quad/N80,01_discontinuous_quad,diffusion_discontinuity,quad,80,0.125,6400,0.2,0.0,0.0021961906248641142,0.001832207448365556,0.0016724843984705128,0.4,0.4000000000000137,1.3655743202889425e-14,3.4139358007223564e-14,,0.45,0.45,0.45,1.0,0.783335417291,1.70177048212e-19,0.783335417291,0.783335417291,200,True,True,True,True,False,,,
