cell,x,y,numerical,exact,error,absError
0,1.2500000000000001e-02,1.2500000000000001e-02,9.9922725045118921e-01,9.9845866686656393e-01,7.6858358462528198e-04,7.6858358462528198e-04
1,3.7500000000000006e-02,1.2500000000000001e-02,9.9306468383911295e-01,9.9230283716413281e-01,7.6184667498013781e-04,7.6184667498013781e-04
2,6.2500000000000000e-02,1.2500000000000001e-02,9.8078023838128392e-01,9.8002913049640716e-01,7.5110788487675606e-04,7.5110788487675606e-04
3,8.7500000000000008e-02,1.2500000000000001e-02,9.6244934918093916e-01,9.6171321834641510e-01,7.3613083452406247e-04,7.3613083452406247e-04
4,1.1250000000000000e-01,1.2500000000000001e-02,9.3818489868074972e-01,9.3746802440322019e-01,7.1687427752953337e-04,7.1687427752953337e-04
5,1.3750000000000001e-01,1.2500000000000001e-02,9.0813641274691159e-01,9.0744302834982726e-01,6.9338439708432897e-04,6.9338439708432897e-04
6,1.6250000000000001e-01,1.2500000000000001e-02,8.7248910489580001e-01,8.7182334427123009e-01,6.6576062456991103e-04,6.6576062456991103e-04
7,1.8750000000000000e-01,1.2500000000000001e-02,8.3146272155203993e-01,8.3082857936451981e-01,6.3414218752011475e-04,6.3414218752011475e-04
8,2.1250000000000002e-01,1.2500000000000001e-02,7.8531018144789755e-01,7.8471147998748902e-01,5.9870146040852390e-04,5.9870146040852390e-04
9,2.3750000000000002e-01,1.2500000000000001e-02,7.3431601328995222e-01,7.3375637339328925e-01,5.5963989666296676e-04,5.5963989666296676e-04
10,2.6250000000000001e-01,1.2500000000000001e-02,6.7879459981316059e-01,6.7827741475836556e-01,5.1718505479503296e-04,5.1718505479503296e-04
11,2.8750000000000003e-01,1.2500000000000001e-02,6.1908823842804606e-01,6.1861665031132840e-01,4.7158811671765832e-04,4.7158811671765832e-04
12,3.1250000000000000e-01,1.2500000000000001e-02,5.5556503013021419e-01,5.5514190850421108e-01,4.2312162600310899e-04,4.2312162600310899e-04
13,3.3750000000000002e-01,1.2500000000000001e-02,4.8861660954084618e-01,4.8824453222774783e-01,3.7207731309835124e-04,3.7207731309835124e-04
14,3.6250000000000004e-01,1.2500000000000001e-02,4.1865572999216077e-01,4.1833696605231807e-01,3.1876393984270335e-04,3.1876393984270335e-04
15,3.8750000000000001e-01,1.2500000000000001e-02,3.4611371849903300e-01,3.4585021337001864e-01,2.6350512901435197e-04,2.6350512901435197e-04
16,4.1250000000000003e-01,1.2500000000000001e-02,2.7143781627830721e-01,2.7123117911542649e-01,2.0663716288071843e-04,2.0663716288071843e-04
17,4.3750000000000000e-01,1.2500000000000001e-02,1.9508842119332351e-01,1.9493991444806819e-01,1.4850674525532237e-04,1.4850674525532237e-04
18,4.6250000000000002e-01,1.2500000000000001e-02,1.1753624911200510e-01,1.1744678038403795e-01,8.9468727967140227e-05,8.9468727967140227e-05
19,4.8750000000000004e-01,1.2500000000000001e-02,3.9259431670484207e-02,3.9229547863922305e-02,2.9883806561901982e-05,2.9883806561901982e-05
20,5.1250000000000007e-01,1.2500000000000001e-02,-3.9259431671351958e-02,-3.9229547863922631e-02,-2.9883807429326170e-05,2.9883807429326170e-05
21,5.3749999999999998e-01,1.2500000000000001e-02,-1.1753624911286729e-01,-1.1744678038403783e-01,-8.9468728829464328e-05,8.9468728829464328e-05
22,5.6250000000000000e-01,1.2500000000000001e-02,-1.9508842119417541e-01,-1.9493991444806805e-01,-1.4850674610736303e-04,1.4850674610736303e-04
23,5.8750000000000002e-01,1.2500000000000001e-02,-2.7143781627914310e-01,-2.7123117911542638e-01,-2.0663716371671637e-04,2.0663716371671637e-04
24,6.1250000000000004e-01,1.2500000000000001e-02,-3.4611371849984862e-01,-3.4585021337001876e-01,-2.6350512982986629e-04,2.6350512982986629e-04
25,6.3750000000000007e-01,1.2500000000000001e-02,-4.1865572999294959e-01,-4.1833696605231840e-01,-3.1876394063118374e-04,3.1876394063118374e-04
26,6.6250000000000009e-01,1.2500000000000001e-02,-4.8861660954160457e-01,-4.8824453222774794e-01,-3.7207731385663356e-04,3.7207731385663356e-04
27,6.8750000000000000e-01,1.2500000000000001e-02,-5.5556503013093717e-01,-5.5514190850421075e-01,-4.2312162672641929e-04,4.2312162672641929e-04
28,7.1250000000000002e-01,1.2500000000000001e-02,-6.1908823842872729e-01,-6.1861665031132851e-01,-4.7158811739878015e-04,4.7158811739878015e-04
29,7.3750000000000004e-01,1.2500000000000001e-02,-6.7879459981379853e-01,-6.7827741475836556e-01,-5.1718505543296711e-04,5.1718505543296711e-04
30,7.6250000000000007e-01,1.2500000000000001e-02,-7.3431601329054164e-01,-7.3375637339328936e-01,-5.5963989725227314e-04,5.5963989725227314e-04
31,7.8750000000000009e-01,1.2500000000000001e-02,-7.8531018144843467e-01,-7.8471147998748925e-01,-5.9870146094542775e-04,5.9870146094542775e-04
32,8.1250000000000000e-01,1.2500000000000001e-02,-8.3146272155252410e-01,-8.3082857936451993e-01,-6.3414218800417199e-04,6.3414218800417199e-04
33,8.3750000000000002e-01,1.2500000000000001e-02,-8.7248910489622533e-01,-8.7182334427123009e-01,-6.6576062499523747e-04,6.6576062499523747e-04
34,8.6250000000000004e-01,1.2500000000000001e-02,-9.0813641274727497e-01,-9.0744302834982737e-01,-6.9338439744759395e-04,6.9338439744759395e-04
35,8.8750000000000007e-01,1.2500000000000001e-02,-9.3818489868104993e-01,-9.3746802440322019e-01,-7.1687427782973767e-04,7.1687427782973767e-04
36,9.1250000000000009e-01,1.2500000000000001e-02,-9.6244934918117386e-01,-9.6171321834641510e-01,-7.3613083475876362e-04,7.3613083475876362e-04
37,9.3750000000000000e-01,1.2500000000000001e-02,-9.8078023838145467e-01,-9.8002913049640716e-01,-7.5110788504750836e-04,7.5110788504750836e-04
38,9.6250000000000002e-01,1.2500000000000001e-02,-9.9306468383921354e-01,-9.9230283716413281e-01,-7.6184667508072401e-04,7.6184667508072401e-04
39,9.8750000000000004e-01,1.2500000000000001e-02,-9.9922725045122107e-01,-9.9845866686656393e-01,-7.6858358465714538e-04,7.6858358465714538e-04
40,1.2500000000000001e-02,3.7500000000000006e-02,9.9306468383911106e-01,9.9230283716413281e-01,7.6184667497825043e-04,7.6184667497825043e-04
