cell,x,y,numerical,exact,error,absError
64,-5.5000000000000004e-01,-6.4999999999999991e-01,2.0158670770800000e-02,3.4806740073031823e-22,2.0158670770800000e-02,2.0158670770800000e-02
65,-4.4999999999999996e-01,-6.4999999999999991e-01,2.0415330139900000e-02,8.3958683700365712e-21,2.0415330139900000e-02,2.0415330139900000e-02
66,-3.4999999999999998e-01,-6.4999999999999991e-01,1.9637235759700000e-02,1.0714883118062871e-19,1.9637235759700000e-02,1.9637235759700000e-02
67,-2.5000000000000000e-01,-6.4999999999999991e-01,1.8027261375199999e-02,7.2348378266714510e-19,1.8027261375199999e-02,1.8027261375199999e-02
68,-1.4999999999999991e-01,-6.4999999999999991e-01,1.6111082490400001e-02,2.5845783911629311e-18,1.6111082490399997e-02,1.6111082490399997e-02
69,-4.9999999999999933e-02,-6.4999999999999991e-01,1.4448442700099999e-02,4.8850629354974313e-18,1.4448442700099994e-02,1.4448442700099994e-02
70,5.0000000000000044e-02,-6.4999999999999991e-01,1.3496110343200000e-02,4.8850629354974313e-18,1.3496110343199995e-02,1.3496110343199995e-02
71,1.5000000000000013e-01,-6.4999999999999991e-01,1.3389599056100000e-02,2.5845783911629311e-18,1.3389599056099998e-02,1.3389599056099998e-02
72,2.5000000000000000e-01,-6.4999999999999991e-01,1.3824689394799999e-02,7.2348378266714510e-19,1.3824689394799999e-02,1.3824689394799999e-02
73,3.5000000000000009e-01,-6.4999999999999991e-01,1.4415654611700000e-02,1.0714883118062871e-19,1.4415654611700000e-02,1.4415654611700000e-02
74,4.5000000000000018e-01,-6.4999999999999991e-01,1.4730532033800000e-02,8.3958683700365712e-21,1.4730532033800000e-02,1.4730532033800000e-02
75,5.5000000000000004e-01,-6.4999999999999991e-01,1.4380024337000001e-02,3.4806740073031823e-22,1.4380024337000001e-02,1.4380024337000001e-02
76,6.5000000000000013e-01,-6.4999999999999991e-01,1.3169760123600001e-02,7.6345004461105219e-24,1.3169760123600001e-02,1.3169760123600001e-02
77,7.5000000000000000e-01,-6.4999999999999991e-01,1.1197880989799999e-02,8.8596679500167491e-26,1.1197880989799999e-02,1.1197880989799999e-02
78,8.5000000000000009e-01,-6.4999999999999991e-01,8.9311262621500007e-03,5.4396857547988929e-28,8.9311262621500007e-03,8.9311262621500007e-03
79,9.5000000000000018e-01,-6.4999999999999991e-01,1.9209499751399999e-02,1.7670536025454137e-30,1.9209499751399999e-02,1.9209499751399999e-02
80,-9.4999999999999996e-01,-5.5000000000000004e-01,1.2361121770100000e-02,1.9432770427472498e-27,1.2361121770100000e-02,1.2361121770100000e-02
81,-8.4999999999999998e-01,-5.5000000000000004e-01,2.0964100177200001e-02,5.9821707908762704e-25,2.0964100177200001e-02,2.0964100177200001e-02
82,-7.5000000000000000e-01,-5.5000000000000004e-01,2.5631642976900001e-02,9.7432184902769053e-23,2.5631642976900001e-02,2.5631642976900001e-02
83,-6.4999999999999991e-01,-5.5000000000000004e-01,2.8656793087100001e-02,8.3958683700365110e-21,2.8656793087100001e-02,2.8656793087100001e-02
84,-5.5000000000000004e-01,-5.5000000000000004e-01,3.0731850656600002e-02,3.8277921405077839e-19,3.0731850656600002e-02,3.0731850656600002e-02
85,-4.4999999999999996e-01,-5.5000000000000004e-01,3.1616457428700000e-02,9.2331654421334490e-18,3.1616457428699993e-02,3.1616457428699993e-02
86,-3.4999999999999998e-01,-5.5000000000000004e-01,3.0942050789099999e-02,1.1783449211194131e-16,3.0942050789099881e-02,3.0942050789099881e-02
