cell,x,y,initial,numerical,exact,error,absError
83,-4.5625000000000000e+00,-4.8125000000000000e+00,7.9656564746248585e-20,1.4009848462800000e-11,1.3623698865992447e-11,3.8614959680755307e-13,3.8614959680755307e-13
84,-4.4375000000000000e+00,-4.8125000000000000e+00,2.4535949285832493e-19,2.6142737696499999e-11,2.5452420331664339e-11,6.9031736483565909e-13,6.9031736483565909e-13
85,-4.3125000000000000e+00,-4.8125000000000000e+00,7.3250813957331066e-19,4.7947110128999998e-11,4.6732961471689559e-11,1.2141486573104385e-12,1.2141486573104385e-12
86,-4.1875000000000000e+00,-4.8125000000000000e+00,2.1195825817421340e-18,8.6456764300399994e-11,8.4329142620863625e-11,2.1276216795363695e-12,2.1276216795363695e-12
87,-4.0625000000000000e+00,-4.8125000000000000e+00,5.9445163567681754e-18,1.5327916513500000e-10,1.4955200221462927e-10,3.7271629203707282e-12,3.7271629203707282e-12
88,-3.9375000000000000e+00,-4.8125000000000000e+00,1.6158870791580497e-17,2.6718313100499998e-10,2.6065553042352862e-10,6.5276005814713547e-12,6.5276005814713547e-12
89,-3.8125000000000000e+00,-4.8125000000000000e+00,4.2572954207327071e-17,4.5789268444499999e-10,4.4647980657082953e-10,1.1412877874170458e-11,1.1412877874170458e-11
90,-3.6875000000000000e+00,-4.8125000000000000e+00,1.0871384706242615e-16,7.7149395708499996e-10,7.5161746666742883e-10,1.9876490417571129e-11,1.9876490417571129e-11
91,-3.5625000000000000e+00,-4.8125000000000000e+00,2.6906935560362973e-16,1.2779114011700001e-09,1.2435179880548941e-09,3.4393413115105952e-11,3.4393413115105952e-11
92,-3.4375000000000000e+00,-4.8125000000000000e+00,6.4546382952119480e-16,2.0809125358200001e-09,2.0219361873641294e-09,5.8976348455870737e-11,5.8976348455870737e-11
93,-3.3125000000000000e+00,-4.8125000000000000e+00,1.5007483668260141e-15,3.3310226667200002e-09,3.2310448274984096e-09,9.9977839221590571e-11,9.9977839221590571e-11
94,-3.1875000000000000e+00,-4.8125000000000000e+00,3.3819886514958319e-15,5.2415317268500001e-09,5.0743297630999441e-09,1.6720196375005603e-10,1.6720196375005603e-10
95,-3.0625000000000000e+00,-4.8125000000000000e+00,7.3869423547664148e-15,8.1074130560200000e-09,7.8320338528878466e-09,2.7537920313215339e-10,2.7537920313215339e-10
96,-2.9375000000000000e+00,-4.8125000000000000e+00,1.5638157087757368e-14,1.2326415809700000e-08,1.1880387060649581e-08,4.4602874905041938e-10,4.4602874905041938e-10
97,-2.8125000000000000e+00,-4.8125000000000000e+00,3.2087414926954847e-14,1.8420828316900001e-08,1.7711151152474904e-08,7.0967716442509671e-10,7.0967716442509671e-10
98,-2.6875000000000000e+00,-4.8125000000000000e+00,6.3813444367269246e-14,2.7057467161100001e-08,2.5949151050674194e-08,1.1083161104258065e-09,1.1083161104258065e-09
99,-2.5625000000000000e+00,-4.8125000000000000e+00,1.2300363341687139e-13,3.9062408550199999e-08,3.7364543784265623e-08,1.6978647659343760e-09,1.6978647659343760e-09
100,-2.4375000000000000e+00,-4.8125000000000000e+00,2.2980104088054503e-13,5.5425992685300000e-08,5.2875730338635239e-08,2.5502623466647612e-09,2.5502623466647612e-09
101,-2.3125000000000000e+00,-4.8125000000000000e+00,4.1611592816421123e-13,7.7292912236500004e-08,7.3538241316345968e-08,3.7546709201540361e-09,3.7546709201540361e-09
102,-2.1875000000000000e+00,-4.8125000000000000e+00,7.3030619755995590e-13,1.0593200643900000e-07,1.0051485835837613e-07,5.4171480806238739e-09,5.4171480806238739e-09
103,-2.0625000000000000e+00,-4.8125000000000000e+00,1.2422926899445038e-12,1.4268099981300001e-07,1.3502290758011702e-07,7.6580922328829914e-09,7.6580922328829914e-09
104,-1.9375000000000000e+00,-4.8125000000000000e+00,2.0481943823467824e-12,1.8886308263600000e-07,1.7825626886067703e-07,1.0606813775322973e-08,1.0606813775322973e-08
105,-1.8125000000000000e+00,-4.8125000000000000e+00,3.2730053036046060e-12,2.4567504765899999e-07,2.3128226575913078e-07,1.4392781899869210e-08,1.4392781899869210e-08
