x,v
0.0,0.0
0.005,0.254585318065
0.01,0.254585318065
0.015,0.254585318065
0.02,0.254585318065
0.025,0.044448589517182224
0.03,0.10406952386270911
0.035,0.16369045820823608
0.04,0.19175837941117735
0.045,0.20232035482193345
0.05,0.21288233023268954
0.055,0.22344430564344564
0.06,0.23400628105420174
0.065,0.2445682564649578
0.07,0.25482148183649583
0.075,0.2595400197336241
0.08,0.2642585576307524
0.085,0.26897709552788074
0.09,0.273695633425009
0.095,0.27841417132213736
0.1,0.28313270921926564
0.105,0.2878512471163939
0.11,0.2924867191994902
0.115,0.2955925670718007
0.12,0.29886918846033705
0.125,0.3023612283367629
0.13,0.3028753671516662
0.135,0.30241754254236813
0.14,0.30072342383859435
0.145,0.29895640897357645
0.15,0.29682758351919936
0.155,0.2937316866551015
0.16,0.29041220492976916
0.165,0.2867547565403893
0.17,0.2827882760694398
0.17500000000000002,0.278613855965838
0.18,0.27410610036444977
0.185,0.26950999675572285
0.19,0.2648109200786911
0.195,0.2600226598839116
0.2,0.25523201982502297
0.20500000000000002,0.25044310063829833
0.21,0.24564834176424255
0.215,0.24093423681968837
0.22,0.23626673865800812
0.225,0.23162930761606584
0.23,0.22714494161476484
0.23500000000000001,0.22265907744825944
0.24,0.21826935360672056
0.245,0.21396305920316688
0.25,0.20973228811524736
0.255,0.20557624288083512
0.26,0.20141331277377103
0.265,0.19735641313206256
0.27,0.1933083858847568
0.275,0.18928582065618496
0.28,0.18530955000706412
0.28500000000000003,0.18133232113866027
0.29,0.17740129768053753
0.295,0.17346739484987703
0.3,0.16955098515598285
0.305,0.16565452261597818
0.31,0.16176125856611195
0.315,0.15788831721722751
0.32,0.15401352988860778
0.325,0.1501521776255219
0.33,0.14629559570544842
0.335,0.14244861083649668
0.34,0.13861478423717077
0.34500000000000003,0.13478947289440982
0.35000000000000003,0.13097559965836192
0.355,0.12716788438576926
0.36,0.12336315705699658
0.365,0.11957954565170863
0.37,0.11579395984689866
0.375,0.11202387167791923
0.38,0.10825917399095854
0.385,0.10449972323129553
0.39,0.10075486187668313
0.395,0.09700905486301738
0.4,0.0932770219722128
0.405,0.0895475613381275
0.41000000000000003,0.08582331637015297
0.41500000000000004,0.08210732954017307
0.42,0.0783908337039167
0.425,0.07468472163366217
0.43,0.07097916458591527
0.435,0.06727671309647995
0.44,0.06357847122005418
0.445,0.05988036203012514
0.45,0.056186270236817326
0.455,0.05249217121746522
0.46,0.04879792186464149
0.465,0.045105015714034455
0.47000000000000003,0.04141094532150582
0.47500000000000003,0.037717565774190644
0.48,0.034020965833833294
0.485,0.030324544726173894
0.49,0.026621796136039235
0.495,0.022917393390904657
0.5,0.019209740007380703
0.505,0.015500295949014871
0.51,0.01178666570418962
0.515,0.00806209327534435
0.52,0.004335027930865649
0.525,0.0005998923636651367
0.53,-0.0031352047855464243
0.535,-0.006888466192247658
0.54,-0.010641614187634676
0.545,-0.014404832946468705
0.55,-0.018173835300367234
0.555,-0.021953520359563813
0.56,-0.02575221046265774
0.5650000000000001,-0.029551312541963498
0.5700000000000001,-0.03336733015790778
0.5750000000000001,-0.0371943062303757
0.58,-0.04102330302967906
0.585,-0.044881600367821926
0.59,-0.048739572339698896
0.595,-0.05262183745284344
0.6,-0.05651477386655811
0.605,-0.06041421056413334
0.61,-0.06433806239433099
0.615,-0.06827022387479313
0.62,-0.07221842748672277
0.625,-0.07619223722415745
0.63,-0.08018680405083983
0.635,-0.08418300033827554
0.64,-0.08822423961116037
0.645,-0.09228142840292111
0.65,-0.0963324719081488
0.655,-0.10042764900560208
0.66,-0.10452332326690346
0.665,-0.10867032276715861
0.67,-0.11282124695826659
0.675,-0.11701369340386333
0.68,-0.12121652142268996
0.685,-0.12545192610795494
0.6900000000000001,-0.1296870958737376
0.6950000000000001,-0.13395103077801124
0.7000000000000001,-0.1382702516441289
0.705,-0.14262876879364833
0.71,-0.14697927758587176
0.715,-0.15138223309046264
0.72,-0.15581932687583336
0.725,-0.1602948296038142
0.73,-0.16480378619547298
0.735,-0.16934455147390237
0.74,-0.17389570938818646
0.745,-0.17853135038928014
0.75,-0.1831644315221842
0.755,-0.187854618920204
0.76,-0.19254935977426657
0.765,-0.19732725376145527
0.77,-0.2020975062858235
0.775,-0.20695448445218273
0.78,-0.21180833302618046
0.785,-0.21670495706043597
0.79,-0.2215791772011354
0.795,-0.2264614002080158
0.8,-0.23133508436430367
0.805,-0.23612919223325443
0.81,-0.240918264549751
0.8150000000000001,-0.24562995813270516
0.8200000000000001,-0.2501806519101325
0.8250000000000001,-0.2547158221209574
0.8300000000000001,-0.2590531153395154
0.835,-0.263326028662419
0.84,-0.2675482698747711
0.845,-0.27176638015861954
0.85,-0.27618171489278226
0.855,-0.28170631974414984
0.86,-0.2871260943479991
0.865,-0.29246899612390187
0.87,-0.3012194591582849
0.875,-0.3106848497427137
0.88,-0.3207703717440605
0.885,-0.3316173377804538
0.89,-0.3426162929378301
0.895,-0.34488942387639976
0.9,-0.34668870137650787
0.905,-0.34848797887661587
0.91,-0.3502872563767239
0.915,-0.352086533876832
0.92,-0.35388581137694003
0.925,-0.3556850888770481
0.93,-0.3574843663771561
0.935,-0.3493792600673325
0.9400000000000001,-0.3406687124206936
0.9450000000000001,-0.33195816477405476
0.9500000000000001,-0.32324761712741584
0.9550000000000001,-0.314537069480777
0.96,-0.3058265218341383
0.965,-0.29203590172297555
0.97,-0.2708285422971102
0.975,-0.2496211828712449
0.98,-0.22841382344537958
0.985,-0.357610504396
0.99,-0.357610504396
0.995,-0.357610504396
1.0,0.0
