i,j,x,y,initial,numerical,exact,error,absError
0,0,6.2500000000000003e-03,6.2500000000000003e-03,7.8459095727844944e-02,5.7034021149199997e-02,7.8459095727845873e-02,-2.1425074578645877e-02,2.1425074578645877e-02
1,0,1.8749999999999999e-02,6.2500000000000003e-03,1.5643446504023087e-01,1.0953665187700000e-01,1.5643446504023048e-01,-4.6897813163230481e-02,4.6897813163230481e-02
2,0,3.1250000000000000e-02,6.2500000000000003e-03,2.3344536385590539e-01,1.6136395272099999e-01,2.3344536385590717e-01,-7.2081411134907181e-02,7.2081411134907181e-02
3,0,4.3749999999999997e-02,6.2500000000000003e-03,3.0901699437494740e-01,2.1219639113800001e-01,3.0901699437494790e-01,-9.6820603236947883e-02,9.6820603236947883e-02
4,0,5.6250000000000001e-02,6.2500000000000003e-03,3.8268343236508978e-01,2.6172056824099998e-01,3.8268343236509061e-01,-1.2096286412409063e-01,1.2096286412409063e-01
5,0,6.8750000000000006e-02,6.2500000000000003e-03,4.5399049973954680e-01,3.0963115100999999e-01,4.5399049973954642e-01,-1.4435934872954642e-01,1.4435934872954642e-01
6,0,8.1250000000000003e-02,6.2500000000000003e-03,5.2249856471594880e-01,3.5563275477000000e-01,5.2249856471594891e-01,-1.6686580994594891e-01,1.6686580994594891e-01
7,0,9.3750000000000000e-02,6.2500000000000003e-03,5.8778525229247314e-01,3.9944176433700002e-01,5.8778525229247347e-01,-1.8834348795547345e-01,1.8834348795547345e-01
8,0,1.0625000000000000e-01,6.2500000000000003e-03,6.4944804833018366e-01,4.4078808259899999e-01,6.4944804833018432e-01,-2.0865996573118434e-01,2.0865996573118434e-01
9,0,1.1874999999999999e-01,6.2500000000000003e-03,7.0710678118654746e-01,4.7941679575500001e-01,7.0710678118654846e-01,-2.2768998543154845e-01,2.2768998543154845e-01
10,0,1.3125000000000001e-01,6.2500000000000003e-03,7.6040596560003104e-01,5.1508974494299997e-01,7.6040596560003093e-01,-2.4531622065703096e-01,2.4531622065703096e-01
11,0,1.4374999999999999e-01,6.2500000000000003e-03,8.0901699437494745e-01,5.4758699456899995e-01,8.0901699437494767e-01,-2.6142999980594772e-01,2.6142999980594772e-01
12,0,1.5625000000000000e-01,6.2500000000000003e-03,8.5264016435409218e-01,5.7670818828100001e-01,8.5264016435409273e-01,-2.7593197607309272e-01,2.7593197607309272e-01
13,0,1.6875000000000001e-01,6.2500000000000003e-03,8.9100652418836779e-01,6.0227378423900002e-01,8.9100652418836845e-01,-2.8873273994936843e-01,2.8873273994936843e-01
14,0,1.8124999999999999e-01,6.2500000000000003e-03,9.2387953251128674e-01,6.2412616204000004e-01,9.2387953251128674e-01,-2.9975337047128670e-01,2.9975337047128670e-01
15,0,1.9375000000000001e-01,6.2500000000000003e-03,9.5105651629515353e-01,6.4213059450900001e-01,9.5105651629515375e-01,-3.0892592178615375e-01,3.0892592178615375e-01
16,0,2.0624999999999999e-01,6.2500000000000003e-03,9.7236992039767656e-01,6.5617607833199998e-01,9.7236992039767645e-01,-3.1619384206567647e-01,3.1619384206567647e-01
17,0,2.1875000000000000e-01,6.2500000000000003e-03,9.8768834059513777e-01,6.6617601843200003e-01,9.8768834059513788e-01,-3.2151232216313785e-01,3.2151232216313785e-01
18,0,2.3125000000000001e-01,6.2500000000000003e-03,9.9691733373312796e-01,6.7206876185300002e-01,9.9691733373312796e-01,-3.2484857188012795e-01,3.2484857188012795e-01
19,0,2.4374999999999999e-01,6.2500000000000003e-03,1.0000000000000000e+00,6.7381797787099995e-01,1.0000000000000000e+00,-3.2618202212900005e-01,3.2618202212900005e-01
20,0,2.5624999999999998e-01,6.2500000000000003e-03,9.9691733373312796e-01,6.7141288198799998e-01,9.9691733373312785e-01,-3.2550445174512788e-01,3.2550445174512788e-01
21,0,2.6874999999999999e-01,6.2500000000000003e-03,9.8768834059513777e-01,6.6486830242100003e-01,9.8768834059513777e-01,-3.2282003817413774e-01,3.2282003817413774e-01
22,0,2.8125000000000000e-01,6.2500000000000003e-03,9.7236992039767667e-01,6.5422458867800004e-01,9.7236992039767622e-01,-3.1814533171967618e-01,3.1814533171967618e-01
23,0,2.9375000000000001e-01,6.2500000000000003e-03,9.5105651629515364e-01,6.3954736279400004e-01,9.5105651629515342e-01,-3.1150915350115338e-01,3.1150915350115338e-01
24,0,3.0625000000000002e-01,6.2500000000000003e-03,9.2387953251128674e-01,6.2092711474700002e-01,9.2387953251128641e-01,-3.0295241776428639e-01,3.0295241776428639e-01
25,0,3.1874999999999998e-01,6.2500000000000003e-03,8.9100652418836812e-01,5.9847864455900002e-01,8.9100652418836812e-01,-2.9252787962936810e-01,2.9252787962936810e-01
26,0,3.3124999999999999e-01,6.2500000000000003e-03,8.5264016435409229e-01,5.7234035451200005e-01,8.5264016435409229e-01,-2.8029980984209224e-01,2.8029980984209224e-01
27,0,3.4375000000000000e-01,6.2500000000000003e-03,8.0901699437494745e-01,5.4267339585800001e-01,8.0901699437494723e-01,-2.6634359851694722e-01,2.6634359851694722e-01
28,0,3.5625000000000001e-01,6.2500000000000003e-03,7.6040596560003104e-01,5.0966067526000003e-01,7.6040596560003038e-01,-2.5074529034003035e-01,2.5074529034003035e-01
29,0,3.6875000000000002e-01,6.2500000000000003e-03,7.0710678118654757e-01,4.7350572712099998e-01,7.0710678118654791e-01,-2.3360105406554793e-01,2.3360105406554793e-01
30,0,3.8124999999999998e-01,6.2500000000000003e-03,6.4944804833018410e-01,4.3443145871700001e-01,6.4944804833018366e-01,-2.1501658961318365e-01,2.1501658961318365e-01
31,0,3.9374999999999999e-01,6.2500000000000003e-03,5.8778525229247325e-01,3.9267877590700001e-01,5.8778525229247280e-01,-1.9510647638547279e-01,1.9510647638547279e-01
32,0,4.0625000000000000e-01,6.2500000000000003e-03,5.2249856471594891e-01,3.4850509786500000e-01,5.2249856471594813e-01,-1.7399346685094813e-01,1.7399346685094813e-01
33,0,4.1875000000000001e-01,6.2500000000000003e-03,4.5399049973954686e-01,3.0218277000400001e-01,4.5399049973954564e-01,-1.5180772973554563e-01,1.5180772973554563e-01
34,0,4.3125000000000002e-01,6.2500000000000003e-03,3.8268343236508989e-01,2.5399738488099999e-01,3.8268343236508984e-01,-1.2868604748408985e-01,1.2868604748408985e-01
35,0,4.4374999999999998e-01,6.2500000000000003e-03,3.0901699437494795e-01,2.0424602141699999e-01,3.0901699437494706e-01,-1.0477097295794707e-01,1.0477097295794707e-01
36,0,4.5624999999999999e-01,6.2500000000000003e-03,2.3344536385590553e-01,1.5323541331200000e-01,2.3344536385590633e-01,-8.0209950543906339e-02,8.0209950543906339e-02
37,0,4.6875000000000000e-01,6.2500000000000003e-03,1.5643446504023098e-01,1.0128005792899999e-01,1.5643446504022962e-01,-5.5154407111229625e-02,5.5154407111229625e-02
38,0,4.8125000000000001e-01,6.2500000000000003e-03,7.8459095727845068e-02,4.8700277308600000e-02,7.8459095727845013e-02,-2.9758818419245013e-02,2.9758818419245013e-02
