cell,x,y,numerical,exact,error,absError
25,5.0000000000000000e-01,-2.5000000000000000e+00,1.2074566775900001e-02,6.8748044993149340e-03,5.1997622765850666e-03,5.1997622765850666e-03
26,1.5000000000000000e+00,-2.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
27,2.5000000000000000e+00,-2.5000000000000000e+00,2.0602180791700001e-04,7.8375914463790831e-05,1.2764589345320916e-04,1.2764589345320916e-04
28,3.5000000000000000e+00,-2.5000000000000000e+00,1.3255726933900000e-05,3.4184507151313057e-07,1.2913881862386869e-05,1.2913881862386869e-05
29,4.5000000000000000e+00,-2.5000000000000000e+00,6.6584145240400005e-07,1.3856483197020840e-10,6.6570288757202986e-07,6.6570288757202986e-07
30,-4.5000000000000000e+00,-1.5000000000000000e+00,7.0581822264600000e-06,3.3582151755495156e-09,7.0548240112844503e-06,7.0548240112844503e-06
31,-3.5000000000000000e+00,-1.5000000000000000e+00,1.3981071808800001e-04,8.2848533103191979e-06,1.3152586477768082e-04,1.3152586477768082e-04
32,-2.5000000000000000e+00,-1.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
33,-1.5000000000000000e+00,-1.5000000000000000e+00,2.2594591494900000e-02,4.6035580282165367e-02,-2.3440988787265367e-02,2.3440988787265367e-02
34,-5.0000000000000000e-01,-1.5000000000000000e+00,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
35,5.0000000000000000e-01,-1.5000000000000000e+00,1.2561122552500001e-01,1.6661567347405470e-01,-4.1004447949054695e-02,4.1004447949054695e-02
36,1.5000000000000000e+00,-1.5000000000000000e+00,2.2594591494900000e-02,4.6035580282165367e-02,-2.3440988787265367e-02,2.3440988787265367e-02
37,2.5000000000000000e+00,-1.5000000000000000e+00,2.1625788803099999e-03,1.8994948545563287e-03,2.6308402575367113e-04,2.6308402575367113e-04
