cell,x,y,initial,numerical,exact,error,absError
59,2.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.0824769493399999e-12,2.7599570766809520e-12,5.3225198726590479e-12,5.3225198726590479e-12
60,2.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.5738429398900002e-12,1.6166166572405132e-12,2.9572262826494870e-12,2.9572262826494870e-12
61,2.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.4968987437499999e-12,9.1385969302289848e-13,1.5830390507271014e-12,1.5830390507271014e-12
62,2.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3150865625300001e-12,4.9840447551013662e-13,8.1668208701986346e-13,8.1668208701986346e-13
63,2.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,6.6836726638399995e-13,2.6217570363381528e-13,4.0619156275018468e-13,4.0619156275018468e-13
64,3.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.2785078981000002e-13,1.3298512199266617e-13,1.9486566781733385e-13,1.9486566781733385e-13
65,3.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.5525519460200001e-13,6.5030606000081972e-14,9.0224588601918037e-14,9.0224588601918037e-14
66,3.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,7.0998049234600005e-14,3.0651459228811942e-14,4.0346590005788063e-14,4.0346590005788063e-14
67,3.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.1362378030999999e-14,1.3922803738571333e-14,1.7439574292428668e-14,1.7439574292428668e-14
68,3.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3386713792500000e-14,6.0936285353098691e-15,7.2930852571901307e-15,7.2930852571901307e-15
69,3.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,5.5231627252799998e-15,2.5694340662865853e-15,2.9537286589934145e-15,2.9537286589934145e-15
70,3.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,2.2034423304199999e-15,1.0436522461760773e-15,1.1597900842439226e-15,1.1597900842439226e-15
71,3.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,8.5029557674000000e-16,4.0830148538917686e-16,4.4199409135082314e-16,4.4199409135082314e-16
72,4.0625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,3.1750384745799999e-16,1.5383942274976264e-16,1.6366442470823735e-16,1.6366442470823735e-16
73,4.1875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.1476155689999999e-16,5.5818063994661430e-17,5.8943492905338564e-17,5.8943492905338564e-17
74,4.3125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.0167084182400001e-17,1.9501363168411574e-17,2.0665721013988427e-17,2.0665721013988427e-17
75,4.4375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.3618606052499999e-17,6.5600050391382411e-18,7.0586010133617582e-18,7.0586010133617582e-18
76,4.5625000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.4750510503899997e-18,2.1245220795087142e-18,2.3505289708812855e-18,2.3505289708812855e-18
77,4.6875000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.4279469728700001e-18,6.6238073291808318e-19,7.6556623995191687e-19,7.6556623995191687e-19
78,4.8125000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,4.5090802543299999e-19,1.9880044599980228e-19,2.5210757943319771e-19,2.5210757943319771e-19
79,4.9375000000000000e+00,-4.9375000000000000e+00,0.0000000000000000e+00,1.7017704821200000e-19,5.7433623041679123e-20,1.1274342517032088e-19,1.1274342517032088e-19
80,-4.9375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,4.5090802543299999e-19,1.9880044599980228e-19,2.5210757943319771e-19,2.5210757943319771e-19
81,-4.8125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.1874244610000000e-18,6.8812683645327021e-19,4.9929762454672980e-19,4.9929762454672980e-19
82,-4.6875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.7396116029600002e-18,2.2927612459731223e-18,1.4468503569868779e-18,1.4468503569868779e-18
83,-4.5625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.1659621572100000e-17,7.3538097472321994e-18,4.3058118248678001e-18,4.3058118248678001e-18
84,-4.4375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.5307141021100001e-17,2.2706767542685485e-17,1.2600373478414516e-17,1.2600373478414516e-17
85,-4.3125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.0363326562900000e-16,6.7501917694987088e-17,3.6131347934012916e-17,3.6131347934012916e-17
86,-4.1875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,2.9469911991900001e-16,1.9320835826309342e-16,1.0149076165590659e-16,1.0149076165590659e-16
87,-4.0625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,8.1159696820699999e-16,5.3249898291826111e-16,2.7909798528873888e-16,2.7909798528873888e-16
88,-3.9375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,2.1638496298000000e-15,1.4132926515683212e-15,7.5055697823167881e-16,7.5055697823167881e-16
89,-3.8125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,5.5831929624599998e-15,3.6124924916879107e-15,1.9707004707720891e-15,1.9707004707720891e-15
90,-3.6875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.3936446928400000e-14,8.8938257991172153e-15,5.0426211292827847e-15,5.0426211292827847e-15
91,-3.5625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.3642051976700001e-14,2.1092454322402906e-14,1.2549597654297095e-14,1.2549597654297095e-14
92,-3.4375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,7.8509885097500002e-14,4.8192320912561653e-14,3.0317564184938349e-14,3.0317564184938349e-14
93,-3.3125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.7706506205899999e-13,1.0609680257870113e-13,7.0968259480298862e-14,7.0968259480298862e-14
94,-3.1875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.8580661991400000e-13,2.2509660355349488e-13,1.6071001636050512e-13,1.6071001636050512e-13
95,-3.0625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,8.1190383911800001e-13,4.6031401404530352e-13,3.5158982507269649e-13,3.5158982507269649e-13
96,-2.9375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.6497491873599999e-12,9.0749362572670924e-13,7.4225556163329069e-13,7.4225556163329069e-13
97,-2.8125000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,3.2359580229500000e-12,1.7251746759526022e-12,1.5107833469973979e-12,1.5107833469973979e-12
98,-2.6875000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,6.1258799382599998e-12,3.1632292189255410e-12,2.9626507193344588e-12,2.9626507193344588e-12
99,-2.5625000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.1190328064100000e-11,5.5957485432687679e-12,5.5945795208312326e-12,5.5945795208312326e-12
100,-2.4375000000000000e+00,-4.8125000000000000e+00,0.0000000000000000e+00,1.9723173322200000e-11,9.5533011627406926e-12,1.0169872159459307e-11,1.0169872159459307e-11
