case,caseName,problem,mesh,resolution,nominalH,nCells,finalTime,finalTimeError,normalizedL1,normalizedL2,normalizedLinf,initialMass,finalMass,massChange,normalizedMassError,maxAbsResidualIntegral,minCo,maxCo,targetCo,initialAmplitude,finalAmplitude,minFinal,maxFinal,maxAbsFinal,timeSteps,meshOK,boundedBelowInitial,boundedAboveInitial,solverEnded,solverFatal,linearSolver,linearTolerance,nNonOrthogonalCorrectors
/home/a776/workdocuments/上交船舶/slover/student_project/cases/01_advection_equation/01_sine_wave_quad/N10,01_sine_wave_quad,sine_wave_advection,quad,10,0.1,100,0.9999999999999984,1.5543122344752192e-15,0.9661795052668464,0.9608682627832834,0.9661795052668247,2.1094237467877974e-18,-2.42861286636753e-20,-2.1337098754514727e-18,3.466421822904224e-17,3.46944695195e-17,0.2,0.2,0.2,0.9510565162951543,0.0425471074125,-0.0425471074125,0.0425471074125,0.0425471074125,100,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/01_advection_equation/01_sine_wave_quad/N20,01_sine_wave_quad,sine_wave_advection,quad,20,0.05,400,0.9999999999999957,4.3298697960381105e-15,0.7980079419300655,0.7950221146063466,0.79475712913,-1.1102230246251566e-19,0.0,1.1102230246251566e-19,1.7584205239066926e-18,3.20923843056e-17,0.2,0.2,0.2,1.0,0.20524287087,-0.20524287087,0.20524287087,0.20524287087,200,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/01_advection_equation/01_sine_wave_quad/N40,01_sine_wave_quad,sine_wave_advection,quad,40,0.025,1600,0.9999999999999905,9.547918011776346e-15,0.5469566864361524,0.5461857208980392,0.546069335514,-5.134781488891349e-19,0.0,5.134781488891349e-19,8.082321346944096e-18,3.4043948216e-17,0.2,0.2,0.2,1.0,0.453930664486,-0.453930664486,0.453930664486,0.453930664486,400,True,True,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/01_advection_equation/01_sine_wave_quad/N80,01_sine_wave_quad,sine_wave_advection,quad,80,0.0125,6400,0.9999999999999785,2.1538326677728037e-14,0.326346245217498,0.32620880111715145,0.32618202212900005,2.220446049250313e-19,-3.0531133177191803e-19,-5.273559366969493e-19,8.287948473581198e-18,3.68628738645e-17,0.2,0.2,0.2,1.0,0.673817977871,-0.673817977871,0.673817977871,0.673817977871,800,True,True,True,True,False,,,
