cell,x,y,z,volume,initial,numerical,exact,error,absError
27,1.6666666666700000e-01,3.6666666666800002e-01,5.0000000000000003e-02,5.0000000000099997e-04,-2.0791169082800229e-01,1.1919978744400000e-01,-2.0791169087717079e-01,3.2711147832117082e-01,3.2711147832117082e-01
28,1.6666666666700000e-01,4.3333333333500001e-01,5.0000000000000003e-02,5.0000000000099997e-04,-5.8778525230263978e-01,-3.4003862818500002e-01,-5.8778525234330659e-01,2.4774662415830656e-01,2.4774662415830656e-01
29,1.3333333333299999e-01,4.6666666666800000e-01,5.0000000000000003e-02,5.0000000000200004e-04,-5.8778525229755607e-01,-3.4003862818500002e-01,-5.8778525233822210e-01,2.4774662415322207e-01,2.4774662415322207e-01
30,1.3333333333299999e-01,5.3333333333499999e-01,5.0000000000000003e-02,4.9999999999700002e-04,-8.6602540378862747e-01,-5.4409992741799995e-01,-8.6602540381376059e-01,3.2192547639576063e-01,3.2192547639576063e-01
31,1.6666666666700000e-01,5.6666666666800003e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.9452189536936797e-01,-7.8330775441300005e-01,-9.9452189537462221e-01,2.1121414096162217e-01,2.1121414096162217e-01
32,1.6666666666700000e-01,6.3333333333399999e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.5105651629321208e-01,-7.9730900538200000e-01,-9.5105651627767873e-01,1.5374751089567873e-01,1.5374751089567873e-01
33,1.3333333333399999e-01,6.6666666666700003e-01,5.0000000000000003e-02,4.9999999999799998e-04,-9.5105651629321208e-01,-7.9730900537700000e-01,-9.5105651627767873e-01,1.5374751090067873e-01,1.5374751090067873e-01
34,1.3333333333399999e-01,7.3333333333399997e-01,5.0000000000000003e-02,4.9999999999799998e-04,-7.4314482547178906e-01,-7.5878056079000000e-01,-7.4314482543815397e-01,-1.5635735351846036e-02,1.5635735351846036e-02
35,1.6666666666700000e-01,7.6666666666700001e-01,5.0000000000000003e-02,4.9999999999900005e-04,-4.0673664307197360e-01,-6.0331060331800002e-01,-4.0673664302605328e-01,-1.9657396029194674e-01,1.9657396029194674e-01
36,1.6666666666700000e-01,8.3333333333299997e-01,5.0000000000000003e-02,5.0000000000000001e-04,-2.4492935982947064e-16,-1.5272543667200000e-01,5.0265814413868716e-11,-1.5272543672226582e-01,1.5272543672226582e-01
37,1.3333333333399999e-01,8.6666666666600001e-01,5.0000000000000003e-02,5.0000000000000001e-04,-2.4492935982947064e-16,-1.5272543666999999e-01,5.0265814413868716e-11,-1.5272543672026581e-01,1.5272543672026581e-01
