y,u
-3.0,0.0
-2.981132075471698,-3.21926258144e-05
-2.9622641509433962,-3.21926258144e-05
-2.943396226415094,-3.21926258144e-05
-2.9245283018867925,-3.21926258144e-05
-2.9056603773584904,-3.21926258144e-05
-2.8867924528301887,2.87025159706e-05
-2.8679245283018866,2.87025159706e-05
-2.849056603773585,2.87025159706e-05
-2.830188679245283,2.87025159706e-05
-2.811320754716981,2.87025159706e-05
-2.792452830188679,-7.3969975169062934e-06
-2.7735849056603774,5.0180701463035306e-05
-2.7547169811320753,0.00013042462529732737
-2.7358490566037736,0.00020372209847789542
-2.7169811320754715,0.0002770195716584121
-2.69811320754717,0.00037653149072509195
-2.6792452830188678,0.0005074607895173041
-2.660377358490566,0.0006878641224783343
-2.641509433962264,0.0008956445348373876
-2.6226415094339623,0.0011434150386898463
-2.6037735849056602,0.0014521017532399768
-2.5849056603773586,0.0018251589801069241
-2.5660377358490565,0.0022521640543657242
-2.547169811320755,0.0027761256219718668
-2.5283018867924527,0.003310011870055644
-2.509433962264151,0.003913532613794985
-2.490566037735849,0.0045595091471352794
-2.4716981132075473,0.005323785412214868
-2.452830188679245,0.0061099636181099325
-2.4339622641509435,0.006944156717439311
-2.4150943396226414,0.007803101611188818
-2.3962264150943398,0.008719040031479844
-2.3773584905660377,0.009657548235010562
-2.358490566037736,0.010567941540741733
-2.339622641509434,0.011506972855492391
-2.3207547169811322,0.01244650751484163
-2.30188679245283,0.0133359793651982
-2.2830188679245285,0.014175205172051075
-2.2641509433962264,0.01500226932837773
-2.2452830188679247,0.015738594267020765
-2.2264150943396226,0.0163446821580398
-2.207547169811321,0.016931554746854705
-2.188679245283019,0.01741345790279355
-2.169811320754717,0.017757393209011027
-2.150943396226415,0.01795663500437819
-2.1320754716981134,0.018029219310126673
-2.1132075471698113,0.0179296280337347
-2.0943396226415096,0.017522211972673184
-2.0754716981132075,0.01711479591161166
-2.0566037735849054,0.016420919964804367
-2.0377358490566038,0.015491237769457274
-2.018867924528302,0.01429257191996666
-2.0,0.012758902139475371
-1.9811320754716981,0.010926420057888523
-1.9622641509433962,0.008664983993929079
-1.9433962264150944,0.006403547929969637
