i,j,x,y,initial,numerical,exact,error,absError
0,0,5.0000000000000003e-02,5.0000000000000003e-02,5.8778525229247314e-01,3.6677464016200000e-02,5.8778525229247347e-01,-5.5110778827627349e-01,5.5110778827627349e-01
1,0,1.4999999999999999e-01,5.0000000000000003e-02,9.5105651629515353e-01,4.2547107412500000e-02,9.5105651629515375e-01,-9.0850940888265375e-01,9.0850940888265375e-01
2,0,2.5000000000000000e-01,5.0000000000000003e-02,9.5105651629515364e-01,3.2165201900299999e-02,9.5105651629515342e-01,-9.1889131439485339e-01,9.1889131439485339e-01
3,0,3.4999999999999998e-01,5.0000000000000003e-02,5.8778525229247325e-01,9.4972825171099999e-03,5.8778525229247280e-01,-5.7828796977536279e-01,5.7828796977536279e-01
4,0,4.5000000000000001e-01,5.0000000000000003e-02,1.2246467991473532e-16,-1.6798275986800001e-02,-3.6739403974420594e-16,-1.6798275986799633e-02,1.6798275986799633e-02
5,0,5.5000000000000004e-01,5.0000000000000003e-02,-5.8778525229247336e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
6,0,6.5000000000000002e-01,5.0000000000000003e-02,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515420e-01,9.0850940888265419e-01,9.0850940888265419e-01
7,0,7.5000000000000000e-01,5.0000000000000003e-02,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
8,0,8.4999999999999998e-01,5.0000000000000003e-02,-5.8778525229247336e-01,-9.4972825171099999e-03,-5.8778525229247358e-01,5.7828796977536356e-01,5.7828796977536356e-01
9,0,9.4999999999999996e-01,5.0000000000000003e-02,-2.4492935982947064e-16,1.6798275986800001e-02,2.4492935982947064e-16,1.6798275986799754e-02,1.6798275986799754e-02
0,1,5.0000000000000003e-02,1.4999999999999999e-01,9.5105651629515353e-01,4.2547107412500000e-02,9.5105651629515375e-01,-9.0850940888265375e-01,9.0850940888265375e-01
1,1,1.4999999999999999e-01,1.4999999999999999e-01,9.5105651629515364e-01,3.2165201900299999e-02,9.5105651629515342e-01,-9.1889131439485339e-01,9.1889131439485339e-01
2,1,2.5000000000000000e-01,1.4999999999999999e-01,5.8778525229247325e-01,9.4972825171099999e-03,5.8778525229247280e-01,-5.7828796977536279e-01,5.7828796977536279e-01
3,1,3.4999999999999998e-01,1.4999999999999999e-01,1.2246467991473532e-16,-1.6798275986800001e-02,-3.6739403974420594e-16,-1.6798275986799633e-02,1.6798275986799633e-02
4,1,4.5000000000000001e-01,1.4999999999999999e-01,-5.8778525229247303e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
5,1,5.5000000000000004e-01,1.4999999999999999e-01,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515420e-01,9.0850940888265419e-01,9.0850940888265419e-01
6,1,6.5000000000000002e-01,1.4999999999999999e-01,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
7,1,7.5000000000000000e-01,1.4999999999999999e-01,-5.8778525229247336e-01,-9.4972825171099999e-03,-5.8778525229247358e-01,5.7828796977536356e-01,5.7828796977536356e-01
8,1,8.4999999999999998e-01,1.4999999999999999e-01,-2.4492935982947064e-16,1.6798275986800001e-02,2.4492935982947064e-16,1.6798275986799754e-02,1.6798275986799754e-02
9,1,9.4999999999999996e-01,1.4999999999999999e-01,5.8778525229247214e-01,3.6677464016200000e-02,5.8778525229247258e-01,-5.5110778827627260e-01,5.5110778827627260e-01
0,2,5.0000000000000003e-02,2.5000000000000000e-01,9.5105651629515364e-01,3.2165201900299999e-02,9.5105651629515342e-01,-9.1889131439485339e-01,9.1889131439485339e-01
1,2,1.4999999999999999e-01,2.5000000000000000e-01,5.8778525229247325e-01,9.4972825171099999e-03,5.8778525229247280e-01,-5.7828796977536279e-01,5.7828796977536279e-01
2,2,2.5000000000000000e-01,2.5000000000000000e-01,1.2246467991473532e-16,-1.6798275986800001e-02,-3.6739403974420594e-16,-1.6798275986799633e-02,1.6798275986799633e-02
3,2,3.4999999999999998e-01,2.5000000000000000e-01,-5.8778525229247303e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
4,2,4.5000000000000001e-01,2.5000000000000000e-01,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515364e-01,9.0850940888265364e-01,9.0850940888265364e-01
5,2,5.5000000000000004e-01,2.5000000000000000e-01,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
6,2,6.5000000000000002e-01,2.5000000000000000e-01,-5.8778525229247336e-01,-9.4972825171099999e-03,-5.8778525229247358e-01,5.7828796977536356e-01,5.7828796977536356e-01
7,2,7.5000000000000000e-01,2.5000000000000000e-01,-2.4492935982947064e-16,1.6798275986800001e-02,2.4492935982947064e-16,1.6798275986799754e-02,1.6798275986799754e-02
8,2,8.4999999999999998e-01,2.5000000000000000e-01,5.8778525229247358e-01,3.6677464016200000e-02,5.8778525229247403e-01,-5.5110778827627405e-01,5.5110778827627405e-01
9,2,9.4999999999999996e-01,2.5000000000000000e-01,9.5105651629515353e-01,4.2547107412500000e-02,9.5105651629515364e-01,-9.0850940888265364e-01,9.0850940888265364e-01
0,3,5.0000000000000003e-02,3.4999999999999998e-01,5.8778525229247325e-01,9.4972825171099999e-03,5.8778525229247280e-01,-5.7828796977536279e-01,5.7828796977536279e-01
1,3,1.4999999999999999e-01,3.4999999999999998e-01,1.2246467991473532e-16,-1.6798275986800001e-02,-3.6739403974420594e-16,-1.6798275986799633e-02,1.6798275986799633e-02
2,3,2.5000000000000000e-01,3.4999999999999998e-01,-5.8778525229247303e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
3,3,3.4999999999999998e-01,3.4999999999999998e-01,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515364e-01,9.0850940888265364e-01,9.0850940888265364e-01
4,3,4.5000000000000001e-01,3.4999999999999998e-01,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
5,3,5.5000000000000004e-01,3.4999999999999998e-01,-5.8778525229247336e-01,-9.4972825171099999e-03,-5.8778525229247358e-01,5.7828796977536356e-01,5.7828796977536356e-01
6,3,6.5000000000000002e-01,3.4999999999999998e-01,-2.4492935982947064e-16,1.6798275986800001e-02,2.4492935982947064e-16,1.6798275986799754e-02,1.6798275986799754e-02
7,3,7.5000000000000000e-01,3.4999999999999998e-01,5.8778525229247358e-01,3.6677464016200000e-02,5.8778525229247403e-01,-5.5110778827627405e-01,5.5110778827627405e-01
8,3,8.4999999999999998e-01,3.4999999999999998e-01,9.5105651629515353e-01,4.2547107412500000e-02,9.5105651629515364e-01,-9.0850940888265364e-01,9.0850940888265364e-01
9,3,9.4999999999999996e-01,3.4999999999999998e-01,9.5105651629515420e-01,3.2165201900299999e-02,9.5105651629515375e-01,-9.1889131439485372e-01,9.1889131439485372e-01
0,4,5.0000000000000003e-02,4.5000000000000001e-01,1.2246467991473532e-16,-1.6798275986800001e-02,-3.6739403974420594e-16,-1.6798275986799633e-02,1.6798275986799633e-02
1,4,1.4999999999999999e-01,4.5000000000000001e-01,-5.8778525229247303e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
2,4,2.5000000000000000e-01,4.5000000000000001e-01,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515364e-01,9.0850940888265364e-01,9.0850940888265364e-01
3,4,3.4999999999999998e-01,4.5000000000000001e-01,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
4,4,4.5000000000000001e-01,4.5000000000000001e-01,-5.8778525229247336e-01,-9.4972825171099999e-03,-5.8778525229247358e-01,5.7828796977536356e-01,5.7828796977536356e-01
5,4,5.5000000000000004e-01,4.5000000000000001e-01,-2.4492935982947064e-16,1.6798275986800001e-02,2.4492935982947064e-16,1.6798275986799754e-02,1.6798275986799754e-02
6,4,6.5000000000000002e-01,4.5000000000000001e-01,5.8778525229247358e-01,3.6677464016200000e-02,5.8778525229247403e-01,-5.5110778827627405e-01,5.5110778827627405e-01
7,4,7.5000000000000000e-01,4.5000000000000001e-01,9.5105651629515353e-01,4.2547107412500000e-02,9.5105651629515364e-01,-9.0850940888265364e-01,9.0850940888265364e-01
8,4,8.4999999999999998e-01,4.5000000000000001e-01,9.5105651629515364e-01,3.2165201900299999e-02,9.5105651629515353e-01,-9.1889131439485350e-01,9.1889131439485350e-01
9,4,9.4999999999999996e-01,4.5000000000000001e-01,5.8778525229247336e-01,9.4972825171099999e-03,5.8778525229247336e-01,-5.7828796977536334e-01,5.7828796977536334e-01
0,5,5.0000000000000003e-02,5.5000000000000004e-01,-5.8778525229247336e-01,-3.6677464016200000e-02,-5.8778525229247336e-01,5.5110778827627338e-01,5.5110778827627338e-01
1,5,1.4999999999999999e-01,5.5000000000000004e-01,-9.5105651629515353e-01,-4.2547107412500000e-02,-9.5105651629515420e-01,9.0850940888265419e-01,9.0850940888265419e-01
2,5,2.5000000000000000e-01,5.5000000000000004e-01,-9.5105651629515364e-01,-3.2165201900299999e-02,-9.5105651629515353e-01,9.1889131439485350e-01,9.1889131439485350e-01
