i,j,x,y,numerical,exact,error,absError
4,4,4.5000000000000001e-01,4.5000000000000001e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
5,4,5.5000000000000004e-01,4.5000000000000001e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
6,4,6.5000000000000002e-01,4.5000000000000001e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
7,4,7.5000000000000000e-01,4.5000000000000001e-01,4.2547107412500000e-02,9.5105651629515964e-01,-9.0850940888265963e-01,9.0850940888265963e-01
8,4,8.4999999999999998e-01,4.5000000000000001e-01,3.2165201900299999e-02,9.5105651629514754e-01,-9.1889131439484750e-01,9.1889131439484750e-01
9,4,9.4999999999999996e-01,4.5000000000000001e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
0,5,5.0000000000000003e-02,5.5000000000000004e-01,-3.6677464016200000e-02,-5.8778525229248924e-01,5.5110778827628926e-01,5.5110778827628926e-01
1,5,1.4999999999999999e-01,5.5000000000000004e-01,-4.2547107412500000e-02,-9.5105651629516030e-01,9.0850940888266030e-01,9.0850940888266030e-01
2,5,2.5000000000000000e-01,5.5000000000000004e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
3,5,3.4999999999999998e-01,5.5000000000000004e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
4,5,4.5000000000000001e-01,5.5000000000000004e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
5,5,5.5000000000000004e-01,5.5000000000000004e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
6,5,6.5000000000000002e-01,5.5000000000000004e-01,4.2547107412500000e-02,9.5105651629515997e-01,-9.0850940888265996e-01,9.0850940888265996e-01
7,5,7.5000000000000000e-01,5.5000000000000004e-01,3.2165201900299999e-02,9.5105651629514754e-01,-9.1889131439484750e-01,9.1889131439484750e-01
8,5,8.4999999999999998e-01,5.5000000000000004e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
9,5,9.4999999999999996e-01,5.5000000000000004e-01,-1.6798275986800001e-02,-1.9662389913317490e-14,-1.6798275986780339e-02,1.6798275986780339e-02
0,6,5.0000000000000003e-02,6.5000000000000002e-01,-4.2547107412500000e-02,-9.5105651629516030e-01,9.0850940888266030e-01,9.0850940888266030e-01
1,6,1.4999999999999999e-01,6.5000000000000002e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
2,6,2.5000000000000000e-01,6.5000000000000002e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
3,6,3.4999999999999998e-01,6.5000000000000002e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
4,6,4.5000000000000001e-01,6.5000000000000002e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
5,6,5.5000000000000004e-01,6.5000000000000002e-01,4.2547107412500000e-02,9.5105651629515997e-01,-9.0850940888265996e-01,9.0850940888265996e-01
6,6,6.5000000000000002e-01,6.5000000000000002e-01,3.2165201900299999e-02,9.5105651629514754e-01,-9.1889131439484750e-01,9.1889131439484750e-01
7,6,7.5000000000000000e-01,6.5000000000000002e-01,9.4972825171099999e-03,5.8778525229245759e-01,-5.7828796977534758e-01,5.7828796977534758e-01
8,6,8.4999999999999998e-01,6.5000000000000002e-01,-1.6798275986800001e-02,-1.9662389913317490e-14,-1.6798275986780339e-02,1.6798275986780339e-02
9,6,9.4999999999999996e-01,6.5000000000000002e-01,-3.6677464016200000e-02,-5.8778525229248935e-01,5.5110778827628937e-01,5.5110778827628937e-01
0,7,5.0000000000000003e-02,7.5000000000000000e-01,-3.2165201900299999e-02,-9.5105651629514742e-01,9.1889131439484739e-01,9.1889131439484739e-01
1,7,1.4999999999999999e-01,7.5000000000000000e-01,-9.4972825171099999e-03,-5.8778525229245782e-01,5.7828796977534780e-01,5.7828796977534780e-01
2,7,2.5000000000000000e-01,7.5000000000000000e-01,1.6798275986800001e-02,1.9784854593232225e-14,1.6798275986780214e-02,1.6798275986780214e-02
3,7,3.4999999999999998e-01,7.5000000000000000e-01,3.6677464016200000e-02,5.8778525229248979e-01,-5.5110778827628981e-01,5.5110778827628981e-01
