case,solverFamily,mesh,resolution,nominalH,nCells,normalizedL1,normalizedL2,normalizedLinf,observedOrderL1,observedOrderL2,observedOrderLinf,maxCo,normalizedMassError,finalAmplitude,meshOK,solverEnded,solverFatal
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/04_rotating_peak_tri_upwind/N20,03_advection_diffusion_equation,tri,20,0.1,800,1.1953968274782356,0.8185532170126572,0.8562900592548004,,,,0.0375000000001,0.04563400422124722,1.3568353993413698,True,True,False
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/04_rotating_peak_tri_upwind/N40,03_advection_diffusion_equation,tri,40,0.05,3200,0.9645297672835819,0.6915384421783604,0.7660651867605924,0.3095919505652807,0.243266762311256,0.16063241661584324,0.0820000000001,0.026549708566604883,2.416858575005291,True,True,False
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/04_rotating_peak_tri_upwind/N80,03_advection_diffusion_equation,tri,80,0.025,12800,0.6981005252397785,0.5402169380599297,0.6284654300997601,0.466390966439076,0.356270577018526,0.2856337718505125,0.18,0.010127670697674592,3.80476206447,True,True,False
