cell,x,y,initial,numerical,exact,error,absError
16,6.5000000000000013e-01,-9.4999999999999996e-01,1.5010098390965453e-173,1.1677377221300000e-03,1.2590498065435922e-34,1.1677377221300000e-03,1.1677377221300000e-03
17,7.5000000000000000e-01,-9.4999999999999996e-01,3.1591310472394186e-183,7.6185736301899996e-04,1.4610992948715861e-36,7.6185736301899996e-04,7.6185736301899996e-04
18,8.5000000000000009e-01,-9.4999999999999996e-01,2.7564459012311134e-194,4.7177102861100002e-04,8.9709016923650115e-39,4.7177102861100002e-04,4.7177102861100002e-04
19,9.5000000000000018e-01,-9.4999999999999996e-01,9.9707777040054431e-207,6.3967494756400004e-04,2.9141507190171133e-41,6.3967494756400004e-04,6.3967494756400004e-04
20,-9.4999999999999996e-01,-8.4999999999999998e-01,2.2509239833715604e-187,1.3933787306900001e-03,2.1639058875263784e-37,1.3933787306900001e-03,1.3933787306900001e-03
21,-8.4999999999999998e-01,-8.4999999999999998e-01,6.2227344467375107e-175,3.5705032154600001e-03,6.6613531214599069e-35,3.5705032154600001e-03,3.5705032154600001e-03
22,-7.5000000000000000e-01,-8.4999999999999998e-01,7.1318046113774173e-164,5.5876854510600003e-03,1.0849409214838550e-32,5.5876854510600003e-03,5.5876854510600003e-03
23,-6.4999999999999991e-01,-8.4999999999999998e-01,3.3885611999373167e-154,7.0195141888099999e-03,9.3490884712632039e-31,7.0195141888099999e-03,7.0195141888099999e-03
24,-5.5000000000000004e-01,-8.4999999999999998e-01,6.6746571093186122e-146,7.7881916286199997e-03,4.2623783263359565e-29,7.7881916286199997e-03,7.7881916286199997e-03
25,-4.4999999999999996e-01,-8.4999999999999998e-01,5.4505498408064201e-139,7.9464670984700000e-03,1.0281447586337070e-27,7.9464670984700000e-03,7.9464670984700000e-03
26,-3.4999999999999998e-01,-8.4999999999999998e-01,1.8452252950855077e-133,7.6044895812699999e-03,1.3121276360793097e-26,7.6044895812699999e-03,7.6044895812699999e-03
27,-2.5000000000000000e-01,-8.4999999999999998e-01,2.5897402852870572e-129,6.9309762053299997e-03,8.8596679500166229e-26,6.9309762053299997e-03,6.9309762053299997e-03
28,-1.4999999999999991e-01,-8.4999999999999998e-01,1.5068178445210083e-126,6.1329828112700003e-03,3.1650338107200829e-25,6.1329828112700003e-03,6.1329828112700003e-03
29,-4.9999999999999933e-02,-8.4999999999999998e-01,3.6346535911366302e-125,5.3859400286600002e-03,5.9821707908762704e-25,5.3859400286600002e-03,5.3859400286600002e-03
30,5.0000000000000044e-02,-8.4999999999999998e-01,3.6346535911366302e-125,4.9891153748300001e-03,5.9821707908762704e-25,4.9891153748300001e-03,4.9891153748300001e-03
31,1.5000000000000013e-01,-8.4999999999999998e-01,1.5068178445210083e-126,5.0076764730299997e-03,3.1650338107200829e-25,5.0076764730299997e-03,5.0076764730299997e-03
32,2.5000000000000000e-01,-8.4999999999999998e-01,2.5897402852870572e-129,5.1696238828799999e-03,8.8596679500166229e-26,5.1696238828799999e-03,5.1696238828799999e-03
33,3.5000000000000009e-01,-8.4999999999999998e-01,1.8452252950855077e-133,5.2042430595100001e-03,1.3121276360793097e-26,5.2042430595100001e-03,5.2042430595100001e-03
34,4.5000000000000018e-01,-8.4999999999999998e-01,5.4505498408064201e-139,4.9370551923999997e-03,1.0281447586337070e-27,4.9370551923999997e-03,4.9370551923999997e-03
35,5.5000000000000004e-01,-8.4999999999999998e-01,6.6746571093186122e-146,4.3430459108599996e-03,4.2623783263360165e-29,4.3430459108599996e-03,4.3430459108599996e-03
36,6.5000000000000013e-01,-8.4999999999999998e-01,3.3885611999369318e-154,3.5249556996099999e-03,9.3490884712632039e-31,3.5249556996099999e-03,3.5249556996099999e-03
37,7.5000000000000000e-01,-8.4999999999999998e-01,7.1318046113774173e-164,2.6412499615199999e-03,1.0849409214838704e-32,2.6412499615199999e-03,2.6412499615199999e-03
38,8.5000000000000009e-01,-8.4999999999999998e-01,6.2227344467371561e-175,1.8468425003600000e-03,6.6613531214600010e-35,1.8468425003600000e-03,1.8468425003600000e-03
39,9.5000000000000018e-01,-8.4999999999999998e-01,2.2509239833714325e-187,3.0613085420499999e-03,2.1639058875263784e-37,3.0613085420499999e-03,3.0613085420499999e-03
40,-9.4999999999999996e-01,-7.5000000000000000e-01,2.1066401264245914e-169,3.0350213409199999e-03,8.5012790766603907e-34,3.0350213409199999e-03,3.0350213409199999e-03
41,-8.4999999999999998e-01,-7.5000000000000000e-01,5.8238581926456423e-157,6.8801575004799999e-03,2.6170279511761593e-31,6.8801575004799999e-03,6.8801575004799999e-03
42,-7.5000000000000000e-01,-7.5000000000000000e-01,6.6746571093193706e-146,9.8988079516099999e-03,4.2623783263360165e-29,9.8988079516099999e-03,9.8988079516099999e-03
43,-6.4999999999999991e-01,-7.5000000000000000e-01,3.1713549846054775e-136,1.1818979770399999e-02,3.6729513360421583e-27,1.1818979770399999e-02,1.1818979770399999e-02
44,-5.5000000000000004e-01,-7.5000000000000000e-01,6.2468126869193745e-128,1.2776021580500001e-02,1.6745491516690603e-25,1.2776021580500001e-02,1.2776021580500001e-02
45,-4.4999999999999996e-01,-7.5000000000000000e-01,5.1011704928931999e-121,1.2898402436900000e-02,4.0392447632471745e-24,1.2898402436900000e-02,1.2898402436900000e-02
46,-3.4999999999999998e-01,-7.5000000000000000e-01,1.7269466573003872e-115,1.2304326551800001e-02,5.1549206843094163e-23,1.2304326551800001e-02,1.2304326551800001e-02
47,-2.5000000000000000e-01,-7.5000000000000000e-01,2.4237383591391675e-111,1.1206946846000000e-02,3.4806740073031823e-22,1.1206946846000000e-02,1.1206946846000000e-02
48,-1.4999999999999991e-01,-7.5000000000000000e-01,1.4102310686324857e-108,9.9328372513699994e-03,1.2434383522452965e-21,9.9328372513699994e-03,9.9328372513699994e-03
