cell,x,y,initial,numerical,exact,error,absError
47,3.7500000000000000e-01,1.2500000000000000e-01,0.0000000000000000e+00,3.5455175858803639e-01,3.5355339059327384e-01,9.9836799476255011e-04,9.9836799476255011e-04
48,4.2500000000000004e-01,1.2500000000000000e-01,0.0000000000000000e+00,2.1628348572534409e-01,2.1567539362612098e-01,6.0809209922310647e-04,6.0809209922310647e-04
49,4.7500000000000003e-01,1.2500000000000000e-01,0.0000000000000000e+00,7.2690978303815795e-02,7.2486752682299732e-02,2.0422562151606316e-04,2.0422562151606316e-04
50,5.2500000000000002e-01,1.2500000000000000e-01,0.0000000000000000e+00,-7.2690978310510773e-02,-7.2486752682299621e-02,-2.0422562821115209e-04,2.0422562821115209e-04
51,5.7500000000000007e-01,1.2500000000000000e-01,0.0000000000000000e+00,-2.1628348573187481e-01,-2.1567539362612126e-01,-6.0809210575354933e-04,6.0809210575354933e-04
52,6.2500000000000000e-01,1.2500000000000000e-01,0.0000000000000000e+00,-3.5455175859424248e-01,-3.5355339059327373e-01,-9.9836800096875233e-04,9.9836800096875233e-04
53,6.7500000000000004e-01,1.2500000000000000e-01,0.0000000000000000e+00,-4.8409227245344338e-01,-4.8272572970758909e-01,-1.3665427458542934e-03,1.3665427458542934e-03
54,7.2500000000000009e-01,1.2500000000000000e-01,0.0000000000000000e+00,-6.0171670594911320e-01,-6.0001175928165784e-01,-1.7049466674553537e-03,1.7049466674553537e-03
55,7.7500000000000002e-01,1.2500000000000000e-01,0.0000000000000000e+00,-7.0453063561377904e-01,-7.0252350801735020e-01,-2.0071275964288482e-03,2.0071275964288482e-03
56,8.2500000000000007e-01,1.2500000000000000e-01,0.0000000000000000e+00,-7.9000508482199749e-01,-7.8773679644380534e-01,-2.2682883781921515e-03,2.2682883781921515e-03
57,8.7500000000000000e-01,1.2500000000000000e-01,0.0000000000000000e+00,-8.5603922674571553e-01,-8.5355339059327373e-01,-2.4858361524418005e-03,2.4858361524418005e-03
58,9.2500000000000004e-01,1.2500000000000000e-01,0.0000000000000000e+00,-9.0101278291851028e-01,-8.9835266748504250e-01,-2.6601154334677801e-03,2.6601154334677801e-03
59,9.7500000000000009e-01,1.2500000000000000e-01,0.0000000000000000e+00,-9.2382688681147385e-01,-9.2103152024176071e-01,-2.7953665697131314e-03,2.7953665697131314e-03
60,2.5000000000000001e-02,1.7500000000000002e-01,0.0000000000000000e+00,8.5258510084403183e-01,8.5001175928165762e-01,2.5733415623742095e-03,2.5733415623742095e-03
61,7.5000000000000011e-02,1.7500000000000002e-01,0.0000000000000000e+00,8.3151881973424868e-01,8.2908164874085044e-01,2.4371709933982411e-03,2.4371709933982411e-03
62,1.2500000000000000e-01,1.7500000000000002e-01,0.0000000000000000e+00,7.9000508481846954e-01,7.8773679644380534e-01,2.2682883746641958e-03,2.2682883746641958e-03
63,1.7500000000000002e-01,1.7500000000000002e-01,0.0000000000000000e+00,7.2905840442181225e-01,7.2699524986977337e-01,2.0631545520388705e-03,2.0631545520388705e-03
64,2.2500000000000001e-01,1.7500000000000002e-01,0.0000000000000000e+00,6.5017383523101790e-01,6.4835266748504250e-01,1.8211677459754050e-03,1.8211677459754050e-03
