i,j,x,y,initial,numerical,change,absChange
0,0,5.0000000000000001e-03,5.0000000000000001e-03,0.0000000000000000e+00,1.2678610510900000e-10,1.2678610510900000e-10,1.2678610510900000e-10
1,0,1.4999999999999999e-02,5.0000000000000001e-03,0.0000000000000000e+00,1.7907116358399999e-09,1.7907116358399999e-09,1.7907116358399999e-09
2,0,2.5000000000000001e-02,5.0000000000000001e-03,0.0000000000000000e+00,1.3159470727200000e-08,1.3159470727200000e-08,1.3159470727200000e-08
3,0,3.5000000000000003e-02,5.0000000000000001e-03,0.0000000000000000e+00,6.7057464095400003e-08,6.7057464095400003e-08,6.7057464095400003e-08
4,0,4.4999999999999998e-02,5.0000000000000001e-03,0.0000000000000000e+00,2.6642683707200002e-07,2.6642683707200002e-07,2.6642683707200002e-07
5,0,5.5000000000000000e-02,5.0000000000000001e-03,0.0000000000000000e+00,8.7985381492200002e-07,8.7985381492200002e-07,8.7985381492200002e-07
6,0,6.5000000000000002e-02,5.0000000000000001e-03,0.0000000000000000e+00,2.5142279926300001e-06,2.5142279926300001e-06,2.5142279926300001e-06
7,0,7.4999999999999997e-02,5.0000000000000001e-03,0.0000000000000000e+00,6.3901362859500002e-06,6.3901362859500002e-06,6.3901362859500002e-06
8,0,8.5000000000000006e-02,5.0000000000000001e-03,0.0000000000000000e+00,1.4736201712800000e-05,1.4736201712800000e-05,1.4736201712800000e-05
9,0,9.5000000000000001e-02,5.0000000000000001e-03,0.0000000000000000e+00,3.1301639056899999e-05,3.1301639056899999e-05,3.1301639056899999e-05
10,0,1.0500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,6.1964557723000004e-05,6.1964557723000004e-05,6.1964557723000004e-05
11,0,1.1500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,1.1539136186499999e-04,1.1539136186499999e-04,1.1539136186499999e-04
12,0,1.2500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,2.0368472166400000e-04,2.0368472166400000e-04,2.0368472166400000e-04
13,0,1.3500000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,3.4294784144699999e-04,3.4294784144699999e-04,3.4294784144699999e-04
14,0,1.4499999999999999e-01,5.0000000000000001e-03,0.0000000000000000e+00,5.5369309421800001e-04,5.5369309421800001e-04,5.5369309421800001e-04
15,0,1.5500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,8.6103328311800005e-04,8.6103328311800005e-04,8.6103328311800005e-04
16,0,1.6500000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,1.2946116434200000e-03,1.2946116434200000e-03,1.2946116434200000e-03
17,0,1.7499999999999999e-01,5.0000000000000001e-03,0.0000000000000000e+00,1.8882488112799999e-03,1.8882488112799999e-03,1.8882488112799999e-03
18,0,1.8500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,2.6793076484599998e-03,2.6793076484599998e-03,2.6793076484599998e-03
19,0,1.9500000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,3.7077968384399999e-03,3.7077968384399999e-03,3.7077968384399999e-03
20,0,2.0499999999999999e-01,5.0000000000000001e-03,0.0000000000000000e+00,5.0152494464499996e-03,5.0152494464499996e-03,5.0152494464499996e-03
21,0,2.1500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,6.6434223314200003e-03,6.6434223314200003e-03,6.6434223314200003e-03
22,0,2.2500000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,8.6328667400499999e-03,8.6328667400499999e-03,8.6328667400499999e-03
23,0,2.3499999999999999e-01,5.0000000000000001e-03,0.0000000000000000e+00,1.1021420759799999e-02,1.1021420759799999e-02,1.1021420759799999e-02
24,0,2.4500000000000000e-01,5.0000000000000001e-03,0.0000000000000000e+00,1.3842672116000000e-02,1.3842672116000000e-02,1.3842672116000000e-02
