case,solverFamily,mesh,resolution,nominalH,nCells,normalizedL1,normalizedL2,normalizedLinf,observedOrderL1,observedOrderL2,observedOrderLinf,maxCo,normalizedMassError,finalAmplitude,meshOK,solverEnded,solverFatal,linearSolver,linearTolerance,nNonOrthogonalCorrectors
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/01_sine_wave_quad_upwind/N10,03_advection_diffusion_equation,quad,10,0.1,100,1.382659794700994e+18,1.2036058487587085e+18,8.948762170816644e+17,,,,0.42,3.558955223640458e-17,0.0,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/01_sine_wave_quad_upwind/N20,03_advection_diffusion_equation,quad,20,0.05,400,2.0028101333263402e+17,1.7883077703874634e+17,1.264524551289567e+17,2.787348658041491,2.7506960694488134,2.823093088911669,0.45,1.2600067337946988e-17,0.0,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/01_sine_wave_quad_upwind/N40,03_advection_diffusion_equation,quad,40,0.025,1600,2.499483813682525e+17,2.2456971080175293e+17,1.587947653570211e+17,-0.31960452440821147,-0.32856830724356656,-0.32856830724356817,0.45,3.748745780830283e-17,0.0,True,True,False,,,
/home/a776/workdocuments/上交船舶/slover/student_project/cases/03_advection_diffusion_equation/01_sine_wave_quad_upwind/N80,03_advection_diffusion_equation,quad,80,0.0125,6400,7.031112294489993e+17,6.326970783951749e+17,4.473843945701562e+17,-1.492122751715431,-1.4943515788732185,-1.4943515788732578,0.450000000003,4.34324215988644e-17,0.0,True,True,False,,,
