cell,x,y,numerical,exact,error,absError
29,4.7500000000000003e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-1.5829402580081603e-35,-6.4775298961300001e-18,6.4775298961300001e-18
30,5.2500000000000002e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-3.0109312945691827e-35,-6.4775298961300001e-18,6.4775298961300001e-18
31,5.7500000000000007e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
32,6.2500000000000000e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-4.8717891724036571e-35,-6.4775298961300001e-18,6.4775298961300001e-18
33,6.7500000000000004e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
34,7.2500000000000009e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-4.8717891724036571e-35,-6.4775298961300001e-18,6.4775298961300001e-18
35,7.7500000000000002e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-4.1441913976258831e-35,-6.4775298961300001e-18,6.4775298961300001e-18
36,8.2500000000000007e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-3.0109312945691762e-35,-6.4775298961300001e-18,6.4775298961300001e-18
37,8.7500000000000000e-01,7.5000000000000011e-02,-6.4775298961300001e-18,-1.5829402580081570e-35,-6.4775298961300001e-18,6.4775298961300001e-18
38,9.2500000000000004e-01,7.5000000000000011e-02,-6.4775298961300001e-18,1.2546512039781446e-50,-6.4775298961300001e-18,6.4775298961300001e-18
39,9.7500000000000009e-01,7.5000000000000011e-02,-6.4775298961300001e-18,1.5829402580081595e-35,-6.4775298961300001e-18,6.4775298961300001e-18
40,2.5000000000000001e-02,1.2500000000000000e-01,-6.4775298961300001e-18,4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
41,7.5000000000000011e-02,1.2500000000000000e-01,-6.4775298961300001e-18,4.8717891724036582e-35,-6.4775298961300001e-18,6.4775298961300001e-18
42,1.2500000000000000e-01,1.2500000000000000e-01,-6.4775298961300001e-18,5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
43,1.7500000000000002e-01,1.2500000000000000e-01,-6.4775298961300001e-18,4.8717891724036561e-35,-6.4775298961300001e-18,6.4775298961300001e-18
44,2.2500000000000001e-01,1.2500000000000000e-01,-6.4775298961300001e-18,4.1441913976258858e-35,-6.4775298961300001e-18,6.4775298961300001e-18
45,2.7500000000000002e-01,1.2500000000000000e-01,-6.4775298961300001e-18,3.0109312945691795e-35,-6.4775298961300001e-18,6.4775298961300001e-18
46,3.2500000000000001e-01,1.2500000000000000e-01,-6.4775298961300001e-18,1.5829402580081565e-35,-6.4775298961300001e-18,6.4775298961300001e-18
47,3.7500000000000000e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-1.8819768059672166e-50,-6.4775298961300001e-18,6.4775298961300001e-18
48,4.2500000000000004e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-1.5829402580081603e-35,-6.4775298961300001e-18,6.4775298961300001e-18
49,4.7500000000000003e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-3.0109312945691827e-35,-6.4775298961300001e-18,6.4775298961300001e-18
50,5.2500000000000002e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-4.1441913976258879e-35,-6.4775298961300001e-18,6.4775298961300001e-18
51,5.7500000000000007e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-4.8717891724036603e-35,-6.4775298961300001e-18,6.4775298961300001e-18
52,6.2500000000000000e-01,1.2500000000000000e-01,-6.4775298961300001e-18,-5.1225022792354564e-35,-6.4775298961300001e-18,6.4775298961300001e-18
